Date,Comodity,Provinsi,Price
2024-10-01,Bawang Merah,Aceh,0.0
2024-10-02,Bawang Merah,Aceh,0.0
2024-10-03,Bawang Merah,Aceh,0.0
2024-10-04,Bawang Merah,Aceh,0.0
2024-10-05,Bawang Merah,Aceh,0.0
2024-10-06,Bawang Merah,Aceh,0.0
2024-10-07,Bawang Merah,Aceh,0.0
2024-10-08,Bawang Merah,Aceh,0.0
2024-10-09,Bawang Merah,Aceh,0.0
2024-10-10,Bawang Merah,Aceh,0.0
2024-10-11,Bawang Merah,Aceh,0.0
2024-10-12,Bawang Merah,Aceh,0.0
2024-10-13,Bawang Merah,Aceh,0.0
2024-10-14,Bawang Merah,Aceh,0.0
2024-10-15,Bawang Merah,Aceh,0.0
2024-10-16,Bawang Merah,Aceh,0.0
2024-10-17,Bawang Merah,Aceh,0.0
2024-10-18,Bawang Merah,Aceh,0.0
2024-10-19,Bawang Merah,Aceh,0.0
2024-10-20,Bawang Merah,Aceh,0.0
2024-10-21,Bawang Merah,Aceh,0.0
2024-10-22,Bawang Merah,Aceh,0.0
2024-10-23,Bawang Merah,Aceh,0.0
2024-10-24,Bawang Merah,Aceh,0.0
2024-10-25,Bawang Merah,Aceh,0.0
2024-10-26,Bawang Merah,Aceh,0.0
2024-10-27,Bawang Merah,Aceh,0.0
2024-10-28,Bawang Merah,Aceh,0.0
2024-10-29,Bawang Merah,Aceh,0.0
2024-10-30,Bawang Merah,Aceh,0.0
2024-10-31,Bawang Merah,Aceh,0.0
2024-11-01,Bawang Merah,Aceh,0.0
2024-11-02,Bawang Merah,Aceh,0.0
2024-11-03,Bawang Merah,Aceh,0.0
2024-11-04,Bawang Merah,Aceh,0.0
2024-11-05,Bawang Merah,Aceh,0.0
2024-11-06,Bawang Merah,Aceh,0.0
2024-11-07,Bawang Merah,Aceh,0.0
2024-11-08,Bawang Merah,Aceh,0.0
2024-11-09,Bawang Merah,Aceh,0.0
2024-11-10,Bawang Merah,Aceh,0.0
2024-11-11,Bawang Merah,Aceh,0.0
2024-11-12,Bawang Merah,Aceh,0.0
2024-11-13,Bawang Merah,Aceh,0.0
2024-11-14,Bawang Merah,Aceh,0.0
2024-11-15,Bawang Merah,Aceh,0.0
2024-11-16,Bawang Merah,Aceh,0.0
2024-11-17,Bawang Merah,Aceh,0.0
2024-11-18,Bawang Merah,Aceh,0.0
2024-11-19,Bawang Merah,Aceh,0.0
2024-11-20,Bawang Merah,Aceh,0.0
2024-11-21,Bawang Merah,Aceh,0.0
2024-11-22,Bawang Merah,Aceh,0.0
2024-11-23,Bawang Merah,Aceh,0.0
2024-11-24,Bawang Merah,Aceh,0.0
2024-11-25,Bawang Merah,Aceh,0.0
2024-11-26,Bawang Merah,Aceh,0.0
2024-11-27,Bawang Merah,Aceh,0.0
2024-11-28,Bawang Merah,Aceh,0.0
2024-11-29,Bawang Merah,Aceh,0.0
2024-11-30,Bawang Merah,Aceh,0.0
2024-12-01,Bawang Merah,Aceh,0.0
2024-12-02,Bawang Merah,Aceh,0.0
2024-12-03,Bawang Merah,Aceh,0.0
2024-12-04,Bawang Merah,Aceh,0.0
2024-12-05,Bawang Merah,Aceh,0.0
2024-12-06,Bawang Merah,Aceh,0.0
2024-12-07,Bawang Merah,Aceh,0.0
2024-12-08,Bawang Merah,Aceh,0.0
2024-12-09,Bawang Merah,Aceh,0.0
2024-12-10,Bawang Merah,Aceh,0.0
2024-12-11,Bawang Merah,Aceh,0.0
2024-12-12,Bawang Merah,Aceh,0.0
2024-12-13,Bawang Merah,Aceh,0.0
2024-12-14,Bawang Merah,Aceh,0.0
2024-12-15,Bawang Merah,Aceh,0.0
2024-12-16,Bawang Merah,Aceh,0.0
2024-12-17,Bawang Merah,Aceh,0.0
2024-12-18,Bawang Merah,Aceh,0.0
2024-12-19,Bawang Merah,Aceh,0.0
2024-12-20,Bawang Merah,Aceh,0.0
2024-12-21,Bawang Merah,Aceh,0.0
2024-12-22,Bawang Merah,Aceh,0.0
2024-12-23,Bawang Merah,Aceh,0.0
2024-12-24,Bawang Merah,Aceh,0.0
2024-12-25,Bawang Merah,Aceh,0.0
2024-12-26,Bawang Merah,Aceh,0.0
2024-12-27,Bawang Merah,Aceh,0.0
2024-12-28,Bawang Merah,Aceh,0.0
2024-12-29,Bawang Merah,Aceh,0.0
2024-12-30,Bawang Merah,Aceh,0.0
2024-12-31,Bawang Merah,Aceh,0.0
2024-10-01,Bawang Putih Bonggol,Aceh,0.0
2024-10-02,Bawang Putih Bonggol,Aceh,0.0
2024-10-03,Bawang Putih Bonggol,Aceh,0.0
2024-10-04,Bawang Putih Bonggol,Aceh,0.0
2024-10-05,Bawang Putih Bonggol,Aceh,0.0
2024-10-06,Bawang Putih Bonggol,Aceh,0.0
2024-10-07,Bawang Putih Bonggol,Aceh,0.0
2024-10-08,Bawang Putih Bonggol,Aceh,0.0
2024-10-09,Bawang Putih Bonggol,Aceh,0.0
2024-10-10,Bawang Putih Bonggol,Aceh,0.0
2024-10-11,Bawang Putih Bonggol,Aceh,0.0
2024-10-12,Bawang Putih Bonggol,Aceh,0.0
2024-10-13,Bawang Putih Bonggol,Aceh,0.0
2024-10-14,Bawang Putih Bonggol,Aceh,0.0
2024-10-15,Bawang Putih Bonggol,Aceh,0.0
2024-10-16,Bawang Putih Bonggol,Aceh,0.0
2024-10-17,Bawang Putih Bonggol,Aceh,0.0
2024-10-18,Bawang Putih Bonggol,Aceh,0.0
2024-10-19,Bawang Putih Bonggol,Aceh,0.0
2024-10-20,Bawang Putih Bonggol,Aceh,0.0
2024-10-21,Bawang Putih Bonggol,Aceh,0.0
2024-10-22,Bawang Putih Bonggol,Aceh,0.0
2024-10-23,Bawang Putih Bonggol,Aceh,0.0
2024-10-24,Bawang Putih Bonggol,Aceh,0.0
2024-10-25,Bawang Putih Bonggol,Aceh,0.0
2024-10-26,Bawang Putih Bonggol,Aceh,0.0
2024-10-27,Bawang Putih Bonggol,Aceh,0.0
2024-10-28,Bawang Putih Bonggol,Aceh,0.0
2024-10-29,Bawang Putih Bonggol,Aceh,0.0
2024-10-30,Bawang Putih Bonggol,Aceh,0.0
2024-10-31,Bawang Putih Bonggol,Aceh,0.0
2024-11-01,Bawang Putih Bonggol,Aceh,0.0
2024-11-02,Bawang Putih Bonggol,Aceh,0.0
2024-11-03,Bawang Putih Bonggol,Aceh,0.0
2024-11-04,Bawang Putih Bonggol,Aceh,0.0
2024-11-05,Bawang Putih Bonggol,Aceh,0.0
2024-11-06,Bawang Putih Bonggol,Aceh,0.0
2024-11-07,Bawang Putih Bonggol,Aceh,0.0
2024-11-08,Bawang Putih Bonggol,Aceh,0.0
2024-11-09,Bawang Putih Bonggol,Aceh,0.0
2024-11-10,Bawang Putih Bonggol,Aceh,0.0
2024-11-11,Bawang Putih Bonggol,Aceh,0.0
2024-11-12,Bawang Putih Bonggol,Aceh,0.0
2024-11-13,Bawang Putih Bonggol,Aceh,0.0
2024-11-14,Bawang Putih Bonggol,Aceh,0.0
2024-11-15,Bawang Putih Bonggol,Aceh,0.0
2024-11-16,Bawang Putih Bonggol,Aceh,0.0
2024-11-17,Bawang Putih Bonggol,Aceh,0.0
2024-11-18,Bawang Putih Bonggol,Aceh,0.0
2024-11-19,Bawang Putih Bonggol,Aceh,0.0
2024-11-20,Bawang Putih Bonggol,Aceh,0.0
2024-11-21,Bawang Putih Bonggol,Aceh,0.0
2024-11-22,Bawang Putih Bonggol,Aceh,0.0
2024-11-23,Bawang Putih Bonggol,Aceh,0.0
2024-11-24,Bawang Putih Bonggol,Aceh,0.0
2024-11-25,Bawang Putih Bonggol,Aceh,0.0
2024-11-26,Bawang Putih Bonggol,Aceh,0.0
2024-11-27,Bawang Putih Bonggol,Aceh,0.0
2024-11-28,Bawang Putih Bonggol,Aceh,0.0
2024-11-29,Bawang Putih Bonggol,Aceh,0.0
2024-11-30,Bawang Putih Bonggol,Aceh,0.0
2024-12-01,Bawang Putih Bonggol,Aceh,0.0
2024-12-02,Bawang Putih Bonggol,Aceh,0.0
2024-12-03,Bawang Putih Bonggol,Aceh,0.0
2024-12-04,Bawang Putih Bonggol,Aceh,0.0
2024-12-05,Bawang Putih Bonggol,Aceh,0.0
2024-12-06,Bawang Putih Bonggol,Aceh,0.0
2024-12-07,Bawang Putih Bonggol,Aceh,0.0
2024-12-08,Bawang Putih Bonggol,Aceh,0.0
2024-12-09,Bawang Putih Bonggol,Aceh,0.0
2024-12-10,Bawang Putih Bonggol,Aceh,0.0
2024-12-11,Bawang Putih Bonggol,Aceh,0.0
2024-12-12,Bawang Putih Bonggol,Aceh,0.0
2024-12-13,Bawang Putih Bonggol,Aceh,0.0
2024-12-14,Bawang Putih Bonggol,Aceh,0.0
2024-12-15,Bawang Putih Bonggol,Aceh,0.0
2024-12-16,Bawang Putih Bonggol,Aceh,0.0
2024-12-17,Bawang Putih Bonggol,Aceh,0.0
2024-12-18,Bawang Putih Bonggol,Aceh,0.0
2024-12-19,Bawang Putih Bonggol,Aceh,0.0
