id,price
Bawang Merah/Kalimantan Timur/2024-10-01,33401.31
Bawang Merah/Kalimantan Timur/2024-10-02,33536.55
Bawang Merah/Kalimantan Timur/2024-10-03,32664.41
Bawang Merah/Kalimantan Timur/2024-10-04,32610.604
Bawang Merah/Kalimantan Timur/2024-10-05,32572.145
Bawang Merah/Kalimantan Timur/2024-10-06,32458.625
Bawang Merah/Kalimantan Timur/2024-10-07,32307.938
Bawang Merah/Kalimantan Timur/2024-10-08,32477.707
Bawang Merah/Kalimantan Timur/2024-10-09,32597.549
Bawang Merah/Kalimantan Timur/2024-10-10,32867.75
Bawang Merah/Kalimantan Timur/2024-10-11,32834.3
Bawang Merah/Kalimantan Timur/2024-10-12,32642.979
Bawang Merah/Kalimantan Timur/2024-10-13,32683.691
Bawang Merah/Kalimantan Timur/2024-10-14,32530.113
Bawang Merah/Kalimantan Timur/2024-10-15,32384.432
Bawang Merah/Kalimantan Timur/2024-10-16,32414.988
Bawang Merah/Kalimantan Timur/2024-10-17,33365.754
Bawang Merah/Kalimantan Timur/2024-10-18,33513.547
Bawang Merah/Kalimantan Timur/2024-10-19,32704.836
Bawang Merah/Kalimantan Timur/2024-10-20,32919.484
Bawang Merah/Kalimantan Timur/2024-10-21,32538.662
Bawang Merah/Kalimantan Timur/2024-10-22,32585.799
Bawang Merah/Kalimantan Timur/2024-10-23,32259.8
Bawang Merah/Kalimantan Timur/2024-10-24,32742.725
Bawang Merah/Kalimantan Timur/2024-10-25,32458.697
Bawang Merah/Kalimantan Timur/2024-10-26,32544.338
Bawang Merah/Kalimantan Timur/2024-10-27,32669.307
Bawang Merah/Kalimantan Timur/2024-10-28,32649.94
Bawang Merah/Kalimantan Timur/2024-10-29,32778.91
Bawang Merah/Kalimantan Timur/2024-10-30,32756.188
Bawang Merah/Kalimantan Timur/2024-10-31,32788.688
Bawang Merah/Kalimantan Timur/2024-11-01,33172.277
Bawang Merah/Kalimantan Timur/2024-11-02,33120.34
Bawang Merah/Kalimantan Timur/2024-11-03,32142.248
Bawang Merah/Kalimantan Timur/2024-11-04,31972.615
Bawang Merah/Kalimantan Timur/2024-11-05,31676.61
Bawang Merah/Kalimantan Timur/2024-11-06,31769.9
Bawang Merah/Kalimantan Timur/2024-11-07,32026.518
Bawang Merah/Kalimantan Timur/2024-11-08,32797.402
Bawang Merah/Kalimantan Timur/2024-11-09,32844.43
Bawang Merah/Kalimantan Timur/2024-11-10,32564.883
Bawang Merah/Kalimantan Timur/2024-11-11,33285.727
Bawang Merah/Kalimantan Timur/2024-11-12,33634.836
Bawang Merah/Kalimantan Timur/2024-11-13,33757.246
Bawang Merah/Kalimantan Timur/2024-11-14,34072.61
Bawang Merah/Kalimantan Timur/2024-11-15,33587.742
Bawang Merah/Kalimantan Timur/2024-11-16,33288.277
Bawang Merah/Kalimantan Timur/2024-11-17,33325.13
Bawang Merah/Kalimantan Timur/2024-11-18,32374.393
Bawang Merah/Kalimantan Timur/2024-11-19,32564.434
Bawang Merah/Kalimantan Timur/2024-11-20,32546.424
Bawang Merah/Kalimantan Timur/2024-11-21,32756.41
Bawang Merah/Kalimantan Timur/2024-11-22,33120.16
Bawang Merah/Kalimantan Timur/2024-11-23,32979.383
Bawang Merah/Kalimantan Timur/2024-11-24,32896.38
Bawang Merah/Kalimantan Timur/2024-11-25,32564.977
Bawang Merah/Kalimantan Timur/2024-11-26,32706.908
Bawang Merah/Kalimantan Timur/2024-11-27,32617.701
Bawang Merah/Kalimantan Timur/2024-11-28,32699.363
Bawang Merah/Kalimantan Timur/2024-11-29,33023.723
Bawang Merah/Kalimantan Timur/2024-11-30,32664.861
Bawang Merah/Kalimantan Timur/2024-12-01,32992.094
Bawang Merah/Kalimantan Timur/2024-12-02,32395.2
Bawang Merah/Kalimantan Timur/2024-12-03,33254.8
Bawang Merah/Kalimantan Timur/2024-12-04,32989.41
Bawang Merah/Kalimantan Timur/2024-12-05,33103.164
Bawang Merah/Kalimantan Timur/2024-12-06,33010.574
Bawang Merah/Kalimantan Timur/2024-12-07,33151.652
Bawang Merah/Kalimantan Timur/2024-12-08,32837.707
Bawang Merah/Kalimantan Timur/2024-12-09,32998.984
Bawang Merah/Kalimantan Timur/2024-12-10,33485.305
Bawang Merah/Kalimantan Timur/2024-12-11,33392.25
Bawang Merah/Kalimantan Timur/2024-12-12,33244.613
Bawang Merah/Kalimantan Timur/2024-12-13,33283.598
Bawang Merah/Kalimantan Timur/2024-12-14,34403.48
Bawang Merah/Kalimantan Timur/2024-12-15,35212.266
Bawang Merah/Kalimantan Timur/2024-12-16,34610.863
Bawang Merah/Kalimantan Timur/2024-12-17,35450.797
Bawang Merah/Kalimantan Timur/2024-12-18,35268.77
Bawang Merah/Kalimantan Timur/2024-12-19,35874.918
Bawang Merah/Kalimantan Timur/2024-12-20,36474.73
Bawang Merah/Kalimantan Timur/2024-12-21,36356.375
Bawang Merah/Kalimantan Timur/2024-12-22,36025.906
Bawang Merah/Kalimantan Timur/2024-12-23,35727.41
Bawang Merah/Kalimantan Timur/2024-12-24,35884.617
Bawang Merah/Kalimantan Timur/2024-12-25,35903.523
Bawang Merah/Kalimantan Timur/2024-12-26,36127.816
Bawang Merah/Kalimantan Timur/2024-12-27,36294.734
Bawang Merah/Kalimantan Timur/2024-12-28,37416.4
Bawang Merah/Kalimantan Timur/2024-12-29,37487.664
Bawang Merah/Kalimantan Timur/2024-12-30,40138.9
Bawang Merah/Kalimantan Timur/2024-12-31,40543.98
