id,price
Bawang Merah/Kepulauan Bangka Belitung/2024-10-01,27712.973
Bawang Merah/Kepulauan Bangka Belitung/2024-10-02,27581.96
Bawang Merah/Kepulauan Bangka Belitung/2024-10-03,27483.572
Bawang Merah/Kepulauan Bangka Belitung/2024-10-04,27726.822
Bawang Merah/Kepulauan Bangka Belitung/2024-10-05,28026.264
Bawang Merah/Kepulauan Bangka Belitung/2024-10-06,27496.514
Bawang Merah/Kepulauan Bangka Belitung/2024-10-07,27236.049
Bawang Merah/Kepulauan Bangka Belitung/2024-10-08,27633.635
Bawang Merah/Kepulauan Bangka Belitung/2024-10-09,27967.912
Bawang Merah/Kepulauan Bangka Belitung/2024-10-10,27854.016
Bawang Merah/Kepulauan Bangka Belitung/2024-10-11,28537.656
Bawang Merah/Kepulauan Bangka Belitung/2024-10-12,28300.148
Bawang Merah/Kepulauan Bangka Belitung/2024-10-13,28320.244
Bawang Merah/Kepulauan Bangka Belitung/2024-10-14,27827.67
Bawang Merah/Kepulauan Bangka Belitung/2024-10-15,28276.916
Bawang Merah/Kepulauan Bangka Belitung/2024-10-16,28569.293
Bawang Merah/Kepulauan Bangka Belitung/2024-10-17,28224.05
Bawang Merah/Kepulauan Bangka Belitung/2024-10-18,28314.377
Bawang Merah/Kepulauan Bangka Belitung/2024-10-19,28281.428
Bawang Merah/Kepulauan Bangka Belitung/2024-10-20,28168.043
Bawang Merah/Kepulauan Bangka Belitung/2024-10-21,27164.123
Bawang Merah/Kepulauan Bangka Belitung/2024-10-22,27749.36
Bawang Merah/Kepulauan Bangka Belitung/2024-10-23,27864.398
Bawang Merah/Kepulauan Bangka Belitung/2024-10-24,28178.023
Bawang Merah/Kepulauan Bangka Belitung/2024-10-25,28281.469
Bawang Merah/Kepulauan Bangka Belitung/2024-10-26,28591.586
Bawang Merah/Kepulauan Bangka Belitung/2024-10-27,28856.078
Bawang Merah/Kepulauan Bangka Belitung/2024-10-28,26813.084
Bawang Merah/Kepulauan Bangka Belitung/2024-10-29,27341.662
Bawang Merah/Kepulauan Bangka Belitung/2024-10-30,27684.656
Bawang Merah/Kepulauan Bangka Belitung/2024-10-31,27528.309
Bawang Merah/Kepulauan Bangka Belitung/2024-11-01,27246.879
Bawang Merah/Kepulauan Bangka Belitung/2024-11-02,27100.531
Bawang Merah/Kepulauan Bangka Belitung/2024-11-03,27282.08
Bawang Merah/Kepulauan Bangka Belitung/2024-11-04,31293.176
Bawang Merah/Kepulauan Bangka Belitung/2024-11-05,31788.664
Bawang Merah/Kepulauan Bangka Belitung/2024-11-06,32144.434
