id,price
Bawang Merah/Sulawesi Barat/2024-10-01,27565.512
Bawang Merah/Sulawesi Barat/2024-10-02,27740.717
Bawang Merah/Sulawesi Barat/2024-10-03,27840.336
Bawang Merah/Sulawesi Barat/2024-10-04,28150.584
Bawang Merah/Sulawesi Barat/2024-10-05,28119.912
Bawang Merah/Sulawesi Barat/2024-10-06,28359.88
Bawang Merah/Sulawesi Barat/2024-10-07,27009.54
Bawang Merah/Sulawesi Barat/2024-10-08,27412.37
Bawang Merah/Sulawesi Barat/2024-10-09,27465.605
Bawang Merah/Sulawesi Barat/2024-10-10,28416.13
Bawang Merah/Sulawesi Barat/2024-10-11,29114.938
Bawang Merah/Sulawesi Barat/2024-10-12,29153.514
Bawang Merah/Sulawesi Barat/2024-10-13,30115.03
Bawang Merah/Sulawesi Barat/2024-10-14,28515.586
Bawang Merah/Sulawesi Barat/2024-10-15,28867.91
Bawang Merah/Sulawesi Barat/2024-10-16,29365.137
Bawang Merah/Sulawesi Barat/2024-10-17,29520.088
Bawang Merah/Sulawesi Barat/2024-10-18,29730.527
Bawang Merah/Sulawesi Barat/2024-10-19,29540.215
Bawang Merah/Sulawesi Barat/2024-10-20,29360.184
Bawang Merah/Sulawesi Barat/2024-10-21,27516.855
Bawang Merah/Sulawesi Barat/2024-10-22,27708.178
Bawang Merah/Sulawesi Barat/2024-10-23,28182.908
Bawang Merah/Sulawesi Barat/2024-10-24,26976.486
Bawang Merah/Sulawesi Barat/2024-10-25,27103.223
Bawang Merah/Sulawesi Barat/2024-10-26,27018.32
Bawang Merah/Sulawesi Barat/2024-10-27,26996.273
Bawang Merah/Sulawesi Barat/2024-10-28,25843.771
Bawang Merah/Sulawesi Barat/2024-10-29,25932.723
Bawang Merah/Sulawesi Barat/2024-10-30,25439.707
Bawang Merah/Sulawesi Barat/2024-10-31,25303.707
Bawang Merah/Sulawesi Barat/2024-11-01,25254.123
Bawang Merah/Sulawesi Barat/2024-11-02,25513.436
Bawang Merah/Sulawesi Barat/2024-11-03,25946.36
Bawang Merah/Sulawesi Barat/2024-11-04,26617.406
Bawang Merah/Sulawesi Barat/2024-11-05,26462.777
Bawang Merah/Sulawesi Barat/2024-11-06,26515.463
Bawang Merah/Sulawesi Barat/2024-11-07,26681.68
Bawang Merah/Sulawesi Barat/2024-11-08,26836.785
Bawang Merah/Sulawesi Barat/2024-11-09,26676.387
Bawang Merah/Sulawesi Barat/2024-11-10,27043.14
Bawang Merah/Sulawesi Barat/2024-11-11,24210.79
Bawang Merah/Sulawesi Barat/2024-11-12,25321.023
Bawang Merah/Sulawesi Barat/2024-11-13,25192.945
Bawang Merah/Sulawesi Barat/2024-11-14,25436.23
Bawang Merah/Sulawesi Barat/2024-11-15,25561.36
Bawang Merah/Sulawesi Barat/2024-11-16,26432.959
Bawang Merah/Sulawesi Barat/2024-11-17,26561.61
Bawang Merah/Sulawesi Barat/2024-11-18,30588.574
Bawang Merah/Sulawesi Barat/2024-11-19,30938.604
Bawang Merah/Sulawesi Barat/2024-11-20,30565.928
Bawang Merah/Sulawesi Barat/2024-11-21,30749.537
Bawang Merah/Sulawesi Barat/2024-11-22,30960.607
Bawang Merah/Sulawesi Barat/2024-11-23,30578.293
Bawang Merah/Sulawesi Barat/2024-11-24,30488.344
Bawang Merah/Sulawesi Barat/2024-11-25,31022.932
Bawang Merah/Sulawesi Barat/2024-11-26,31123.309
Bawang Merah/Sulawesi Barat/2024-11-27,31262.934
Bawang Merah/Sulawesi Barat/2024-11-28,31466.27
Bawang Merah/Sulawesi Barat/2024-11-29,31680.87
Bawang Merah/Sulawesi Barat/2024-11-30,30983.54
Bawang Merah/Sulawesi Barat/2024-12-01,27053.89
Bawang Merah/Sulawesi Barat/2024-12-02,27350.643
Bawang Merah/Sulawesi Barat/2024-12-03,27107.908
Bawang Merah/Sulawesi Barat/2024-12-04,27295.01
Bawang Merah/Sulawesi Barat/2024-12-05,29786.545
Bawang Merah/Sulawesi Barat/2024-12-06,30027.654
Bawang Merah/Sulawesi Barat/2024-12-07,29482.322
Bawang Merah/Sulawesi Barat/2024-12-08,29294.701
Bawang Merah/Sulawesi Barat/2024-12-09,29389.268
Bawang Merah/Sulawesi Barat/2024-12-10,29494.377
Bawang Merah/Sulawesi Barat/2024-12-11,29549.125
Bawang Merah/Sulawesi Barat/2024-12-12,29887.668
Bawang Merah/Sulawesi Barat/2024-12-13,30005.88
Bawang Merah/Sulawesi Barat/2024-12-14,29502.441
Bawang Merah/Sulawesi Barat/2024-12-15,29327.412
Bawang Merah/Sulawesi Barat/2024-12-16,29493.637
Bawang Merah/Sulawesi Barat/2024-12-17,29799.896
Bawang Merah/Sulawesi Barat/2024-12-18,30804.49
Bawang Merah/Sulawesi Barat/2024-12-19,31327.373
Bawang Merah/Sulawesi Barat/2024-12-20,31005.783
Bawang Merah/Sulawesi Barat/2024-12-21,30073.809
Bawang Merah/Sulawesi Barat/2024-12-22,29933.139
Bawang Merah/Sulawesi Barat/2024-12-23,31143.676
Bawang Merah/Sulawesi Barat/2024-12-24,31210.281
Bawang Merah/Sulawesi Barat/2024-12-25,31224.086
Bawang Merah/Sulawesi Barat/2024-12-26,31459.623
Bawang Merah/Sulawesi Barat/2024-12-27,31732.617
Bawang Merah/Sulawesi Barat/2024-12-28,31156.916
Bawang Merah/Sulawesi Barat/2024-12-29,30596.814
Bawang Merah/Sulawesi Barat/2024-12-30,42225.816
Bawang Merah/Sulawesi Barat/2024-12-31,42789.992
