id,price
Bawang Merah/Sulawesi Utara/2024-10-01,33949.54
Bawang Merah/Sulawesi Utara/2024-10-02,33995.484
Bawang Merah/Sulawesi Utara/2024-10-03,33827.105
Bawang Merah/Sulawesi Utara/2024-10-04,33877.906
Bawang Merah/Sulawesi Utara/2024-10-05,34071.18
Bawang Merah/Sulawesi Utara/2024-10-06,34087.125
Bawang Merah/Sulawesi Utara/2024-10-07,33840.312
Bawang Merah/Sulawesi Utara/2024-10-08,33848.44
Bawang Merah/Sulawesi Utara/2024-10-09,33909.15
Bawang Merah/Sulawesi Utara/2024-10-10,34151.203
Bawang Merah/Sulawesi Utara/2024-10-11,34176.277
Bawang Merah/Sulawesi Utara/2024-10-12,34750.312
Bawang Merah/Sulawesi Utara/2024-10-13,34954.168
Bawang Merah/Sulawesi Utara/2024-10-14,33175.414
Bawang Merah/Sulawesi Utara/2024-10-15,33700.664
Bawang Merah/Sulawesi Utara/2024-10-16,33774.836
Bawang Merah/Sulawesi Utara/2024-10-17,33250.23
Bawang Merah/Sulawesi Utara/2024-10-18,33285.98
Bawang Merah/Sulawesi Utara/2024-10-19,33434.496
Bawang Merah/Sulawesi Utara/2024-10-20,33295.55
Bawang Merah/Sulawesi Utara/2024-10-21,33178.305
Bawang Merah/Sulawesi Utara/2024-10-22,33272.652
Bawang Merah/Sulawesi Utara/2024-10-23,33299.715
Bawang Merah/Sulawesi Utara/2024-10-24,33045.86
Bawang Merah/Sulawesi Utara/2024-10-25,32900.92
Bawang Merah/Sulawesi Utara/2024-10-26,33199.402
Bawang Merah/Sulawesi Utara/2024-10-27,33089.65
Bawang Merah/Sulawesi Utara/2024-10-28,32565.738
Bawang Merah/Sulawesi Utara/2024-10-29,32494.11
Bawang Merah/Sulawesi Utara/2024-10-30,32552.72
Bawang Merah/Sulawesi Utara/2024-10-31,32559.395
Bawang Merah/Sulawesi Utara/2024-11-01,32630.7
Bawang Merah/Sulawesi Utara/2024-11-02,33235.547
Bawang Merah/Sulawesi Utara/2024-11-03,32869.516
Bawang Merah/Sulawesi Utara/2024-11-04,33842.625
Bawang Merah/Sulawesi Utara/2024-11-05,33740.84
Bawang Merah/Sulawesi Utara/2024-11-06,33180.406
Bawang Merah/Sulawesi Utara/2024-11-07,33835.45
Bawang Merah/Sulawesi Utara/2024-11-08,34070.035
Bawang Merah/Sulawesi Utara/2024-11-09,34089.844
Bawang Merah/Sulawesi Utara/2024-11-10,34063.023
Bawang Merah/Sulawesi Utara/2024-11-11,34249.12
Bawang Merah/Sulawesi Utara/2024-11-12,34266.902
Bawang Merah/Sulawesi Utara/2024-11-13,34782.04
Bawang Merah/Sulawesi Utara/2024-11-14,34970.207
Bawang Merah/Sulawesi Utara/2024-11-15,34781.707
Bawang Merah/Sulawesi Utara/2024-11-16,34758.145
Bawang Merah/Sulawesi Utara/2024-11-17,34543.13
Bawang Merah/Sulawesi Utara/2024-11-18,35032.516
Bawang Merah/Sulawesi Utara/2024-11-19,35440.887
Bawang Merah/Sulawesi Utara/2024-11-20,35997.96
Bawang Merah/Sulawesi Utara/2024-11-21,35690.64
Bawang Merah/Sulawesi Utara/2024-11-22,35181.926
Bawang Merah/Sulawesi Utara/2024-11-23,35268.766
Bawang Merah/Sulawesi Utara/2024-11-24,35329.54
Bawang Merah/Sulawesi Utara/2024-11-25,35208.094
Bawang Merah/Sulawesi Utara/2024-11-26,35254.016
Bawang Merah/Sulawesi Utara/2024-11-27,35979.73
Bawang Merah/Sulawesi Utara/2024-11-28,35681.492
Bawang Merah/Sulawesi Utara/2024-11-29,35129.164
Bawang Merah/Sulawesi Utara/2024-11-30,35030.254
Bawang Merah/Sulawesi Utara/2024-12-01,34820.625
Bawang Merah/Sulawesi Utara/2024-12-02,34873.348
Bawang Merah/Sulawesi Utara/2024-12-03,35237.934
Bawang Merah/Sulawesi Utara/2024-12-04,35957.8
Bawang Merah/Sulawesi Utara/2024-12-05,35952.664
Bawang Merah/Sulawesi Utara/2024-12-06,35141.266
Bawang Merah/Sulawesi Utara/2024-12-07,35583.78
Bawang Merah/Sulawesi Utara/2024-12-08,35565.93
Bawang Merah/Sulawesi Utara/2024-12-09,35983.984
Bawang Merah/Sulawesi Utara/2024-12-10,36234.227
Bawang Merah/Sulawesi Utara/2024-12-11,36799.367
Bawang Merah/Sulawesi Utara/2024-12-12,36371.938
Bawang Merah/Sulawesi Utara/2024-12-13,35921.297
Bawang Merah/Sulawesi Utara/2024-12-14,36240.926
Bawang Merah/Sulawesi Utara/2024-12-15,36292.062
Bawang Merah/Sulawesi Utara/2024-12-16,36774.883
Bawang Merah/Sulawesi Utara/2024-12-17,36923.75
Bawang Merah/Sulawesi Utara/2024-12-18,37367.99
Bawang Merah/Sulawesi Utara/2024-12-19,39431.406
Bawang Merah/Sulawesi Utara/2024-12-20,38878.24
Bawang Merah/Sulawesi Utara/2024-12-21,38831.406
Bawang Merah/Sulawesi Utara/2024-12-22,39654.797
Bawang Merah/Sulawesi Utara/2024-12-23,38945.504
Bawang Merah/Sulawesi Utara/2024-12-24,39693.098
Bawang Merah/Sulawesi Utara/2024-12-25,40417.53
Bawang Merah/Sulawesi Utara/2024-12-26,41094.457
Bawang Merah/Sulawesi Utara/2024-12-27,42341.598
Bawang Merah/Sulawesi Utara/2024-12-28,41362.535
Bawang Merah/Sulawesi Utara/2024-12-29,40627.414
Bawang Merah/Sulawesi Utara/2024-12-30,44383.164
Bawang Merah/Sulawesi Utara/2024-12-31,45095.92
