id,price
Bawang Putih Bonggol/Maluku Utara/2024-10-01,52939.906
Bawang Putih Bonggol/Maluku Utara/2024-10-02,52543.273
Bawang Putih Bonggol/Maluku Utara/2024-10-03,52485.723
Bawang Putih Bonggol/Maluku Utara/2024-10-04,51070.375
Bawang Putih Bonggol/Maluku Utara/2024-10-05,52537.516
Bawang Putih Bonggol/Maluku Utara/2024-10-06,51859.91
Bawang Putih Bonggol/Maluku Utara/2024-10-07,52426.355
Bawang Putih Bonggol/Maluku Utara/2024-10-08,52377.125
Bawang Putih Bonggol/Maluku Utara/2024-10-09,52633.766
Bawang Putih Bonggol/Maluku Utara/2024-10-10,53185.39
Bawang Putih Bonggol/Maluku Utara/2024-10-11,53304.867
Bawang Putih Bonggol/Maluku Utara/2024-10-12,52930.17
Bawang Putih Bonggol/Maluku Utara/2024-10-13,53398.332
Bawang Putih Bonggol/Maluku Utara/2024-10-14,52924.473
Bawang Putih Bonggol/Maluku Utara/2024-10-15,54447.477
Bawang Putih Bonggol/Maluku Utara/2024-10-16,53981.75
Bawang Putih Bonggol/Maluku Utara/2024-10-17,53175.145
Bawang Putih Bonggol/Maluku Utara/2024-10-18,53283.3
Bawang Putih Bonggol/Maluku Utara/2024-10-19,52875.574
Bawang Putih Bonggol/Maluku Utara/2024-10-20,51261.1
Bawang Putih Bonggol/Maluku Utara/2024-10-21,51480.484
Bawang Putih Bonggol/Maluku Utara/2024-10-22,51335.918
Bawang Putih Bonggol/Maluku Utara/2024-10-23,52061.523
Bawang Putih Bonggol/Maluku Utara/2024-10-24,52147.195
Bawang Putih Bonggol/Maluku Utara/2024-10-25,51723.64
Bawang Putih Bonggol/Maluku Utara/2024-10-26,51599.242
Bawang Putih Bonggol/Maluku Utara/2024-10-27,51631.793
Bawang Putih Bonggol/Maluku Utara/2024-10-28,51931.586
Bawang Putih Bonggol/Maluku Utara/2024-10-29,51422.043
Bawang Putih Bonggol/Maluku Utara/2024-10-30,51860.594
Bawang Putih Bonggol/Maluku Utara/2024-10-31,51571.33
Bawang Putih Bonggol/Maluku Utara/2024-11-01,52883.71
Bawang Putih Bonggol/Maluku Utara/2024-11-02,52689.605
Bawang Putih Bonggol/Maluku Utara/2024-11-03,51861.977
Bawang Putih Bonggol/Maluku Utara/2024-11-04,51436.836
Bawang Putih Bonggol/Maluku Utara/2024-11-05,52690.848
Bawang Putih Bonggol/Maluku Utara/2024-11-06,52006.695
Bawang Putih Bonggol/Maluku Utara/2024-11-07,52414.016
Bawang Putih Bonggol/Maluku Utara/2024-11-08,52244.055
Bawang Putih Bonggol/Maluku Utara/2024-11-09,53000.78
Bawang Putih Bonggol/Maluku Utara/2024-11-10,52945.246
Bawang Putih Bonggol/Maluku Utara/2024-11-11,52813.152
Bawang Putih Bonggol/Maluku Utara/2024-11-12,54345.51
Bawang Putih Bonggol/Maluku Utara/2024-11-13,54035.184
Bawang Putih Bonggol/Maluku Utara/2024-11-14,53394.746
Bawang Putih Bonggol/Maluku Utara/2024-11-15,53613.57
Bawang Putih Bonggol/Maluku Utara/2024-11-16,53270.453
Bawang Putih Bonggol/Maluku Utara/2024-11-17,53541.89
Bawang Putih Bonggol/Maluku Utara/2024-11-18,52906.28
Bawang Putih Bonggol/Maluku Utara/2024-11-19,53367.375
Bawang Putih Bonggol/Maluku Utara/2024-11-20,51430.523
Bawang Putih Bonggol/Maluku Utara/2024-11-21,51337.504
Bawang Putih Bonggol/Maluku Utara/2024-11-22,51358.492
Bawang Putih Bonggol/Maluku Utara/2024-11-23,52476.9
Bawang Putih Bonggol/Maluku Utara/2024-11-24,52681.566
Bawang Putih Bonggol/Maluku Utara/2024-11-25,52260.195
Bawang Putih Bonggol/Maluku Utara/2024-11-26,51358.65
Bawang Putih Bonggol/Maluku Utara/2024-11-27,52024.734
Bawang Putih Bonggol/Maluku Utara/2024-11-28,51529.793
Bawang Putih Bonggol/Maluku Utara/2024-11-29,51241.188
Bawang Putih Bonggol/Maluku Utara/2024-11-30,51730.445
Bawang Putih Bonggol/Maluku Utara/2024-12-01,52170.79
Bawang Putih Bonggol/Maluku Utara/2024-12-02,52448.19
Bawang Putih Bonggol/Maluku Utara/2024-12-03,52855.203
Bawang Putih Bonggol/Maluku Utara/2024-12-04,51407.277
Bawang Putih Bonggol/Maluku Utara/2024-12-05,52618.996
Bawang Putih Bonggol/Maluku Utara/2024-12-06,52557.78
Bawang Putih Bonggol/Maluku Utara/2024-12-07,52332.53
Bawang Putih Bonggol/Maluku Utara/2024-12-08,51546.188
Bawang Putih Bonggol/Maluku Utara/2024-12-09,52813.152
Bawang Putih Bonggol/Maluku Utara/2024-12-10,53172.457
Bawang Putih Bonggol/Maluku Utara/2024-12-11,53814.324
Bawang Putih Bonggol/Maluku Utara/2024-12-12,53136.355
Bawang Putih Bonggol/Maluku Utara/2024-12-13,53461.363
Bawang Putih Bonggol/Maluku Utara/2024-12-14,53334.68
Bawang Putih Bonggol/Maluku Utara/2024-12-15,53884.113
Bawang Putih Bonggol/Maluku Utara/2024-12-16,52722.816
Bawang Putih Bonggol/Maluku Utara/2024-12-17,54317.707
Bawang Putih Bonggol/Maluku Utara/2024-12-18,53338.06
Bawang Putih Bonggol/Maluku Utara/2024-12-19,53195.52
Bawang Putih Bonggol/Maluku Utara/2024-12-20,50804.496
Bawang Putih Bonggol/Maluku Utara/2024-12-21,51242.453
Bawang Putih Bonggol/Maluku Utara/2024-12-22,52072.3
Bawang Putih Bonggol/Maluku Utara/2024-12-23,52781.484
Bawang Putih Bonggol/Maluku Utara/2024-12-24,51348.49
Bawang Putih Bonggol/Maluku Utara/2024-12-25,52416.727
Bawang Putih Bonggol/Maluku Utara/2024-12-26,51368.496
Bawang Putih Bonggol/Maluku Utara/2024-12-27,51146.81
Bawang Putih Bonggol/Maluku Utara/2024-12-28,51954.53
Bawang Putih Bonggol/Maluku Utara/2024-12-29,51386.36
Bawang Putih Bonggol/Maluku Utara/2024-12-30,51157.348
Bawang Putih Bonggol/Maluku Utara/2024-12-31,51399.66
