id,price
Beras Medium/Kalimantan Selatan/2024-10-01,12182.69
Beras Medium/Kalimantan Selatan/2024-10-02,12161.22
Beras Medium/Kalimantan Selatan/2024-10-03,12102.751
Beras Medium/Kalimantan Selatan/2024-10-04,12049.147
Beras Medium/Kalimantan Selatan/2024-10-05,12043.045
Beras Medium/Kalimantan Selatan/2024-10-06,12081.446
Beras Medium/Kalimantan Selatan/2024-10-07,12119.559
Beras Medium/Kalimantan Selatan/2024-10-08,12096.356
Beras Medium/Kalimantan Selatan/2024-10-09,12117.177
Beras Medium/Kalimantan Selatan/2024-10-10,12044.812
Beras Medium/Kalimantan Selatan/2024-10-11,12054.472
Beras Medium/Kalimantan Selatan/2024-10-12,12043.164
Beras Medium/Kalimantan Selatan/2024-10-13,12077.756
Beras Medium/Kalimantan Selatan/2024-10-14,12119.061
Beras Medium/Kalimantan Selatan/2024-10-15,12094.843
Beras Medium/Kalimantan Selatan/2024-10-16,12088.181
Beras Medium/Kalimantan Selatan/2024-10-17,12044.819
Beras Medium/Kalimantan Selatan/2024-10-18,12044.819
Beras Medium/Kalimantan Selatan/2024-10-19,12038.717
Beras Medium/Kalimantan Selatan/2024-10-20,12065.1455
Beras Medium/Kalimantan Selatan/2024-10-21,12099.409
Beras Medium/Kalimantan Selatan/2024-10-22,12072.451
Beras Medium/Kalimantan Selatan/2024-10-23,12071.794
Beras Medium/Kalimantan Selatan/2024-10-24,12040.364
Beras Medium/Kalimantan Selatan/2024-10-25,12040.364
Beras Medium/Kalimantan Selatan/2024-10-26,12034.262
Beras Medium/Kalimantan Selatan/2024-10-27,12066.263
Beras Medium/Kalimantan Selatan/2024-10-28,12124.133
Beras Medium/Kalimantan Selatan/2024-10-29,12098.721
Beras Medium/Kalimantan Selatan/2024-10-30,12101.345
Beras Medium/Kalimantan Selatan/2024-10-31,12072.013
Beras Medium/Kalimantan Selatan/2024-11-01,12160.995
Beras Medium/Kalimantan Selatan/2024-11-02,12082.092
Beras Medium/Kalimantan Selatan/2024-11-03,12117.09
Beras Medium/Kalimantan Selatan/2024-11-04,12046.606
Beras Medium/Kalimantan Selatan/2024-11-05,12047.427
Beras Medium/Kalimantan Selatan/2024-11-06,12029.677
Beras Medium/Kalimantan Selatan/2024-11-07,12017.05
Beras Medium/Kalimantan Selatan/2024-11-08,11997.901
Beras Medium/Kalimantan Selatan/2024-11-09,11991.799
Beras Medium/Kalimantan Selatan/2024-11-10,12018.228
Beras Medium/Kalimantan Selatan/2024-11-11,12039.886
Beras Medium/Kalimantan Selatan/2024-11-12,12043.658
Beras Medium/Kalimantan Selatan/2024-11-13,12014.61
Beras Medium/Kalimantan Selatan/2024-11-14,12008.058
Beras Medium/Kalimantan Selatan/2024-11-15,12014.478
Beras Medium/Kalimantan Selatan/2024-11-16,12008.375
Beras Medium/Kalimantan Selatan/2024-11-17,12034.804
Beras Medium/Kalimantan Selatan/2024-11-18,12039.886
Beras Medium/Kalimantan Selatan/2024-11-19,12049.286
Beras Medium/Kalimantan Selatan/2024-11-20,12019.058
Beras Medium/Kalimantan Selatan/2024-11-21,12008.058
Beras Medium/Kalimantan Selatan/2024-11-22,12014.478
Beras Medium/Kalimantan Selatan/2024-11-23,12008.375
Beras Medium/Kalimantan Selatan/2024-11-24,12040.376
Beras Medium/Kalimantan Selatan/2024-11-25,12064.804
Beras Medium/Kalimantan Selatan/2024-11-26,12072.174
Beras Medium/Kalimantan Selatan/2024-11-27,12051.446
Beras Medium/Kalimantan Selatan/2024-11-28,12015.007
Beras Medium/Kalimantan Selatan/2024-11-29,12015.007
Beras Medium/Kalimantan Selatan/2024-11-30,12060.992
Beras Medium/Kalimantan Selatan/2024-12-01,12122.772
Beras Medium/Kalimantan Selatan/2024-12-02,12055.517
Beras Medium/Kalimantan Selatan/2024-12-03,12050.379
Beras Medium/Kalimantan Selatan/2024-12-04,12021.331
Beras Medium/Kalimantan Selatan/2024-12-05,12022.741
Beras Medium/Kalimantan Selatan/2024-12-06,12034.038
Beras Medium/Kalimantan Selatan/2024-12-07,12040.475
Beras Medium/Kalimantan Selatan/2024-12-08,12058.258
Beras Medium/Kalimantan Selatan/2024-12-09,12026.534
Beras Medium/Kalimantan Selatan/2024-12-10,12030.307
Beras Medium/Kalimantan Selatan/2024-12-11,12001.259
Beras Medium/Kalimantan Selatan/2024-12-12,12001.259
Beras Medium/Kalimantan Selatan/2024-12-13,12007.679
Beras Medium/Kalimantan Selatan/2024-12-14,12001.576
Beras Medium/Kalimantan Selatan/2024-12-15,12028.005
Beras Medium/Kalimantan Selatan/2024-12-16,12026.534
Beras Medium/Kalimantan Selatan/2024-12-17,12030.307
Beras Medium/Kalimantan Selatan/2024-12-18,12001.259
Beras Medium/Kalimantan Selatan/2024-12-19,12001.259
Beras Medium/Kalimantan Selatan/2024-12-20,12007.679
Beras Medium/Kalimantan Selatan/2024-12-21,12001.576
Beras Medium/Kalimantan Selatan/2024-12-22,12028.005
Beras Medium/Kalimantan Selatan/2024-12-23,12048.076
Beras Medium/Kalimantan Selatan/2024-12-24,12071.653
Beras Medium/Kalimantan Selatan/2024-12-25,12001.259
Beras Medium/Kalimantan Selatan/2024-12-26,12001.259
Beras Medium/Kalimantan Selatan/2024-12-27,12008.208
Beras Medium/Kalimantan Selatan/2024-12-28,12002.105
Beras Medium/Kalimantan Selatan/2024-12-29,12045.815
Beras Medium/Kalimantan Selatan/2024-12-30,12075.462
Beras Medium/Kalimantan Selatan/2024-12-31,12047.902
