id,price
Beras Medium/Kalimantan Timur/2024-10-01,15515.562
Beras Medium/Kalimantan Timur/2024-10-02,15530.689
Beras Medium/Kalimantan Timur/2024-10-03,15524.39
Beras Medium/Kalimantan Timur/2024-10-04,15507.516
Beras Medium/Kalimantan Timur/2024-10-05,15491.077
Beras Medium/Kalimantan Timur/2024-10-06,15511.22
Beras Medium/Kalimantan Timur/2024-10-07,15507.161
Beras Medium/Kalimantan Timur/2024-10-08,15505.661
Beras Medium/Kalimantan Timur/2024-10-09,15497.588
Beras Medium/Kalimantan Timur/2024-10-10,15509.244
Beras Medium/Kalimantan Timur/2024-10-11,15509.681
Beras Medium/Kalimantan Timur/2024-10-12,15502.371
Beras Medium/Kalimantan Timur/2024-10-13,15519.153
Beras Medium/Kalimantan Timur/2024-10-14,15498.334
Beras Medium/Kalimantan Timur/2024-10-15,15487.43
Beras Medium/Kalimantan Timur/2024-10-16,15487.43
Beras Medium/Kalimantan Timur/2024-10-17,15505.879
Beras Medium/Kalimantan Timur/2024-10-18,15498.572
Beras Medium/Kalimantan Timur/2024-10-19,15487.987
Beras Medium/Kalimantan Timur/2024-10-20,15499.171
Beras Medium/Kalimantan Timur/2024-10-21,15503.371
Beras Medium/Kalimantan Timur/2024-10-22,15496.949
Beras Medium/Kalimantan Timur/2024-10-23,15491.988
Beras Medium/Kalimantan Timur/2024-10-24,15680.545
Beras Medium/Kalimantan Timur/2024-10-25,15680.545
Beras Medium/Kalimantan Timur/2024-10-26,15688.972
Beras Medium/Kalimantan Timur/2024-10-27,15732.697
Beras Medium/Kalimantan Timur/2024-10-28,15696.894
Beras Medium/Kalimantan Timur/2024-10-29,15696.736
Beras Medium/Kalimantan Timur/2024-10-30,15724.881
Beras Medium/Kalimantan Timur/2024-10-31,15723.486
Beras Medium/Kalimantan Timur/2024-11-01,15501.153
Beras Medium/Kalimantan Timur/2024-11-02,15507.733
Beras Medium/Kalimantan Timur/2024-11-03,15504.719
Beras Medium/Kalimantan Timur/2024-11-04,15519.721
Beras Medium/Kalimantan Timur/2024-11-05,15510.421
Beras Medium/Kalimantan Timur/2024-11-06,15525.898
Beras Medium/Kalimantan Timur/2024-11-07,15502.623
Beras Medium/Kalimantan Timur/2024-11-08,15489.626
Beras Medium/Kalimantan Timur/2024-11-09,15499.256
Beras Medium/Kalimantan Timur/2024-11-10,15496.715
Beras Medium/Kalimantan Timur/2024-11-11,15506.718
Beras Medium/Kalimantan Timur/2024-11-12,15500.85
Beras Medium/Kalimantan Timur/2024-11-13,15519.153
Beras Medium/Kalimantan Timur/2024-11-14,15505.879
Beras Medium/Kalimantan Timur/2024-11-15,15490.098
Beras Medium/Kalimantan Timur/2024-11-16,15494.424
Beras Medium/Kalimantan Timur/2024-11-17,15507.54
Beras Medium/Kalimantan Timur/2024-11-18,15570.836
Beras Medium/Kalimantan Timur/2024-11-19,15493.295
Beras Medium/Kalimantan Timur/2024-11-20,15490.018
Beras Medium/Kalimantan Timur/2024-11-21,15495.638
Beras Medium/Kalimantan Timur/2024-11-22,15498.961
Beras Medium/Kalimantan Timur/2024-11-23,15499.906
Beras Medium/Kalimantan Timur/2024-11-24,15667.304
Beras Medium/Kalimantan Timur/2024-11-25,15679.068
Beras Medium/Kalimantan Timur/2024-11-26,15680.803
Beras Medium/Kalimantan Timur/2024-11-27,15725.038
Beras Medium/Kalimantan Timur/2024-11-28,15731.307
Beras Medium/Kalimantan Timur/2024-11-29,15720.407
Beras Medium/Kalimantan Timur/2024-11-30,15732.088
Beras Medium/Kalimantan Timur/2024-12-01,15522.412
Beras Medium/Kalimantan Timur/2024-12-02,15532.572
Beras Medium/Kalimantan Timur/2024-12-03,15502.775
Beras Medium/Kalimantan Timur/2024-12-04,15534.602
Beras Medium/Kalimantan Timur/2024-12-05,15507.398
Beras Medium/Kalimantan Timur/2024-12-06,15480.225
Beras Medium/Kalimantan Timur/2024-12-07,15484.209
Beras Medium/Kalimantan Timur/2024-12-08,15509.465
Beras Medium/Kalimantan Timur/2024-12-09,15501.383
Beras Medium/Kalimantan Timur/2024-12-10,15507.565
Beras Medium/Kalimantan Timur/2024-12-11,15507.844
Beras Medium/Kalimantan Timur/2024-12-12,15506.713
Beras Medium/Kalimantan Timur/2024-12-13,15504.295
Beras Medium/Kalimantan Timur/2024-12-14,15506.34
Beras Medium/Kalimantan Timur/2024-12-15,15482.558
Beras Medium/Kalimantan Timur/2024-12-16,15479.885
Beras Medium/Kalimantan Timur/2024-12-17,15505.879
Beras Medium/Kalimantan Timur/2024-12-18,15489.371
Beras Medium/Kalimantan Timur/2024-12-19,15496.629
Beras Medium/Kalimantan Timur/2024-12-20,15502.927
Beras Medium/Kalimantan Timur/2024-12-21,15496.223
Beras Medium/Kalimantan Timur/2024-12-22,15494.328
Beras Medium/Kalimantan Timur/2024-12-23,15503.722
Beras Medium/Kalimantan Timur/2024-12-24,15679.068
Beras Medium/Kalimantan Timur/2024-12-25,15668.422
Beras Medium/Kalimantan Timur/2024-12-26,15672.262
Beras Medium/Kalimantan Timur/2024-12-27,15731.307
Beras Medium/Kalimantan Timur/2024-12-28,15732.245
Beras Medium/Kalimantan Timur/2024-12-29,15732.54
Beras Medium/Kalimantan Timur/2024-12-30,14900.895
Beras Medium/Kalimantan Timur/2024-12-31,14919.168
