id,price
Beras Medium/Kalimantan Utara/2024-10-01,15450.083
Beras Medium/Kalimantan Utara/2024-10-02,15463.588
Beras Medium/Kalimantan Utara/2024-10-03,15477.096
Beras Medium/Kalimantan Utara/2024-10-04,15395.587
Beras Medium/Kalimantan Utara/2024-10-05,15489.172
Beras Medium/Kalimantan Utara/2024-10-06,15374.942
Beras Medium/Kalimantan Utara/2024-10-07,15506.039
Beras Medium/Kalimantan Utara/2024-10-08,15514.776
Beras Medium/Kalimantan Utara/2024-10-09,15503.278
Beras Medium/Kalimantan Utara/2024-10-10,15514.776
Beras Medium/Kalimantan Utara/2024-10-11,15508.225
Beras Medium/Kalimantan Utara/2024-10-12,15398.266
Beras Medium/Kalimantan Utara/2024-10-13,15314.565
Beras Medium/Kalimantan Utara/2024-10-14,15471.654
Beras Medium/Kalimantan Utara/2024-10-15,15461.317
Beras Medium/Kalimantan Utara/2024-10-16,15408.63
Beras Medium/Kalimantan Utara/2024-10-17,15459.058
Beras Medium/Kalimantan Utara/2024-10-18,15469.395
Beras Medium/Kalimantan Utara/2024-10-19,15443.92
Beras Medium/Kalimantan Utara/2024-10-20,15299.214
Beras Medium/Kalimantan Utara/2024-10-21,15456.303
Beras Medium/Kalimantan Utara/2024-10-22,15462.8545
Beras Medium/Kalimantan Utara/2024-10-23,15384.995
Beras Medium/Kalimantan Utara/2024-10-24,15460.595
Beras Medium/Kalimantan Utara/2024-10-25,15454.043
Beras Medium/Kalimantan Utara/2024-10-26,15413.613
Beras Medium/Kalimantan Utara/2024-10-27,15293.001
Beras Medium/Kalimantan Utara/2024-10-28,15434.165
Beras Medium/Kalimantan Utara/2024-10-29,15433.409
Beras Medium/Kalimantan Utara/2024-10-30,15414.463
Beras Medium/Kalimantan Utara/2024-10-31,15412.643
Beras Medium/Kalimantan Utara/2024-11-01,15430.804
Beras Medium/Kalimantan Utara/2024-11-02,15435.576
Beras Medium/Kalimantan Utara/2024-11-03,15325.195
Beras Medium/Kalimantan Utara/2024-11-04,15452.504
Beras Medium/Kalimantan Utara/2024-11-05,15512.791
Beras Medium/Kalimantan Utara/2024-11-06,15503.278
Beras Medium/Kalimantan Utara/2024-11-07,15514.776
Beras Medium/Kalimantan Utara/2024-11-08,15506.039
Beras Medium/Kalimantan Utara/2024-11-09,15491.157
Beras Medium/Kalimantan Utara/2024-11-10,15401.656
Beras Medium/Kalimantan Utara/2024-11-11,15508.225
Beras Medium/Kalimantan Utara/2024-11-12,15451.81
Beras Medium/Kalimantan Utara/2024-11-13,15425.519
Beras Medium/Kalimantan Utara/2024-11-14,15459.058
Beras Medium/Kalimantan Utara/2024-11-15,15469.395
Beras Medium/Kalimantan Utara/2024-11-16,15443.92
Beras Medium/Kalimantan Utara/2024-11-17,15314.565
Beras Medium/Kalimantan Utara/2024-11-18,15471.654
Beras Medium/Kalimantan Utara/2024-11-19,15478.206
Beras Medium/Kalimantan Utara/2024-11-20,15438.504
Beras Medium/Kalimantan Utara/2024-11-21,15460.595
Beras Medium/Kalimantan Utara/2024-11-22,15454.043
Beras Medium/Kalimantan Utara/2024-11-23,15428.568
Beras Medium/Kalimantan Utara/2024-11-24,15299.214
Beras Medium/Kalimantan Utara/2024-11-25,15456.303
Beras Medium/Kalimantan Utara/2024-11-26,15447.899
Beras Medium/Kalimantan Utara/2024-11-27,15442.574
Beras Medium/Kalimantan Utara/2024-11-28,15416.096
Beras Medium/Kalimantan Utara/2024-11-29,15402.236
Beras Medium/Kalimantan Utara/2024-11-30,15388.637
Beras Medium/Kalimantan Utara/2024-12-01,15317.888
Beras Medium/Kalimantan Utara/2024-12-02,15462.149
Beras Medium/Kalimantan Utara/2024-12-03,15487.638
Beras Medium/Kalimantan Utara/2024-12-04,15457.352
Beras Medium/Kalimantan Utara/2024-12-05,15512.791
Beras Medium/Kalimantan Utara/2024-12-06,15506.039
Beras Medium/Kalimantan Utara/2024-12-07,15491.157
Beras Medium/Kalimantan Utara/2024-12-08,15377.689
Beras Medium/Kalimantan Utara/2024-12-09,15506.039
Beras Medium/Kalimantan Utara/2024-12-10,15514.776
Beras Medium/Kalimantan Utara/2024-12-11,15503.278
Beras Medium/Kalimantan Utara/2024-12-12,15451.81
Beras Medium/Kalimantan Utara/2024-12-13,15469.395
Beras Medium/Kalimantan Utara/2024-12-14,15443.92
Beras Medium/Kalimantan Utara/2024-12-15,15314.565
Beras Medium/Kalimantan Utara/2024-12-16,15471.654
Beras Medium/Kalimantan Utara/2024-12-17,15461.317
Beras Medium/Kalimantan Utara/2024-12-18,15425.519
Beras Medium/Kalimantan Utara/2024-12-19,15475.946
Beras Medium/Kalimantan Utara/2024-12-20,15454.043
Beras Medium/Kalimantan Utara/2024-12-21,15428.568
Beras Medium/Kalimantan Utara/2024-12-22,15299.214
Beras Medium/Kalimantan Utara/2024-12-23,15456.303
Beras Medium/Kalimantan Utara/2024-12-24,15462.8545
Beras Medium/Kalimantan Utara/2024-12-25,15438.504
Beras Medium/Kalimantan Utara/2024-12-26,15445.64
Beras Medium/Kalimantan Utara/2024-12-27,15436.163
Beras Medium/Kalimantan Utara/2024-12-28,15392.089
Beras Medium/Kalimantan Utara/2024-12-29,15285.692
Beras Medium/Kalimantan Utara/2024-12-30,14795.583
Beras Medium/Kalimantan Utara/2024-12-31,14795.583
