id,price
Beras Medium/Kepulauan Riau/2024-10-01,13850.322
Beras Medium/Kepulauan Riau/2024-10-02,13960.918
Beras Medium/Kepulauan Riau/2024-10-03,13946.883
Beras Medium/Kepulauan Riau/2024-10-04,13933.388
Beras Medium/Kepulauan Riau/2024-10-05,13920.718
Beras Medium/Kepulauan Riau/2024-10-06,13977.487
Beras Medium/Kepulauan Riau/2024-10-07,13874.377
Beras Medium/Kepulauan Riau/2024-10-08,13839.232
Beras Medium/Kepulauan Riau/2024-10-09,13958.362
Beras Medium/Kepulauan Riau/2024-10-10,13961.847
Beras Medium/Kepulauan Riau/2024-10-11,13947.288
Beras Medium/Kepulauan Riau/2024-10-12,13942.384
Beras Medium/Kepulauan Riau/2024-10-13,13968.964
Beras Medium/Kepulauan Riau/2024-10-14,13926.263
Beras Medium/Kepulauan Riau/2024-10-15,13947.79
Beras Medium/Kepulauan Riau/2024-10-16,14000.362
Beras Medium/Kepulauan Riau/2024-10-17,13980.339
Beras Medium/Kepulauan Riau/2024-10-18,13959.537
Beras Medium/Kepulauan Riau/2024-10-19,13915.762
Beras Medium/Kepulauan Riau/2024-10-20,13978.225
Beras Medium/Kepulauan Riau/2024-10-21,13976.755
Beras Medium/Kepulauan Riau/2024-10-22,13979.86
Beras Medium/Kepulauan Riau/2024-10-23,13943.192
Beras Medium/Kepulauan Riau/2024-10-24,13935.934
Beras Medium/Kepulauan Riau/2024-10-25,13923.724
Beras Medium/Kepulauan Riau/2024-10-26,13939.715
Beras Medium/Kepulauan Riau/2024-10-27,13935.621
Beras Medium/Kepulauan Riau/2024-10-28,13881.44
Beras Medium/Kepulauan Riau/2024-10-29,13907.536
Beras Medium/Kepulauan Riau/2024-10-30,13909.085
Beras Medium/Kepulauan Riau/2024-10-31,13908.351
Beras Medium/Kepulauan Riau/2024-11-01,13875.022
Beras Medium/Kepulauan Riau/2024-11-02,13950.64
Beras Medium/Kepulauan Riau/2024-11-03,14040.523
Beras Medium/Kepulauan Riau/2024-11-04,13931.05
Beras Medium/Kepulauan Riau/2024-11-05,13862.31
Beras Medium/Kepulauan Riau/2024-11-06,14054.922
Beras Medium/Kepulauan Riau/2024-11-07,13937.74
Beras Medium/Kepulauan Riau/2024-11-08,13937.74
Beras Medium/Kepulauan Riau/2024-11-09,13900.42
Beras Medium/Kepulauan Riau/2024-11-10,13968.291
Beras Medium/Kepulauan Riau/2024-11-11,13905.931
Beras Medium/Kepulauan Riau/2024-11-12,13923.304
Beras Medium/Kepulauan Riau/2024-11-13,13994.774
Beras Medium/Kepulauan Riau/2024-11-14,13960.446
Beras Medium/Kepulauan Riau/2024-11-15,13985.147
Beras Medium/Kepulauan Riau/2024-11-16,13967.624
Beras Medium/Kepulauan Riau/2024-11-17,13964.722
Beras Medium/Kepulauan Riau/2024-11-18,13932.36
Beras Medium/Kepulauan Riau/2024-11-19,13928.219
Beras Medium/Kepulauan Riau/2024-11-20,13939.089
Beras Medium/Kepulauan Riau/2024-11-21,13947.967
Beras Medium/Kepulauan Riau/2024-11-22,13937.022
Beras Medium/Kepulauan Riau/2024-11-23,13969.688
Beras Medium/Kepulauan Riau/2024-11-24,13892.987
Beras Medium/Kepulauan Riau/2024-11-25,13960.61
Beras Medium/Kepulauan Riau/2024-11-26,13965.178
Beras Medium/Kepulauan Riau/2024-11-27,13897.511
Beras Medium/Kepulauan Riau/2024-11-28,13872.862
Beras Medium/Kepulauan Riau/2024-11-29,13886.882
Beras Medium/Kepulauan Riau/2024-11-30,13890.453
Beras Medium/Kepulauan Riau/2024-12-01,13918.867
Beras Medium/Kepulauan Riau/2024-12-02,13949.263
Beras Medium/Kepulauan Riau/2024-12-03,13948.376
Beras Medium/Kepulauan Riau/2024-12-04,14003.06
Beras Medium/Kepulauan Riau/2024-12-05,13923.858
Beras Medium/Kepulauan Riau/2024-12-06,13972.978
Beras Medium/Kepulauan Riau/2024-12-07,13931.917
Beras Medium/Kepulauan Riau/2024-12-08,13943.161
Beras Medium/Kepulauan Riau/2024-12-09,13915.816
Beras Medium/Kepulauan Riau/2024-12-10,13947.59
Beras Medium/Kepulauan Riau/2024-12-11,13979.567
Beras Medium/Kepulauan Riau/2024-12-12,13942.533
Beras Medium/Kepulauan Riau/2024-12-13,13957.461
Beras Medium/Kepulauan Riau/2024-12-14,13973.006
Beras Medium/Kepulauan Riau/2024-12-15,13991.257
Beras Medium/Kepulauan Riau/2024-12-16,13934.643
Beras Medium/Kepulauan Riau/2024-12-17,13911.983
Beras Medium/Kepulauan Riau/2024-12-18,14002.103
Beras Medium/Kepulauan Riau/2024-12-19,13932.238
Beras Medium/Kepulauan Riau/2024-12-20,13924.2705
Beras Medium/Kepulauan Riau/2024-12-21,13981.823
Beras Medium/Kepulauan Riau/2024-12-22,13966.925
Beras Medium/Kepulauan Riau/2024-12-23,13964.62
Beras Medium/Kepulauan Riau/2024-12-24,13963.778
Beras Medium/Kepulauan Riau/2024-12-25,13961.668
Beras Medium/Kepulauan Riau/2024-12-26,13931.963
Beras Medium/Kepulauan Riau/2024-12-27,13856.459
Beras Medium/Kepulauan Riau/2024-12-28,13853.958
Beras Medium/Kepulauan Riau/2024-12-29,13927.412
Beras Medium/Kepulauan Riau/2024-12-30,13763.389
Beras Medium/Kepulauan Riau/2024-12-31,13735.981
