id,price
Beras Medium/Sulawesi Utara/2024-10-01,13770.129
Beras Medium/Sulawesi Utara/2024-10-02,13773.368
Beras Medium/Sulawesi Utara/2024-10-03,13712.915
Beras Medium/Sulawesi Utara/2024-10-04,13688.841
Beras Medium/Sulawesi Utara/2024-10-05,13751.502
Beras Medium/Sulawesi Utara/2024-10-06,13725.3545
Beras Medium/Sulawesi Utara/2024-10-07,13771.97
Beras Medium/Sulawesi Utara/2024-10-08,13784.245
Beras Medium/Sulawesi Utara/2024-10-09,13811.885
Beras Medium/Sulawesi Utara/2024-10-10,13774.888
Beras Medium/Sulawesi Utara/2024-10-11,13758.415
Beras Medium/Sulawesi Utara/2024-10-12,13790.963
Beras Medium/Sulawesi Utara/2024-10-13,13802.202
Beras Medium/Sulawesi Utara/2024-10-14,13805.726
Beras Medium/Sulawesi Utara/2024-10-15,13798.29
Beras Medium/Sulawesi Utara/2024-10-16,13790.399
Beras Medium/Sulawesi Utara/2024-10-17,13754.916
Beras Medium/Sulawesi Utara/2024-10-18,13752.921
Beras Medium/Sulawesi Utara/2024-10-19,13768.655
Beras Medium/Sulawesi Utara/2024-10-20,13754.663
Beras Medium/Sulawesi Utara/2024-10-21,13770.714
Beras Medium/Sulawesi Utara/2024-10-22,13752.849
Beras Medium/Sulawesi Utara/2024-10-23,13726.375
Beras Medium/Sulawesi Utara/2024-10-24,13743.942
Beras Medium/Sulawesi Utara/2024-10-25,13726.938
Beras Medium/Sulawesi Utara/2024-10-26,13751.903
Beras Medium/Sulawesi Utara/2024-10-27,13736.006
Beras Medium/Sulawesi Utara/2024-10-28,13747.421
Beras Medium/Sulawesi Utara/2024-10-29,13718.382
Beras Medium/Sulawesi Utara/2024-10-30,13736.301
Beras Medium/Sulawesi Utara/2024-10-31,13698.83
Beras Medium/Sulawesi Utara/2024-11-01,13773.704
Beras Medium/Sulawesi Utara/2024-11-02,13813.473
Beras Medium/Sulawesi Utara/2024-11-03,13723.22
Beras Medium/Sulawesi Utara/2024-11-04,13755.296
Beras Medium/Sulawesi Utara/2024-11-05,13754.528
Beras Medium/Sulawesi Utara/2024-11-06,13756.246
Beras Medium/Sulawesi Utara/2024-11-07,13722.557
Beras Medium/Sulawesi Utara/2024-11-08,13720.217
Beras Medium/Sulawesi Utara/2024-11-09,13793.963
Beras Medium/Sulawesi Utara/2024-11-10,13780.973
Beras Medium/Sulawesi Utara/2024-11-11,13806.236
Beras Medium/Sulawesi Utara/2024-11-12,13784.743
Beras Medium/Sulawesi Utara/2024-11-13,13810.279
Beras Medium/Sulawesi Utara/2024-11-14,13750.721
Beras Medium/Sulawesi Utara/2024-11-15,13738.226
Beras Medium/Sulawesi Utara/2024-11-16,13788.334
Beras Medium/Sulawesi Utara/2024-11-17,13770.636
Beras Medium/Sulawesi Utara/2024-11-18,13783.376
Beras Medium/Sulawesi Utara/2024-11-19,13762.272
Beras Medium/Sulawesi Utara/2024-11-20,13770.589
Beras Medium/Sulawesi Utara/2024-11-21,13768.576
Beras Medium/Sulawesi Utara/2024-11-22,13731.659
Beras Medium/Sulawesi Utara/2024-11-23,13744.411
Beras Medium/Sulawesi Utara/2024-11-24,13735.563
Beras Medium/Sulawesi Utara/2024-11-25,13743.456
Beras Medium/Sulawesi Utara/2024-11-26,13749.51
Beras Medium/Sulawesi Utara/2024-11-27,13757.068
Beras Medium/Sulawesi Utara/2024-11-28,13734.771
Beras Medium/Sulawesi Utara/2024-11-29,13714.056
Beras Medium/Sulawesi Utara/2024-11-30,13746.362
Beras Medium/Sulawesi Utara/2024-12-01,13745.654
Beras Medium/Sulawesi Utara/2024-12-02,13832.102
Beras Medium/Sulawesi Utara/2024-12-03,13735.8955
Beras Medium/Sulawesi Utara/2024-12-04,13749.208
Beras Medium/Sulawesi Utara/2024-12-05,13698.424
Beras Medium/Sulawesi Utara/2024-12-06,13686.242
Beras Medium/Sulawesi Utara/2024-12-07,13780.682
Beras Medium/Sulawesi Utara/2024-12-08,13735.278
Beras Medium/Sulawesi Utara/2024-12-09,13797.174
Beras Medium/Sulawesi Utara/2024-12-10,13817.371
Beras Medium/Sulawesi Utara/2024-12-11,13812.076
Beras Medium/Sulawesi Utara/2024-12-12,13761.535
Beras Medium/Sulawesi Utara/2024-12-13,13747.0625
Beras Medium/Sulawesi Utara/2024-12-14,13801.009
Beras Medium/Sulawesi Utara/2024-12-15,13796.039
Beras Medium/Sulawesi Utara/2024-12-16,13787.945
Beras Medium/Sulawesi Utara/2024-12-17,13783.038
Beras Medium/Sulawesi Utara/2024-12-18,13794.043
Beras Medium/Sulawesi Utara/2024-12-19,13756.23
Beras Medium/Sulawesi Utara/2024-12-20,13750.736
Beras Medium/Sulawesi Utara/2024-12-21,13756.852
Beras Medium/Sulawesi Utara/2024-12-22,13725.945
Beras Medium/Sulawesi Utara/2024-12-23,13733.06
Beras Medium/Sulawesi Utara/2024-12-24,13754.032
Beras Medium/Sulawesi Utara/2024-12-25,13750.336
Beras Medium/Sulawesi Utara/2024-12-26,13735.352
Beras Medium/Sulawesi Utara/2024-12-27,13728.415
Beras Medium/Sulawesi Utara/2024-12-28,13765.278
Beras Medium/Sulawesi Utara/2024-12-29,13699.784
Beras Medium/Sulawesi Utara/2024-12-30,13465.464
Beras Medium/Sulawesi Utara/2024-12-31,13425.061
