id,price
Beras Medium/Sumatera Utara/2024-10-01,13947.946
Beras Medium/Sumatera Utara/2024-10-02,13978.353
Beras Medium/Sumatera Utara/2024-10-03,13948.001
Beras Medium/Sumatera Utara/2024-10-04,13955.031
Beras Medium/Sumatera Utara/2024-10-05,13945.458
Beras Medium/Sumatera Utara/2024-10-06,13978.769
Beras Medium/Sumatera Utara/2024-10-07,13982.833
Beras Medium/Sumatera Utara/2024-10-08,13981.161
Beras Medium/Sumatera Utara/2024-10-09,13995.159
Beras Medium/Sumatera Utara/2024-10-10,14010.683
Beras Medium/Sumatera Utara/2024-10-11,13950.684
Beras Medium/Sumatera Utara/2024-10-12,13928.518
Beras Medium/Sumatera Utara/2024-10-13,13960.478
Beras Medium/Sumatera Utara/2024-10-14,13983.029
Beras Medium/Sumatera Utara/2024-10-15,13948.8955
Beras Medium/Sumatera Utara/2024-10-16,13942.698
Beras Medium/Sumatera Utara/2024-10-17,13970.874
Beras Medium/Sumatera Utara/2024-10-18,13990.458
Beras Medium/Sumatera Utara/2024-10-19,13935.142
Beras Medium/Sumatera Utara/2024-10-20,13940.403
Beras Medium/Sumatera Utara/2024-10-21,13964.303
Beras Medium/Sumatera Utara/2024-10-22,13984.0625
Beras Medium/Sumatera Utara/2024-10-23,13973.893
Beras Medium/Sumatera Utara/2024-10-24,13977.04
Beras Medium/Sumatera Utara/2024-10-25,13987.447
Beras Medium/Sumatera Utara/2024-10-26,13961.405
Beras Medium/Sumatera Utara/2024-10-27,13972.835
Beras Medium/Sumatera Utara/2024-10-28,13948.792
Beras Medium/Sumatera Utara/2024-10-29,13968.17
Beras Medium/Sumatera Utara/2024-10-30,13972.454
Beras Medium/Sumatera Utara/2024-10-31,14000.645
Beras Medium/Sumatera Utara/2024-11-01,13994.974
Beras Medium/Sumatera Utara/2024-11-02,14003.971
Beras Medium/Sumatera Utara/2024-11-03,13959.179
Beras Medium/Sumatera Utara/2024-11-04,13953.182
Beras Medium/Sumatera Utara/2024-11-05,13967.123
Beras Medium/Sumatera Utara/2024-11-06,13986.029
Beras Medium/Sumatera Utara/2024-11-07,13997.145
Beras Medium/Sumatera Utara/2024-11-08,13971.9795
Beras Medium/Sumatera Utara/2024-11-09,13947.776
Beras Medium/Sumatera Utara/2024-11-10,13981.586
Beras Medium/Sumatera Utara/2024-11-11,13934.596
Beras Medium/Sumatera Utara/2024-11-12,13981.053
Beras Medium/Sumatera Utara/2024-11-13,13960.302
Beras Medium/Sumatera Utara/2024-11-14,13976.351
Beras Medium/Sumatera Utara/2024-11-15,13972.51
Beras Medium/Sumatera Utara/2024-11-16,13927.507
Beras Medium/Sumatera Utara/2024-11-17,13956.169
Beras Medium/Sumatera Utara/2024-11-18,13969.788
Beras Medium/Sumatera Utara/2024-11-19,13966.223
Beras Medium/Sumatera Utara/2024-11-20,13914.3545
Beras Medium/Sumatera Utara/2024-11-21,13967.541
Beras Medium/Sumatera Utara/2024-11-22,13998.672
Beras Medium/Sumatera Utara/2024-11-23,13968.13
Beras Medium/Sumatera Utara/2024-11-24,13966.295
Beras Medium/Sumatera Utara/2024-11-25,13954.67
Beras Medium/Sumatera Utara/2024-11-26,13953.824
Beras Medium/Sumatera Utara/2024-11-27,13966.378
Beras Medium/Sumatera Utara/2024-11-28,13983.6455
Beras Medium/Sumatera Utara/2024-11-29,14023.304
Beras Medium/Sumatera Utara/2024-11-30,13986.825
Beras Medium/Sumatera Utara/2024-12-01,13968.614
Beras Medium/Sumatera Utara/2024-12-02,13949.73
Beras Medium/Sumatera Utara/2024-12-03,13948.652
Beras Medium/Sumatera Utara/2024-12-04,13940.697
Beras Medium/Sumatera Utara/2024-12-05,13964.071
Beras Medium/Sumatera Utara/2024-12-06,13994.308
Beras Medium/Sumatera Utara/2024-12-07,13969.71
Beras Medium/Sumatera Utara/2024-12-08,13953.165
Beras Medium/Sumatera Utara/2024-12-09,14007.221
Beras Medium/Sumatera Utara/2024-12-10,14028.854
Beras Medium/Sumatera Utara/2024-12-11,13918.772
Beras Medium/Sumatera Utara/2024-12-12,13964.553
Beras Medium/Sumatera Utara/2024-12-13,13996.418
Beras Medium/Sumatera Utara/2024-12-14,13927.628
Beras Medium/Sumatera Utara/2024-12-15,13933.044
Beras Medium/Sumatera Utara/2024-12-16,13970.733
Beras Medium/Sumatera Utara/2024-12-17,13968.789
Beras Medium/Sumatera Utara/2024-12-18,13951.151
Beras Medium/Sumatera Utara/2024-12-19,13969.524
Beras Medium/Sumatera Utara/2024-12-20,13951.785
Beras Medium/Sumatera Utara/2024-12-21,13929.956
Beras Medium/Sumatera Utara/2024-12-22,13992.567
Beras Medium/Sumatera Utara/2024-12-23,13976.589
Beras Medium/Sumatera Utara/2024-12-24,13945.359
Beras Medium/Sumatera Utara/2024-12-25,13980.114
Beras Medium/Sumatera Utara/2024-12-26,13969.729
Beras Medium/Sumatera Utara/2024-12-27,13981.724
Beras Medium/Sumatera Utara/2024-12-28,13958.897
Beras Medium/Sumatera Utara/2024-12-29,13929.328
Beras Medium/Sumatera Utara/2024-12-30,13797.709
Beras Medium/Sumatera Utara/2024-12-31,13817.11
