id,price
Beras Premium/DKI Jakarta/2024-10-01,15571.537
Beras Premium/DKI Jakarta/2024-10-02,15526.446
Beras Premium/DKI Jakarta/2024-10-03,15576.22
Beras Premium/DKI Jakarta/2024-10-04,15570.34
Beras Premium/DKI Jakarta/2024-10-05,15565.97
Beras Premium/DKI Jakarta/2024-10-06,15529.953
Beras Premium/DKI Jakarta/2024-10-07,15562.585
Beras Premium/DKI Jakarta/2024-10-08,15594.475
Beras Premium/DKI Jakarta/2024-10-09,15480.956
Beras Premium/DKI Jakarta/2024-10-10,15480.702
Beras Premium/DKI Jakarta/2024-10-11,15597.597
Beras Premium/DKI Jakarta/2024-10-12,15510.265
Beras Premium/DKI Jakarta/2024-10-13,15592.953
Beras Premium/DKI Jakarta/2024-10-14,15586.807
Beras Premium/DKI Jakarta/2024-10-15,15611.349
Beras Premium/DKI Jakarta/2024-10-16,15589.747
Beras Premium/DKI Jakarta/2024-10-17,15631.986
Beras Premium/DKI Jakarta/2024-10-18,15654.297
Beras Premium/DKI Jakarta/2024-10-19,15518.3
Beras Premium/DKI Jakarta/2024-10-20,15616.209
Beras Premium/DKI Jakarta/2024-10-21,15481.324
Beras Premium/DKI Jakarta/2024-10-22,15399.69
Beras Premium/DKI Jakarta/2024-10-23,15406.368
Beras Premium/DKI Jakarta/2024-10-24,15570.829
Beras Premium/DKI Jakarta/2024-10-25,15651.678
Beras Premium/DKI Jakarta/2024-10-26,15424.9795
Beras Premium/DKI Jakarta/2024-10-27,15692.147
Beras Premium/DKI Jakarta/2024-10-28,15548.189
Beras Premium/DKI Jakarta/2024-10-29,15558.249
Beras Premium/DKI Jakarta/2024-10-30,15496.228
Beras Premium/DKI Jakarta/2024-10-31,15643.833
Beras Premium/DKI Jakarta/2024-11-01,15630.984
Beras Premium/DKI Jakarta/2024-11-02,15585.044
Beras Premium/DKI Jakarta/2024-11-03,15569.499
Beras Premium/DKI Jakarta/2024-11-04,15545.374
Beras Premium/DKI Jakarta/2024-11-05,15529.098
Beras Premium/DKI Jakarta/2024-11-06,15481.981
Beras Premium/DKI Jakarta/2024-11-07,15599.645
Beras Premium/DKI Jakarta/2024-11-08,15602.615
Beras Premium/DKI Jakarta/2024-11-09,15478.341
Beras Premium/DKI Jakarta/2024-11-10,15506.58
Beras Premium/DKI Jakarta/2024-11-11,15583.48
Beras Premium/DKI Jakarta/2024-11-12,15593.847
Beras Premium/DKI Jakarta/2024-11-13,15611.417
Beras Premium/DKI Jakarta/2024-11-14,15604.613
Beras Premium/DKI Jakarta/2024-11-15,15641.949
Beras Premium/DKI Jakarta/2024-11-16,15541.665
Beras Premium/DKI Jakarta/2024-11-17,15579.971
Beras Premium/DKI Jakarta/2024-11-18,15602.136
Beras Premium/DKI Jakarta/2024-11-19,15594.721
Beras Premium/DKI Jakarta/2024-11-20,15549.921
Beras Premium/DKI Jakarta/2024-11-21,15463.704
Beras Premium/DKI Jakarta/2024-11-22,15436.64
Beras Premium/DKI Jakarta/2024-11-23,15552.573
Beras Premium/DKI Jakarta/2024-11-24,15469.225
Beras Premium/DKI Jakarta/2024-11-25,15494.642
Beras Premium/DKI Jakarta/2024-11-26,15457.099
Beras Premium/DKI Jakarta/2024-11-27,15713.946
Beras Premium/DKI Jakarta/2024-11-28,15576.541
Beras Premium/DKI Jakarta/2024-11-29,15640.883
Beras Premium/DKI Jakarta/2024-11-30,15515.659
Beras Premium/DKI Jakarta/2024-12-01,15569.725
Beras Premium/DKI Jakarta/2024-12-02,15563.914
Beras Premium/DKI Jakarta/2024-12-03,15566.679
Beras Premium/DKI Jakarta/2024-12-04,15523.358
Beras Premium/DKI Jakarta/2024-12-05,15551.101
Beras Premium/DKI Jakarta/2024-12-06,15556.669
Beras Premium/DKI Jakarta/2024-12-07,15618.214
Beras Premium/DKI Jakarta/2024-12-08,15526.686
Beras Premium/DKI Jakarta/2024-12-09,15526.866
Beras Premium/DKI Jakarta/2024-12-10,15505.0
Beras Premium/DKI Jakarta/2024-12-11,15616.12
Beras Premium/DKI Jakarta/2024-12-12,15605.652
Beras Premium/DKI Jakarta/2024-12-13,15604.726
Beras Premium/DKI Jakarta/2024-12-14,15524.712
Beras Premium/DKI Jakarta/2024-12-15,15611.695
Beras Premium/DKI Jakarta/2024-12-16,15601.541
Beras Premium/DKI Jakarta/2024-12-17,15598.063
Beras Premium/DKI Jakarta/2024-12-18,15578.114
Beras Premium/DKI Jakarta/2024-12-19,15648.854
Beras Premium/DKI Jakarta/2024-12-20,15675.339
Beras Premium/DKI Jakarta/2024-12-21,15391.233
Beras Premium/DKI Jakarta/2024-12-22,15391.612
Beras Premium/DKI Jakarta/2024-12-23,15522.898
Beras Premium/DKI Jakarta/2024-12-24,15522.594
Beras Premium/DKI Jakarta/2024-12-25,15418.7295
Beras Premium/DKI Jakarta/2024-12-26,15483.936
Beras Premium/DKI Jakarta/2024-12-27,15939.167
Beras Premium/DKI Jakarta/2024-12-28,15483.497
Beras Premium/DKI Jakarta/2024-12-29,15531.728
Beras Premium/DKI Jakarta/2024-12-30,14935.069
Beras Premium/DKI Jakarta/2024-12-31,15026.109
