id,price
Beras Premium/Jawa Tengah/2024-10-01,14938.738
Beras Premium/Jawa Tengah/2024-10-02,14920.415
Beras Premium/Jawa Tengah/2024-10-03,14886.16
Beras Premium/Jawa Tengah/2024-10-04,14910.641
Beras Premium/Jawa Tengah/2024-10-05,14873.857
Beras Premium/Jawa Tengah/2024-10-06,14917.785
Beras Premium/Jawa Tengah/2024-10-07,14911.002
Beras Premium/Jawa Tengah/2024-10-08,14888.846
Beras Premium/Jawa Tengah/2024-10-09,14878.001
Beras Premium/Jawa Tengah/2024-10-10,14886.495
Beras Premium/Jawa Tengah/2024-10-11,14929.233
Beras Premium/Jawa Tengah/2024-10-12,14893.376
Beras Premium/Jawa Tengah/2024-10-13,14939.97
Beras Premium/Jawa Tengah/2024-10-14,14923.306
Beras Premium/Jawa Tengah/2024-10-15,14936.885
Beras Premium/Jawa Tengah/2024-10-16,14901.485
Beras Premium/Jawa Tengah/2024-10-17,14914.043
Beras Premium/Jawa Tengah/2024-10-18,14906.128
Beras Premium/Jawa Tengah/2024-10-19,14879.898
Beras Premium/Jawa Tengah/2024-10-20,14904.268
Beras Premium/Jawa Tengah/2024-10-21,14888.656
Beras Premium/Jawa Tengah/2024-10-22,14898.684
Beras Premium/Jawa Tengah/2024-10-23,14849.253
Beras Premium/Jawa Tengah/2024-10-24,14882.017
Beras Premium/Jawa Tengah/2024-10-25,14887.59
Beras Premium/Jawa Tengah/2024-10-26,14864.396
Beras Premium/Jawa Tengah/2024-10-27,14917.777
Beras Premium/Jawa Tengah/2024-10-28,14877.145
Beras Premium/Jawa Tengah/2024-10-29,14928.109
Beras Premium/Jawa Tengah/2024-10-30,14910.848
Beras Premium/Jawa Tengah/2024-10-31,14951.148
Beras Premium/Jawa Tengah/2024-11-01,14915.8
Beras Premium/Jawa Tengah/2024-11-02,14900.304
Beras Premium/Jawa Tengah/2024-11-03,14923.44
Beras Premium/Jawa Tengah/2024-11-04,14920.185
Beras Premium/Jawa Tengah/2024-11-05,14916.27
Beras Premium/Jawa Tengah/2024-11-06,14859.043
Beras Premium/Jawa Tengah/2024-11-07,14875.949
Beras Premium/Jawa Tengah/2024-11-08,14892.901
Beras Premium/Jawa Tengah/2024-11-09,14917.758
Beras Premium/Jawa Tengah/2024-11-10,14925.981
Beras Premium/Jawa Tengah/2024-11-11,14924.38
Beras Premium/Jawa Tengah/2024-11-12,14913.273
Beras Premium/Jawa Tengah/2024-11-13,14901.764
Beras Premium/Jawa Tengah/2024-11-14,14904.071
Beras Premium/Jawa Tengah/2024-11-15,14909.258
Beras Premium/Jawa Tengah/2024-11-16,14889.008
Beras Premium/Jawa Tengah/2024-11-17,14932.442
Beras Premium/Jawa Tengah/2024-11-18,14905.47
Beras Premium/Jawa Tengah/2024-11-19,14899.759
Beras Premium/Jawa Tengah/2024-11-20,14868.99
Beras Premium/Jawa Tengah/2024-11-21,14896.668
Beras Premium/Jawa Tengah/2024-11-22,14887.762
Beras Premium/Jawa Tengah/2024-11-23,14841.949
Beras Premium/Jawa Tengah/2024-11-24,14912.524
Beras Premium/Jawa Tengah/2024-11-25,14874.467
Beras Premium/Jawa Tengah/2024-11-26,14918.839
Beras Premium/Jawa Tengah/2024-11-27,14912.169
Beras Premium/Jawa Tengah/2024-11-28,14880.425
Beras Premium/Jawa Tengah/2024-11-29,14917.835
Beras Premium/Jawa Tengah/2024-11-30,14898.153
Beras Premium/Jawa Tengah/2024-12-01,14922.754
Beras Premium/Jawa Tengah/2024-12-02,14921.461
Beras Premium/Jawa Tengah/2024-12-03,14926.319
Beras Premium/Jawa Tengah/2024-12-04,14902.125
Beras Premium/Jawa Tengah/2024-12-05,14873.439
Beras Premium/Jawa Tengah/2024-12-06,14905.65
Beras Premium/Jawa Tengah/2024-12-07,14866.995
Beras Premium/Jawa Tengah/2024-12-08,14934.871
Beras Premium/Jawa Tengah/2024-12-09,14929.843
Beras Premium/Jawa Tengah/2024-12-10,14917.933
Beras Premium/Jawa Tengah/2024-12-11,14912.523
Beras Premium/Jawa Tengah/2024-12-12,14867.414
Beras Premium/Jawa Tengah/2024-12-13,14940.349
Beras Premium/Jawa Tengah/2024-12-14,14904.6
Beras Premium/Jawa Tengah/2024-12-15,14914.728
Beras Premium/Jawa Tengah/2024-12-16,14895.794
Beras Premium/Jawa Tengah/2024-12-17,14934.613
Beras Premium/Jawa Tengah/2024-12-18,14845.494
Beras Premium/Jawa Tengah/2024-12-19,14898.3545
Beras Premium/Jawa Tengah/2024-12-20,14890.97
Beras Premium/Jawa Tengah/2024-12-21,14889.546
Beras Premium/Jawa Tengah/2024-12-22,14910.855
Beras Premium/Jawa Tengah/2024-12-23,14872.717
Beras Premium/Jawa Tengah/2024-12-24,14898.198
Beras Premium/Jawa Tengah/2024-12-25,14858.462
Beras Premium/Jawa Tengah/2024-12-26,14889.316
Beras Premium/Jawa Tengah/2024-12-27,14907.612
Beras Premium/Jawa Tengah/2024-12-28,14847.63
Beras Premium/Jawa Tengah/2024-12-29,14908.389
Beras Premium/Jawa Tengah/2024-12-30,14299.818
Beras Premium/Jawa Tengah/2024-12-31,14361.026
