id,price
Beras Premium/Kalimantan Selatan/2024-10-01,16054.1875
Beras Premium/Kalimantan Selatan/2024-10-02,16062.64
Beras Premium/Kalimantan Selatan/2024-10-03,16079.532
Beras Premium/Kalimantan Selatan/2024-10-04,16051.768
Beras Premium/Kalimantan Selatan/2024-10-05,16058.591
Beras Premium/Kalimantan Selatan/2024-10-06,15873.718
Beras Premium/Kalimantan Selatan/2024-10-07,15944.93
Beras Premium/Kalimantan Selatan/2024-10-08,15934.161
Beras Premium/Kalimantan Selatan/2024-10-09,15831.6875
Beras Premium/Kalimantan Selatan/2024-10-10,15922.57
Beras Premium/Kalimantan Selatan/2024-10-11,15916.173
Beras Premium/Kalimantan Selatan/2024-10-12,15957.265
Beras Premium/Kalimantan Selatan/2024-10-13,15684.88
Beras Premium/Kalimantan Selatan/2024-10-14,15948.248
Beras Premium/Kalimantan Selatan/2024-10-15,15936.927
Beras Premium/Kalimantan Selatan/2024-10-16,15920.737
Beras Premium/Kalimantan Selatan/2024-10-17,15933.068
Beras Premium/Kalimantan Selatan/2024-10-18,15925.848
Beras Premium/Kalimantan Selatan/2024-10-19,15953.147
Beras Premium/Kalimantan Selatan/2024-10-20,15763.795
Beras Premium/Kalimantan Selatan/2024-10-21,15933.041
Beras Premium/Kalimantan Selatan/2024-10-22,15916.787
Beras Premium/Kalimantan Selatan/2024-10-23,15938.048
Beras Premium/Kalimantan Selatan/2024-10-24,15935.044
Beras Premium/Kalimantan Selatan/2024-10-25,15923.983
Beras Premium/Kalimantan Selatan/2024-10-26,15952.8
Beras Premium/Kalimantan Selatan/2024-10-27,15798.888
Beras Premium/Kalimantan Selatan/2024-10-28,15970.707
Beras Premium/Kalimantan Selatan/2024-10-29,15942.587
Beras Premium/Kalimantan Selatan/2024-10-30,15935.557
Beras Premium/Kalimantan Selatan/2024-10-31,15876.222
Beras Premium/Kalimantan Selatan/2024-11-01,15926.4
Beras Premium/Kalimantan Selatan/2024-11-02,15876.806
Beras Premium/Kalimantan Selatan/2024-11-03,15778.951
Beras Premium/Kalimantan Selatan/2024-11-04,15951.874
Beras Premium/Kalimantan Selatan/2024-11-05,15922.946
Beras Premium/Kalimantan Selatan/2024-11-06,15935.984
Beras Premium/Kalimantan Selatan/2024-11-07,15944.998
Beras Premium/Kalimantan Selatan/2024-11-08,15931.382
Beras Premium/Kalimantan Selatan/2024-11-09,15887.461
Beras Premium/Kalimantan Selatan/2024-11-10,15772.168
Beras Premium/Kalimantan Selatan/2024-11-11,15932.867
Beras Premium/Kalimantan Selatan/2024-11-12,15929.856
Beras Premium/Kalimantan Selatan/2024-11-13,15937.945
Beras Premium/Kalimantan Selatan/2024-11-14,15926.296
Beras Premium/Kalimantan Selatan/2024-11-15,15935.043
Beras Premium/Kalimantan Selatan/2024-11-16,15917.075
Beras Premium/Kalimantan Selatan/2024-11-17,15761.044
Beras Premium/Kalimantan Selatan/2024-11-18,15945.375
Beras Premium/Kalimantan Selatan/2024-11-19,15920.83
Beras Premium/Kalimantan Selatan/2024-11-20,15934.674
Beras Premium/Kalimantan Selatan/2024-11-21,15935.524
Beras Premium/Kalimantan Selatan/2024-11-22,15910.737
Beras Premium/Kalimantan Selatan/2024-11-23,15899.377
Beras Premium/Kalimantan Selatan/2024-11-24,15789.572
Beras Premium/Kalimantan Selatan/2024-11-25,15924.628
Beras Premium/Kalimantan Selatan/2024-11-26,15966.941
Beras Premium/Kalimantan Selatan/2024-11-27,15968.907
Beras Premium/Kalimantan Selatan/2024-11-28,15877.016
Beras Premium/Kalimantan Selatan/2024-11-29,15919.859
Beras Premium/Kalimantan Selatan/2024-11-30,15904.792
Beras Premium/Kalimantan Selatan/2024-12-01,15749.905
Beras Premium/Kalimantan Selatan/2024-12-02,15956.8
Beras Premium/Kalimantan Selatan/2024-12-03,15917.206
Beras Premium/Kalimantan Selatan/2024-12-04,15931.041
Beras Premium/Kalimantan Selatan/2024-12-05,15937.482
Beras Premium/Kalimantan Selatan/2024-12-06,15929.231
Beras Premium/Kalimantan Selatan/2024-12-07,15874.987
Beras Premium/Kalimantan Selatan/2024-12-08,15760.358
Beras Premium/Kalimantan Selatan/2024-12-09,15937.366
Beras Premium/Kalimantan Selatan/2024-12-10,15938.703
Beras Premium/Kalimantan Selatan/2024-12-11,15943.461
Beras Premium/Kalimantan Selatan/2024-12-12,15888.278
Beras Premium/Kalimantan Selatan/2024-12-13,15915.936
Beras Premium/Kalimantan Selatan/2024-12-14,15933.979
Beras Premium/Kalimantan Selatan/2024-12-15,15773.592
Beras Premium/Kalimantan Selatan/2024-12-16,15949.885
Beras Premium/Kalimantan Selatan/2024-12-17,15954.179
Beras Premium/Kalimantan Selatan/2024-12-18,15946.302
Beras Premium/Kalimantan Selatan/2024-12-19,15933.28
Beras Premium/Kalimantan Selatan/2024-12-20,15907.977
Beras Premium/Kalimantan Selatan/2024-12-21,15936.543
Beras Premium/Kalimantan Selatan/2024-12-22,15754.741
Beras Premium/Kalimantan Selatan/2024-12-23,15906.96
Beras Premium/Kalimantan Selatan/2024-12-24,15929.641
Beras Premium/Kalimantan Selatan/2024-12-25,15968.203
Beras Premium/Kalimantan Selatan/2024-12-26,15869.009
Beras Premium/Kalimantan Selatan/2024-12-27,15945.593
Beras Premium/Kalimantan Selatan/2024-12-28,15913.545
Beras Premium/Kalimantan Selatan/2024-12-29,15746.004
Beras Premium/Kalimantan Selatan/2024-12-30,15868.461
Beras Premium/Kalimantan Selatan/2024-12-31,15836.591
