id,price
Beras Premium/Kepulauan Bangka Belitung/2024-10-01,15861.635
Beras Premium/Kepulauan Bangka Belitung/2024-10-02,15867.85
Beras Premium/Kepulauan Bangka Belitung/2024-10-03,15816.883
Beras Premium/Kepulauan Bangka Belitung/2024-10-04,15816.883
Beras Premium/Kepulauan Bangka Belitung/2024-10-05,15764.393
Beras Premium/Kepulauan Bangka Belitung/2024-10-06,15798.631
Beras Premium/Kepulauan Bangka Belitung/2024-10-07,15841.697
Beras Premium/Kepulauan Bangka Belitung/2024-10-08,15828.957
Beras Premium/Kepulauan Bangka Belitung/2024-10-09,15808.498
Beras Premium/Kepulauan Bangka Belitung/2024-10-10,15787.226
Beras Premium/Kepulauan Bangka Belitung/2024-10-11,15792.087
Beras Premium/Kepulauan Bangka Belitung/2024-10-12,15745.688
Beras Premium/Kepulauan Bangka Belitung/2024-10-13,15787.246
Beras Premium/Kepulauan Bangka Belitung/2024-10-14,15832.637
Beras Premium/Kepulauan Bangka Belitung/2024-10-15,15840.17
Beras Premium/Kepulauan Bangka Belitung/2024-10-16,15836.166
Beras Premium/Kepulauan Bangka Belitung/2024-10-17,15832.111
Beras Premium/Kepulauan Bangka Belitung/2024-10-18,15829.415
Beras Premium/Kepulauan Bangka Belitung/2024-10-19,15743.091
Beras Premium/Kepulauan Bangka Belitung/2024-10-20,15755.404
Beras Premium/Kepulauan Bangka Belitung/2024-10-21,15815.451
Beras Premium/Kepulauan Bangka Belitung/2024-10-22,15823.754
Beras Premium/Kepulauan Bangka Belitung/2024-10-23,15864.612
Beras Premium/Kepulauan Bangka Belitung/2024-10-24,15851.189
Beras Premium/Kepulauan Bangka Belitung/2024-10-25,15851.189
Beras Premium/Kepulauan Bangka Belitung/2024-10-26,15782.938
Beras Premium/Kepulauan Bangka Belitung/2024-10-27,15790.076
Beras Premium/Kepulauan Bangka Belitung/2024-10-28,15849.102
Beras Premium/Kepulauan Bangka Belitung/2024-10-29,15849.102
Beras Premium/Kepulauan Bangka Belitung/2024-10-30,15852.639
Beras Premium/Kepulauan Bangka Belitung/2024-10-31,15833.36
Beras Premium/Kepulauan Bangka Belitung/2024-11-01,15833.389
Beras Premium/Kepulauan Bangka Belitung/2024-11-02,15767.314
Beras Premium/Kepulauan Bangka Belitung/2024-11-03,15780.715
Beras Premium/Kepulauan Bangka Belitung/2024-11-04,15822.014
Beras Premium/Kepulauan Bangka Belitung/2024-11-05,15809.59
Beras Premium/Kepulauan Bangka Belitung/2024-11-06,15847.924
Beras Premium/Kepulauan Bangka Belitung/2024-11-07,15824.515
Beras Premium/Kepulauan Bangka Belitung/2024-11-08,15829.376
Beras Premium/Kepulauan Bangka Belitung/2024-11-09,15745.688
Beras Premium/Kepulauan Bangka Belitung/2024-11-10,15757.163
Beras Premium/Kepulauan Bangka Belitung/2024-11-11,15798.611
Beras Premium/Kepulauan Bangka Belitung/2024-11-12,15781.229
Beras Premium/Kepulauan Bangka Belitung/2024-11-13,15839.68
Beras Premium/Kepulauan Bangka Belitung/2024-11-14,15824.578
Beras Premium/Kepulauan Bangka Belitung/2024-11-15,15836.973
Beras Premium/Kepulauan Bangka Belitung/2024-11-16,15750.792
Beras Premium/Kepulauan Bangka Belitung/2024-11-17,15791.626
Beras Premium/Kepulauan Bangka Belitung/2024-11-18,15862.191
Beras Premium/Kepulauan Bangka Belitung/2024-11-19,15801.648
Beras Premium/Kepulauan Bangka Belitung/2024-11-20,15821.324
Beras Premium/Kepulauan Bangka Belitung/2024-11-21,15811.421
Beras Premium/Kepulauan Bangka Belitung/2024-11-22,15819.724
Beras Premium/Kepulauan Bangka Belitung/2024-11-23,15784.171
Beras Premium/Kepulauan Bangka Belitung/2024-11-24,15791.309
Beras Premium/Kepulauan Bangka Belitung/2024-11-25,15855.22
Beras Premium/Kepulauan Bangka Belitung/2024-11-26,15855.22
Beras Premium/Kepulauan Bangka Belitung/2024-11-27,15864.612
Beras Premium/Kepulauan Bangka Belitung/2024-11-28,15835.61
Beras Premium/Kepulauan Bangka Belitung/2024-11-29,15840.472
Beras Premium/Kepulauan Bangka Belitung/2024-11-30,15781.499
Beras Premium/Kepulauan Bangka Belitung/2024-12-01,15770.668
Beras Premium/Kepulauan Bangka Belitung/2024-12-02,15862.0625
Beras Premium/Kepulauan Bangka Belitung/2024-12-03,15818.858
Beras Premium/Kepulauan Bangka Belitung/2024-12-04,15832.209
