id,price
Beras Premium/Papua Barat/2024-10-01,18340.459
Beras Premium/Papua Barat/2024-10-02,18367.98
Beras Premium/Papua Barat/2024-10-03,18105.338
Beras Premium/Papua Barat/2024-10-04,18253.516
Beras Premium/Papua Barat/2024-10-05,18321.578
Beras Premium/Papua Barat/2024-10-06,18467.506
Beras Premium/Papua Barat/2024-10-07,18316.887
Beras Premium/Papua Barat/2024-10-08,18321.148
Beras Premium/Papua Barat/2024-10-09,18401.414
Beras Premium/Papua Barat/2024-10-10,18057.533
Beras Premium/Papua Barat/2024-10-11,18308.818
Beras Premium/Papua Barat/2024-10-12,18268.11
Beras Premium/Papua Barat/2024-10-13,18342.246
Beras Premium/Papua Barat/2024-10-14,18393.973
Beras Premium/Papua Barat/2024-10-15,18342.516
Beras Premium/Papua Barat/2024-10-16,18095.703
Beras Premium/Papua Barat/2024-10-17,18190.812
Beras Premium/Papua Barat/2024-10-18,18300.38
Beras Premium/Papua Barat/2024-10-19,18332.473
Beras Premium/Papua Barat/2024-10-20,18395.125
Beras Premium/Papua Barat/2024-10-21,18195.328
Beras Premium/Papua Barat/2024-10-22,18329.807
Beras Premium/Papua Barat/2024-10-23,18326.203
Beras Premium/Papua Barat/2024-10-24,18377.527
Beras Premium/Papua Barat/2024-10-25,18272.072
Beras Premium/Papua Barat/2024-10-26,18333.799
Beras Premium/Papua Barat/2024-10-27,18361.484
Beras Premium/Papua Barat/2024-10-28,18281.266
Beras Premium/Papua Barat/2024-10-29,18295.8
Beras Premium/Papua Barat/2024-10-30,18272.516
Beras Premium/Papua Barat/2024-10-31,18276.217
Beras Premium/Papua Barat/2024-11-01,18327.111
Beras Premium/Papua Barat/2024-11-02,18410.424
Beras Premium/Papua Barat/2024-11-03,18441.395
Beras Premium/Papua Barat/2024-11-04,18343.057
Beras Premium/Papua Barat/2024-11-05,18300.957
Beras Premium/Papua Barat/2024-11-06,18362.16
Beras Premium/Papua Barat/2024-11-07,18032.959
Beras Premium/Papua Barat/2024-11-08,18266.465
Beras Premium/Papua Barat/2024-11-09,18409.04
Beras Premium/Papua Barat/2024-11-10,18432.555
Beras Premium/Papua Barat/2024-11-11,18427.855
Beras Premium/Papua Barat/2024-11-12,17891.166
Beras Premium/Papua Barat/2024-11-13,18059.455
Beras Premium/Papua Barat/2024-11-14,18250.951
Beras Premium/Papua Barat/2024-11-15,18326.758
Beras Premium/Papua Barat/2024-11-16,18436.822
Beras Premium/Papua Barat/2024-11-17,18352.81
Beras Premium/Papua Barat/2024-11-18,18366.383
Beras Premium/Papua Barat/2024-11-19,18195.879
Beras Premium/Papua Barat/2024-11-20,18262.176
Beras Premium/Papua Barat/2024-11-21,18341.502
Beras Premium/Papua Barat/2024-11-22,18432.986
Beras Premium/Papua Barat/2024-11-23,18198.025
Beras Premium/Papua Barat/2024-11-24,18145.295
Beras Premium/Papua Barat/2024-11-25,18211.666
Beras Premium/Papua Barat/2024-11-26,18292.916
Beras Premium/Papua Barat/2024-11-27,18268.035
Beras Premium/Papua Barat/2024-11-28,18324.844
Beras Premium/Papua Barat/2024-11-29,18464.758
Beras Premium/Papua Barat/2024-11-30,18405.254
Beras Premium/Papua Barat/2024-12-01,18406.424
Beras Premium/Papua Barat/2024-12-02,18352.346
Beras Premium/Papua Barat/2024-12-03,18321.162
Beras Premium/Papua Barat/2024-12-04,18370.432
Beras Premium/Papua Barat/2024-12-05,18032.094
Beras Premium/Papua Barat/2024-12-06,18254.38
Beras Premium/Papua Barat/2024-12-07,18370.51
Beras Premium/Papua Barat/2024-12-08,18558.629
Beras Premium/Papua Barat/2024-12-09,18356.576
Beras Premium/Papua Barat/2024-12-10,18318.604
Beras Premium/Papua Barat/2024-12-11,18448.297
Beras Premium/Papua Barat/2024-12-12,17351.838
Beras Premium/Papua Barat/2024-12-13,18410.87
Beras Premium/Papua Barat/2024-12-14,18328.291
Beras Premium/Papua Barat/2024-12-15,18452.297
Beras Premium/Papua Barat/2024-12-16,18360.512
Beras Premium/Papua Barat/2024-12-17,18331.035
Beras Premium/Papua Barat/2024-12-18,17806.012
Beras Premium/Papua Barat/2024-12-19,18311.521
Beras Premium/Papua Barat/2024-12-20,18326.291
Beras Premium/Papua Barat/2024-12-21,18347.459
Beras Premium/Papua Barat/2024-12-22,18453.955
Beras Premium/Papua Barat/2024-12-23,18050.195
Beras Premium/Papua Barat/2024-12-24,18341.031
Beras Premium/Papua Barat/2024-12-25,18388.934
Beras Premium/Papua Barat/2024-12-26,18254.254
Beras Premium/Papua Barat/2024-12-27,18370.195
Beras Premium/Papua Barat/2024-12-28,18327.988
Beras Premium/Papua Barat/2024-12-29,18569.982
Beras Premium/Papua Barat/2024-12-30,17345.11
Beras Premium/Papua Barat/2024-12-31,17395.283
