id,price
Beras Premium/Sulawesi Tenggara/2024-10-01,14566.029
Beras Premium/Sulawesi Tenggara/2024-10-02,14560.689
Beras Premium/Sulawesi Tenggara/2024-10-03,14536.982
Beras Premium/Sulawesi Tenggara/2024-10-04,14555.048
Beras Premium/Sulawesi Tenggara/2024-10-05,14581.037
Beras Premium/Sulawesi Tenggara/2024-10-06,14565.24
Beras Premium/Sulawesi Tenggara/2024-10-07,14567.6045
Beras Premium/Sulawesi Tenggara/2024-10-08,14549.648
Beras Premium/Sulawesi Tenggara/2024-10-09,14574.08
Beras Premium/Sulawesi Tenggara/2024-10-10,14525.375
Beras Premium/Sulawesi Tenggara/2024-10-11,14528.519
Beras Premium/Sulawesi Tenggara/2024-10-12,14523.674
Beras Premium/Sulawesi Tenggara/2024-10-13,14544.843
Beras Premium/Sulawesi Tenggara/2024-10-14,14567.076
Beras Premium/Sulawesi Tenggara/2024-10-15,14494.772
Beras Premium/Sulawesi Tenggara/2024-10-16,14476.17
Beras Premium/Sulawesi Tenggara/2024-10-17,14534.878
Beras Premium/Sulawesi Tenggara/2024-10-18,14509.488
Beras Premium/Sulawesi Tenggara/2024-10-19,14505.894
Beras Premium/Sulawesi Tenggara/2024-10-20,14551.345
Beras Premium/Sulawesi Tenggara/2024-10-21,14575.377
Beras Premium/Sulawesi Tenggara/2024-10-22,14621.832
Beras Premium/Sulawesi Tenggara/2024-10-23,14529.863
Beras Premium/Sulawesi Tenggara/2024-10-24,14602.014
Beras Premium/Sulawesi Tenggara/2024-10-25,14640.561
Beras Premium/Sulawesi Tenggara/2024-10-26,14502.229
Beras Premium/Sulawesi Tenggara/2024-10-27,14566.961
Beras Premium/Sulawesi Tenggara/2024-10-28,14621.931
Beras Premium/Sulawesi Tenggara/2024-10-29,14600.395
Beras Premium/Sulawesi Tenggara/2024-10-30,14627.271
Beras Premium/Sulawesi Tenggara/2024-10-31,14483.29
Beras Premium/Sulawesi Tenggara/2024-11-01,14546.81
Beras Premium/Sulawesi Tenggara/2024-11-02,14581.037
Beras Premium/Sulawesi Tenggara/2024-11-03,14582.341
Beras Premium/Sulawesi Tenggara/2024-11-04,14592.437
Beras Premium/Sulawesi Tenggara/2024-11-05,14586.245
Beras Premium/Sulawesi Tenggara/2024-11-06,14583.119
Beras Premium/Sulawesi Tenggara/2024-11-07,14538.692
Beras Premium/Sulawesi Tenggara/2024-11-08,14512.836
Beras Premium/Sulawesi Tenggara/2024-11-09,14525.248
Beras Premium/Sulawesi Tenggara/2024-11-10,14548.355
Beras Premium/Sulawesi Tenggara/2024-11-11,14575.869
Beras Premium/Sulawesi Tenggara/2024-11-12,14558.719
Beras Premium/Sulawesi Tenggara/2024-11-13,14539.226
Beras Premium/Sulawesi Tenggara/2024-11-14,14534.878
Beras Premium/Sulawesi Tenggara/2024-11-15,14470.876
Beras Premium/Sulawesi Tenggara/2024-11-16,14497.67
Beras Premium/Sulawesi Tenggara/2024-11-17,14536.96
Beras Premium/Sulawesi Tenggara/2024-11-18,14463.645
Beras Premium/Sulawesi Tenggara/2024-11-19,14541.958
Beras Premium/Sulawesi Tenggara/2024-11-20,14576.769
Beras Premium/Sulawesi Tenggara/2024-11-21,14568.135
Beras Premium/Sulawesi Tenggara/2024-11-22,14585.392
Beras Premium/Sulawesi Tenggara/2024-11-23,14537.331
Beras Premium/Sulawesi Tenggara/2024-11-24,14560.996
Beras Premium/Sulawesi Tenggara/2024-11-25,14635.276
Beras Premium/Sulawesi Tenggara/2024-11-26,14566.109
Beras Premium/Sulawesi Tenggara/2024-11-27,14624.836
Beras Premium/Sulawesi Tenggara/2024-11-28,14566.672
Beras Premium/Sulawesi Tenggara/2024-11-29,14542.104
Beras Premium/Sulawesi Tenggara/2024-11-30,14569.501
Beras Premium/Sulawesi Tenggara/2024-12-01,14574.103
Beras Premium/Sulawesi Tenggara/2024-12-02,14561.221
Beras Premium/Sulawesi Tenggara/2024-12-03,14586.245
Beras Premium/Sulawesi Tenggara/2024-12-04,14584.496
Beras Premium/Sulawesi Tenggara/2024-12-05,14539.863
Beras Premium/Sulawesi Tenggara/2024-12-06,14549.651
Beras Premium/Sulawesi Tenggara/2024-12-07,14552.027
Beras Premium/Sulawesi Tenggara/2024-12-08,14519.221
Beras Premium/Sulawesi Tenggara/2024-12-09,14576.447
Beras Premium/Sulawesi Tenggara/2024-12-10,14576.037
Beras Premium/Sulawesi Tenggara/2024-12-11,14568.387
Beras Premium/Sulawesi Tenggara/2024-12-12,14509.284
Beras Premium/Sulawesi Tenggara/2024-12-13,14540.045
Beras Premium/Sulawesi Tenggara/2024-12-14,14551.518
Beras Premium/Sulawesi Tenggara/2024-12-15,14470.919
Beras Premium/Sulawesi Tenggara/2024-12-16,14501.035
Beras Premium/Sulawesi Tenggara/2024-12-17,14566.602
Beras Premium/Sulawesi Tenggara/2024-12-18,14474.16
Beras Premium/Sulawesi Tenggara/2024-12-19,14541.872
Beras Premium/Sulawesi Tenggara/2024-12-20,14548.179
Beras Premium/Sulawesi Tenggara/2024-12-21,14568.703
Beras Premium/Sulawesi Tenggara/2024-12-22,14603.361
Beras Premium/Sulawesi Tenggara/2024-12-23,14519.996
Beras Premium/Sulawesi Tenggara/2024-12-24,14536.778
Beras Premium/Sulawesi Tenggara/2024-12-25,14656.087
Beras Premium/Sulawesi Tenggara/2024-12-26,14516.613
Beras Premium/Sulawesi Tenggara/2024-12-27,14543.372
Beras Premium/Sulawesi Tenggara/2024-12-28,14553.749
Beras Premium/Sulawesi Tenggara/2024-12-29,14549.712
Beras Premium/Sulawesi Tenggara/2024-12-30,14327.319
Beras Premium/Sulawesi Tenggara/2024-12-31,14276.189
