id,price
Cabai Merah Keriting/Kalimantan Utara/2024-10-01,66182.984
Cabai Merah Keriting/Kalimantan Utara/2024-10-02,65336.547
Cabai Merah Keriting/Kalimantan Utara/2024-10-03,65348.867
Cabai Merah Keriting/Kalimantan Utara/2024-10-04,63328.01
Cabai Merah Keriting/Kalimantan Utara/2024-10-05,62723.69
Cabai Merah Keriting/Kalimantan Utara/2024-10-06,62607.152
Cabai Merah Keriting/Kalimantan Utara/2024-10-07,63601.984
Cabai Merah Keriting/Kalimantan Utara/2024-10-08,65263.727
Cabai Merah Keriting/Kalimantan Utara/2024-10-09,63556.465
Cabai Merah Keriting/Kalimantan Utara/2024-10-10,63566.14
Cabai Merah Keriting/Kalimantan Utara/2024-10-11,63229.555
Cabai Merah Keriting/Kalimantan Utara/2024-10-12,62911.695
Cabai Merah Keriting/Kalimantan Utara/2024-10-13,62926.65
Cabai Merah Keriting/Kalimantan Utara/2024-10-14,64798.18
Cabai Merah Keriting/Kalimantan Utara/2024-10-15,65646.26
Cabai Merah Keriting/Kalimantan Utara/2024-10-16,66400.68
Cabai Merah Keriting/Kalimantan Utara/2024-10-17,65792.4
Cabai Merah Keriting/Kalimantan Utara/2024-10-18,65682.52
Cabai Merah Keriting/Kalimantan Utara/2024-10-19,64092.633
Cabai Merah Keriting/Kalimantan Utara/2024-10-20,63281.645
Cabai Merah Keriting/Kalimantan Utara/2024-10-21,64142.66
Cabai Merah Keriting/Kalimantan Utara/2024-10-22,64528.133
Cabai Merah Keriting/Kalimantan Utara/2024-10-23,65600.5
Cabai Merah Keriting/Kalimantan Utara/2024-10-24,65376.176
Cabai Merah Keriting/Kalimantan Utara/2024-10-25,64079.37
Cabai Merah Keriting/Kalimantan Utara/2024-10-26,62653.145
Cabai Merah Keriting/Kalimantan Utara/2024-10-27,62320.71
Cabai Merah Keriting/Kalimantan Utara/2024-10-28,64313.94
Cabai Merah Keriting/Kalimantan Utara/2024-10-29,63120.79
Cabai Merah Keriting/Kalimantan Utara/2024-10-30,62878.79
Cabai Merah Keriting/Kalimantan Utara/2024-10-31,63080.52
Cabai Merah Keriting/Kalimantan Utara/2024-11-01,65287.363
Cabai Merah Keriting/Kalimantan Utara/2024-11-02,64924.95
Cabai Merah Keriting/Kalimantan Utara/2024-11-03,64612.477
Cabai Merah Keriting/Kalimantan Utara/2024-11-04,63654.83
Cabai Merah Keriting/Kalimantan Utara/2024-11-05,64447.38
Cabai Merah Keriting/Kalimantan Utara/2024-11-06,63594.04
Cabai Merah Keriting/Kalimantan Utara/2024-11-07,63498.84
Cabai Merah Keriting/Kalimantan Utara/2024-11-08,64515.13
Cabai Merah Keriting/Kalimantan Utara/2024-11-09,62665.895
Cabai Merah Keriting/Kalimantan Utara/2024-11-10,62677.273
Cabai Merah Keriting/Kalimantan Utara/2024-11-11,63665.58
Cabai Merah Keriting/Kalimantan Utara/2024-11-12,64335.773
Cabai Merah Keriting/Kalimantan Utara/2024-11-13,64261.33
Cabai Merah Keriting/Kalimantan Utara/2024-11-14,64784.31
Cabai Merah Keriting/Kalimantan Utara/2024-11-15,66585.77
Cabai Merah Keriting/Kalimantan Utara/2024-11-16,66299.805
Cabai Merah Keriting/Kalimantan Utara/2024-11-17,63941.656
Cabai Merah Keriting/Kalimantan Utara/2024-11-18,65293.746
Cabai Merah Keriting/Kalimantan Utara/2024-11-19,65483.74
Cabai Merah Keriting/Kalimantan Utara/2024-11-20,64747.78
Cabai Merah Keriting/Kalimantan Utara/2024-11-21,64530.13
Cabai Merah Keriting/Kalimantan Utara/2024-11-22,64096.902
Cabai Merah Keriting/Kalimantan Utara/2024-11-23,64990.637
Cabai Merah Keriting/Kalimantan Utara/2024-11-24,63636.9
Cabai Merah Keriting/Kalimantan Utara/2024-11-25,64129.473
Cabai Merah Keriting/Kalimantan Utara/2024-11-26,64081.035
Cabai Merah Keriting/Kalimantan Utara/2024-11-27,63762.676
Cabai Merah Keriting/Kalimantan Utara/2024-11-28,63196.777
Cabai Merah Keriting/Kalimantan Utara/2024-11-29,62790.55
