id,price
Cabai Merah Keriting/Maluku/2024-10-01,65145.777
Cabai Merah Keriting/Maluku/2024-10-02,64928.31
Cabai Merah Keriting/Maluku/2024-10-03,62140.84
Cabai Merah Keriting/Maluku/2024-10-04,61623.715
Cabai Merah Keriting/Maluku/2024-10-05,62724.56
Cabai Merah Keriting/Maluku/2024-10-06,62663.484
Cabai Merah Keriting/Maluku/2024-10-07,64459.676
Cabai Merah Keriting/Maluku/2024-10-08,64758.023
Cabai Merah Keriting/Maluku/2024-10-09,63439.527
Cabai Merah Keriting/Maluku/2024-10-10,62821.625
Cabai Merah Keriting/Maluku/2024-10-11,61999.773
Cabai Merah Keriting/Maluku/2024-10-12,62795.75
Cabai Merah Keriting/Maluku/2024-10-13,65474.05
Cabai Merah Keriting/Maluku/2024-10-14,67353.27
Cabai Merah Keriting/Maluku/2024-10-15,66645.55
Cabai Merah Keriting/Maluku/2024-10-16,66502.01
Cabai Merah Keriting/Maluku/2024-10-17,67803.04
Cabai Merah Keriting/Maluku/2024-10-18,67972.06
Cabai Merah Keriting/Maluku/2024-10-19,68424.65
Cabai Merah Keriting/Maluku/2024-10-20,68033.35
Cabai Merah Keriting/Maluku/2024-10-21,69206.64
Cabai Merah Keriting/Maluku/2024-10-22,63207.168
Cabai Merah Keriting/Maluku/2024-10-23,69890.984
Cabai Merah Keriting/Maluku/2024-10-24,68384.13
Cabai Merah Keriting/Maluku/2024-10-25,73359.51
Cabai Merah Keriting/Maluku/2024-10-26,71800.5
Cabai Merah Keriting/Maluku/2024-10-27,72362.945
Cabai Merah Keriting/Maluku/2024-10-28,68317.92
Cabai Merah Keriting/Maluku/2024-10-29,72491.195
Cabai Merah Keriting/Maluku/2024-10-30,71565.12
Cabai Merah Keriting/Maluku/2024-10-31,70949.89
Cabai Merah Keriting/Maluku/2024-11-01,72496.84
Cabai Merah Keriting/Maluku/2024-11-02,57692.867
Cabai Merah Keriting/Maluku/2024-11-03,71833.68
Cabai Merah Keriting/Maluku/2024-11-04,74544.97
Cabai Merah Keriting/Maluku/2024-11-05,77094.65
Cabai Merah Keriting/Maluku/2024-11-06,76467.2
Cabai Merah Keriting/Maluku/2024-11-07,72031.695
Cabai Merah Keriting/Maluku/2024-11-08,72343.945
Cabai Merah Keriting/Maluku/2024-11-09,59448.04
Cabai Merah Keriting/Maluku/2024-11-10,73355.2
Cabai Merah Keriting/Maluku/2024-11-11,67264.8
Cabai Merah Keriting/Maluku/2024-11-12,66047.46
Cabai Merah Keriting/Maluku/2024-11-13,64972.688
Cabai Merah Keriting/Maluku/2024-11-14,63928.332
Cabai Merah Keriting/Maluku/2024-11-15,68801.82
Cabai Merah Keriting/Maluku/2024-11-16,67464.164
Cabai Merah Keriting/Maluku/2024-11-17,66418.01
Cabai Merah Keriting/Maluku/2024-11-18,64598.96
Cabai Merah Keriting/Maluku/2024-11-19,65171.414
Cabai Merah Keriting/Maluku/2024-11-20,65351.152
Cabai Merah Keriting/Maluku/2024-11-21,64615.695
Cabai Merah Keriting/Maluku/2024-11-22,60478.008
Cabai Merah Keriting/Maluku/2024-11-23,68690.734
Cabai Merah Keriting/Maluku/2024-11-24,67956.23
Cabai Merah Keriting/Maluku/2024-11-25,67997.64
Cabai Merah Keriting/Maluku/2024-11-26,70204.08
Cabai Merah Keriting/Maluku/2024-11-27,69945.11
Cabai Merah Keriting/Maluku/2024-11-28,67506.29
Cabai Merah Keriting/Maluku/2024-11-29,67855.82
Cabai Merah Keriting/Maluku/2024-11-30,70597.68
Cabai Merah Keriting/Maluku/2024-12-01,73075.18
Cabai Merah Keriting/Maluku/2024-12-02,69901.03
Cabai Merah Keriting/Maluku/2024-12-03,70432.54
Cabai Merah Keriting/Maluku/2024-12-04,70427.29
Cabai Merah Keriting/Maluku/2024-12-05,71702.68
Cabai Merah Keriting/Maluku/2024-12-06,69544.68
Cabai Merah Keriting/Maluku/2024-12-07,59497.684
Cabai Merah Keriting/Maluku/2024-12-08,66080.5
Cabai Merah Keriting/Maluku/2024-12-09,67209.51
Cabai Merah Keriting/Maluku/2024-12-10,68118.164
Cabai Merah Keriting/Maluku/2024-12-11,62977.332
Cabai Merah Keriting/Maluku/2024-12-12,61870.54
Cabai Merah Keriting/Maluku/2024-12-13,68664.34
Cabai Merah Keriting/Maluku/2024-12-14,68334.33
Cabai Merah Keriting/Maluku/2024-12-15,68199.82
Cabai Merah Keriting/Maluku/2024-12-16,65233.918
Cabai Merah Keriting/Maluku/2024-12-17,65026.31
Cabai Merah Keriting/Maluku/2024-12-18,65216.84
Cabai Merah Keriting/Maluku/2024-12-19,62860.805
Cabai Merah Keriting/Maluku/2024-12-20,65487.82
Cabai Merah Keriting/Maluku/2024-12-21,66182.07
Cabai Merah Keriting/Maluku/2024-12-22,65409.914
Cabai Merah Keriting/Maluku/2024-12-23,65253.574
Cabai Merah Keriting/Maluku/2024-12-24,65892.234
Cabai Merah Keriting/Maluku/2024-12-25,66130.34
Cabai Merah Keriting/Maluku/2024-12-26,58911.55
Cabai Merah Keriting/Maluku/2024-12-27,59280.48
Cabai Merah Keriting/Maluku/2024-12-28,63428.65
Cabai Merah Keriting/Maluku/2024-12-29,64544.84
Cabai Merah Keriting/Maluku/2024-12-30,64621.62
Cabai Merah Keriting/Maluku/2024-12-31,67834.984
