id,price
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-01,24629.559
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-02,24527.633
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-03,24405.26
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-04,23665.28
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-05,23161.783
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-06,23392.309
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-07,22932.107
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-08,22896.926
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-09,22780.865
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-10,23049.385
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-11,23756.393
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-12,23270.0
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-13,23475.715
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-14,23217.873
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-15,22284.02
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-16,22450.777
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-17,23313.13
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-18,23746.168
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-19,23166.738
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-20,24097.691
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-21,23223.2
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-22,23416.215
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-23,23342.379
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-24,22469.566
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-25,21872.002
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-26,22787.623
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-27,23303.143
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-28,21995.824
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-29,21978.547
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-30,21862.738
Cabai Merah Keriting/Nusa Tenggara Barat/2024-10-31,21953.23
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-01,25396.969
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-02,24949.494
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-03,24828.69
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-04,22942.861
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-05,22879.037
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-06,22785.39
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-07,23125.594
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-08,23654.318
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-09,23152.725
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-10,23426.84
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-11,22976.28
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-12,22965.531
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-13,22904.518
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-14,23300.506
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-15,22726.389
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-16,22476.727
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-17,23633.37
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-18,23126.39
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-19,23137.156
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-20,23420.488
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-21,23324.668
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-22,23822.836
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-23,23493.965
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-24,23525.814
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-25,21872.896
Cabai Merah Keriting/Nusa Tenggara Barat/2024-11-26,21887.037
