id,price
Cabai Merah Keriting/Papua/2024-10-01,63402.12
Cabai Merah Keriting/Papua/2024-10-02,65103.65
Cabai Merah Keriting/Papua/2024-10-03,61756.08
Cabai Merah Keriting/Papua/2024-10-04,62067.9
Cabai Merah Keriting/Papua/2024-10-05,62587.02
Cabai Merah Keriting/Papua/2024-10-06,61196.49
Cabai Merah Keriting/Papua/2024-10-07,62151.31
Cabai Merah Keriting/Papua/2024-10-08,62598.67
Cabai Merah Keriting/Papua/2024-10-09,62977.87
Cabai Merah Keriting/Papua/2024-10-10,62123.465
Cabai Merah Keriting/Papua/2024-10-11,63546.992
Cabai Merah Keriting/Papua/2024-10-12,63223.977
Cabai Merah Keriting/Papua/2024-10-13,64272.11
Cabai Merah Keriting/Papua/2024-10-14,63688.69
Cabai Merah Keriting/Papua/2024-10-15,65205.7
Cabai Merah Keriting/Papua/2024-10-16,64759.004
Cabai Merah Keriting/Papua/2024-10-17,63895.867
Cabai Merah Keriting/Papua/2024-10-18,63353.246
Cabai Merah Keriting/Papua/2024-10-19,61487.766
Cabai Merah Keriting/Papua/2024-10-20,61287.848
Cabai Merah Keriting/Papua/2024-10-21,52898.516
Cabai Merah Keriting/Papua/2024-10-22,52864.31
Cabai Merah Keriting/Papua/2024-10-23,53909.37
Cabai Merah Keriting/Papua/2024-10-24,54162.88
Cabai Merah Keriting/Papua/2024-10-25,54311.56
Cabai Merah Keriting/Papua/2024-10-26,51474.945
Cabai Merah Keriting/Papua/2024-10-27,49775.42
Cabai Merah Keriting/Papua/2024-10-28,51676.184
Cabai Merah Keriting/Papua/2024-10-29,51454.5
Cabai Merah Keriting/Papua/2024-10-30,52531.496
Cabai Merah Keriting/Papua/2024-10-31,51880.293
Cabai Merah Keriting/Papua/2024-11-01,51506.676
Cabai Merah Keriting/Papua/2024-11-02,50756.266
Cabai Merah Keriting/Papua/2024-11-03,50594.035
Cabai Merah Keriting/Papua/2024-11-04,51940.375
Cabai Merah Keriting/Papua/2024-11-05,52714.742
Cabai Merah Keriting/Papua/2024-11-06,56487.293
Cabai Merah Keriting/Papua/2024-11-07,56735.273
Cabai Merah Keriting/Papua/2024-11-08,54940.516
Cabai Merah Keriting/Papua/2024-11-09,55396.05
Cabai Merah Keriting/Papua/2024-11-10,56535.73
Cabai Merah Keriting/Papua/2024-11-11,51187.35
Cabai Merah Keriting/Papua/2024-11-12,50560.47
Cabai Merah Keriting/Papua/2024-11-13,53700.633
Cabai Merah Keriting/Papua/2024-11-14,53974.004
Cabai Merah Keriting/Papua/2024-11-15,54149.816
Cabai Merah Keriting/Papua/2024-11-16,54802.055
Cabai Merah Keriting/Papua/2024-11-17,59827.63
Cabai Merah Keriting/Papua/2024-11-18,52867.76
Cabai Merah Keriting/Papua/2024-11-19,50741.76
Cabai Merah Keriting/Papua/2024-11-20,51814.977
Cabai Merah Keriting/Papua/2024-11-21,50968.133
Cabai Merah Keriting/Papua/2024-11-22,53295.754
Cabai Merah Keriting/Papua/2024-11-23,49394.883
Cabai Merah Keriting/Papua/2024-11-24,48705.207
Cabai Merah Keriting/Papua/2024-11-25,49747.113
Cabai Merah Keriting/Papua/2024-11-26,50499.45
Cabai Merah Keriting/Papua/2024-11-27,50154.03
Cabai Merah Keriting/Papua/2024-11-28,46793.02
Cabai Merah Keriting/Papua/2024-11-29,46793.02
Cabai Merah Keriting/Papua/2024-11-30,51369.844
Cabai Merah Keriting/Papua/2024-12-01,46056.7
Cabai Merah Keriting/Papua/2024-12-02,50915.086
Cabai Merah Keriting/Papua/2024-12-03,50915.086
Cabai Merah Keriting/Papua/2024-12-04,51461.6
Cabai Merah Keriting/Papua/2024-12-05,51150.695
Cabai Merah Keriting/Papua/2024-12-06,50564.004
Cabai Merah Keriting/Papua/2024-12-07,50962.86
Cabai Merah Keriting/Papua/2024-12-08,52249.3
Cabai Merah Keriting/Papua/2024-12-09,54381.29
Cabai Merah Keriting/Papua/2024-12-10,54337.754
Cabai Merah Keriting/Papua/2024-12-11,54542.586
Cabai Merah Keriting/Papua/2024-12-12,52588.16
Cabai Merah Keriting/Papua/2024-12-13,56344.793
Cabai Merah Keriting/Papua/2024-12-14,57752.14
Cabai Merah Keriting/Papua/2024-12-15,67404.875
Cabai Merah Keriting/Papua/2024-12-16,67414.266
Cabai Merah Keriting/Papua/2024-12-17,69887.72
Cabai Merah Keriting/Papua/2024-12-18,71740.57
Cabai Merah Keriting/Papua/2024-12-19,75762.984
Cabai Merah Keriting/Papua/2024-12-20,75762.984
Cabai Merah Keriting/Papua/2024-12-21,76805.6
Cabai Merah Keriting/Papua/2024-12-22,77672.67
Cabai Merah Keriting/Papua/2024-12-23,73044.35
Cabai Merah Keriting/Papua/2024-12-24,77079.5
Cabai Merah Keriting/Papua/2024-12-25,80345.1
Cabai Merah Keriting/Papua/2024-12-26,80222.17
Cabai Merah Keriting/Papua/2024-12-27,76603.79
Cabai Merah Keriting/Papua/2024-12-28,78786.66
Cabai Merah Keriting/Papua/2024-12-29,78238.37
Cabai Merah Keriting/Papua/2024-12-30,76460.37
Cabai Merah Keriting/Papua/2024-12-31,76438.32
