id,price
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-01,43212.688
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-02,44948.73
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-03,44819.098
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-04,43599.65
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-05,43752.28
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-06,43367.066
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-07,40488.574
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-08,40306.152
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-09,43748.188
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-10,43991.504
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-11,44273.43
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-12,44415.535
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-13,43873.945
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-14,43591.742
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-15,44816.156
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-16,44947.246
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-17,44284.582
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-18,44030.703
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-19,44461.71
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-20,45745.223
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-21,47306.777
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-22,47782.887
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-23,49112.01
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-24,48670.9
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-25,49235.684
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-26,47868.227
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-27,46052.094
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-28,46714.04
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-29,48222.273
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-30,48371.633
Cabai Merah Keriting/Sulawesi Tenggara/2024-10-31,48977.594
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-01,49815.125
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-02,49758.117
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-03,49491.6
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-04,56898.414
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-05,57513.94
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-06,57564.016
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-07,56646.34
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-08,58486.156
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-09,58448.434
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-10,58168.83
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-11,60805.69
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-12,61778.867
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-13,60362.562
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-14,60603.773
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-15,60894.566
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-16,61989.66
Cabai Merah Keriting/Sulawesi Tenggara/2024-11-17,60716.734
