id,price
Cabai Rawit Merah/Gorontalo/2024-10-01,59388.555
Cabai Rawit Merah/Gorontalo/2024-10-02,59255.133
Cabai Rawit Merah/Gorontalo/2024-10-03,58800.004
Cabai Rawit Merah/Gorontalo/2024-10-04,58800.004
Cabai Rawit Merah/Gorontalo/2024-10-05,63265.04
Cabai Rawit Merah/Gorontalo/2024-10-06,62694.18
Cabai Rawit Merah/Gorontalo/2024-10-07,64908.742
Cabai Rawit Merah/Gorontalo/2024-10-08,67142.19
Cabai Rawit Merah/Gorontalo/2024-10-09,67132.95
Cabai Rawit Merah/Gorontalo/2024-10-10,67132.95
Cabai Rawit Merah/Gorontalo/2024-10-11,69289.79
Cabai Rawit Merah/Gorontalo/2024-10-12,69395.55
Cabai Rawit Merah/Gorontalo/2024-10-13,69222.62
Cabai Rawit Merah/Gorontalo/2024-10-14,72006.734
Cabai Rawit Merah/Gorontalo/2024-10-15,72062.09
Cabai Rawit Merah/Gorontalo/2024-10-16,71045.21
Cabai Rawit Merah/Gorontalo/2024-10-17,64505.23
Cabai Rawit Merah/Gorontalo/2024-10-18,63501.926
Cabai Rawit Merah/Gorontalo/2024-10-19,69512.445
Cabai Rawit Merah/Gorontalo/2024-10-20,69089.49
Cabai Rawit Merah/Gorontalo/2024-10-21,66037.68
Cabai Rawit Merah/Gorontalo/2024-10-22,65360.324
Cabai Rawit Merah/Gorontalo/2024-10-23,64841.965
Cabai Rawit Merah/Gorontalo/2024-10-24,63078.82
Cabai Rawit Merah/Gorontalo/2024-10-25,62299.934
Cabai Rawit Merah/Gorontalo/2024-10-26,71448.016
Cabai Rawit Merah/Gorontalo/2024-10-27,71103.48
Cabai Rawit Merah/Gorontalo/2024-10-28,67574.65
Cabai Rawit Merah/Gorontalo/2024-10-29,67574.65
Cabai Rawit Merah/Gorontalo/2024-10-30,70746.71
Cabai Rawit Merah/Gorontalo/2024-10-31,67986.51
Cabai Rawit Merah/Gorontalo/2024-11-01,67254.6
Cabai Rawit Merah/Gorontalo/2024-11-02,68320.29
Cabai Rawit Merah/Gorontalo/2024-11-03,67284.32
Cabai Rawit Merah/Gorontalo/2024-11-04,66252.35
Cabai Rawit Merah/Gorontalo/2024-11-05,67275.14
Cabai Rawit Merah/Gorontalo/2024-11-06,67948.98
Cabai Rawit Merah/Gorontalo/2024-11-07,68664.836
Cabai Rawit Merah/Gorontalo/2024-11-08,69390.71
Cabai Rawit Merah/Gorontalo/2024-11-09,69759.37
Cabai Rawit Merah/Gorontalo/2024-11-10,68438.32
Cabai Rawit Merah/Gorontalo/2024-11-11,73042.96
Cabai Rawit Merah/Gorontalo/2024-11-12,73042.96
Cabai Rawit Merah/Gorontalo/2024-11-13,72891.13
Cabai Rawit Merah/Gorontalo/2024-11-14,72544.98
Cabai Rawit Merah/Gorontalo/2024-11-15,72600.336
Cabai Rawit Merah/Gorontalo/2024-11-16,76108.17
Cabai Rawit Merah/Gorontalo/2024-11-17,75701.78
Cabai Rawit Merah/Gorontalo/2024-11-18,86427.734
Cabai Rawit Merah/Gorontalo/2024-11-19,86517.92
Cabai Rawit Merah/Gorontalo/2024-11-20,85971.08
Cabai Rawit Merah/Gorontalo/2024-11-21,88178.445
Cabai Rawit Merah/Gorontalo/2024-11-22,88178.445
Cabai Rawit Merah/Gorontalo/2024-11-23,91954.125
Cabai Rawit Merah/Gorontalo/2024-11-24,92235.95
Cabai Rawit Merah/Gorontalo/2024-11-25,92472.14
Cabai Rawit Merah/Gorontalo/2024-11-26,93414.44
