id,price
Cabai Rawit Merah/Jawa Barat/2024-10-01,41450.016
Cabai Rawit Merah/Jawa Barat/2024-10-02,41396.016
Cabai Rawit Merah/Jawa Barat/2024-10-03,41319.465
Cabai Rawit Merah/Jawa Barat/2024-10-04,41289.902
Cabai Rawit Merah/Jawa Barat/2024-10-05,41344.387
Cabai Rawit Merah/Jawa Barat/2024-10-06,41427.582
Cabai Rawit Merah/Jawa Barat/2024-10-07,43863.445
Cabai Rawit Merah/Jawa Barat/2024-10-08,44859.62
Cabai Rawit Merah/Jawa Barat/2024-10-09,44031.027
Cabai Rawit Merah/Jawa Barat/2024-10-10,45023.617
Cabai Rawit Merah/Jawa Barat/2024-10-11,44968.613
Cabai Rawit Merah/Jawa Barat/2024-10-12,44640.973
Cabai Rawit Merah/Jawa Barat/2024-10-13,49837.26
Cabai Rawit Merah/Jawa Barat/2024-10-14,50037.492
Cabai Rawit Merah/Jawa Barat/2024-10-15,50794.812
Cabai Rawit Merah/Jawa Barat/2024-10-16,50986.164
Cabai Rawit Merah/Jawa Barat/2024-10-17,51063.023
Cabai Rawit Merah/Jawa Barat/2024-10-18,53581.984
Cabai Rawit Merah/Jawa Barat/2024-10-19,50893.957
Cabai Rawit Merah/Jawa Barat/2024-10-20,52048.77
Cabai Rawit Merah/Jawa Barat/2024-10-21,59312.215
Cabai Rawit Merah/Jawa Barat/2024-10-22,55720.613
Cabai Rawit Merah/Jawa Barat/2024-10-23,56207.8
Cabai Rawit Merah/Jawa Barat/2024-10-24,58247.637
Cabai Rawit Merah/Jawa Barat/2024-10-25,66314.875
Cabai Rawit Merah/Jawa Barat/2024-10-26,67232.07
Cabai Rawit Merah/Jawa Barat/2024-10-27,66984.83
Cabai Rawit Merah/Jawa Barat/2024-10-28,75421.96
Cabai Rawit Merah/Jawa Barat/2024-10-29,77946.53
Cabai Rawit Merah/Jawa Barat/2024-10-30,77948.5
Cabai Rawit Merah/Jawa Barat/2024-10-31,77999.84
Cabai Rawit Merah/Jawa Barat/2024-11-01,77358.516
Cabai Rawit Merah/Jawa Barat/2024-11-02,78261.2
Cabai Rawit Merah/Jawa Barat/2024-11-03,79117.484
Cabai Rawit Merah/Jawa Barat/2024-11-04,83266.375
Cabai Rawit Merah/Jawa Barat/2024-11-05,83179.35
Cabai Rawit Merah/Jawa Barat/2024-11-06,83229.016
Cabai Rawit Merah/Jawa Barat/2024-11-07,82628.48
Cabai Rawit Merah/Jawa Barat/2024-11-08,82628.48
Cabai Rawit Merah/Jawa Barat/2024-11-09,82403.34
Cabai Rawit Merah/Jawa Barat/2024-11-10,83184.125
Cabai Rawit Merah/Jawa Barat/2024-11-11,85122.836
Cabai Rawit Merah/Jawa Barat/2024-11-12,83879.086
Cabai Rawit Merah/Jawa Barat/2024-11-13,83849.05
Cabai Rawit Merah/Jawa Barat/2024-11-14,83958.81
Cabai Rawit Merah/Jawa Barat/2024-11-15,83604.0
Cabai Rawit Merah/Jawa Barat/2024-11-16,83089.53
Cabai Rawit Merah/Jawa Barat/2024-11-17,82842.15
Cabai Rawit Merah/Jawa Barat/2024-11-18,92170.08
Cabai Rawit Merah/Jawa Barat/2024-11-19,91352.086
Cabai Rawit Merah/Jawa Barat/2024-11-20,90257.97
Cabai Rawit Merah/Jawa Barat/2024-11-21,89812.42
Cabai Rawit Merah/Jawa Barat/2024-11-22,90634.055
Cabai Rawit Merah/Jawa Barat/2024-11-23,87459.65
Cabai Rawit Merah/Jawa Barat/2024-11-24,87565.97
Cabai Rawit Merah/Jawa Barat/2024-11-25,88890.69
Cabai Rawit Merah/Jawa Barat/2024-11-26,89958.92
Cabai Rawit Merah/Jawa Barat/2024-11-27,90989.63
Cabai Rawit Merah/Jawa Barat/2024-11-28,89949.05
Cabai Rawit Merah/Jawa Barat/2024-11-29,89636.875
Cabai Rawit Merah/Jawa Barat/2024-11-30,85272.62
Cabai Rawit Merah/Jawa Barat/2024-12-01,90332.86
Cabai Rawit Merah/Jawa Barat/2024-12-02,91937.984
Cabai Rawit Merah/Jawa Barat/2024-12-03,92701.91
Cabai Rawit Merah/Jawa Barat/2024-12-04,93226.47
Cabai Rawit Merah/Jawa Barat/2024-12-05,94561.95
Cabai Rawit Merah/Jawa Barat/2024-12-06,94671.35
Cabai Rawit Merah/Jawa Barat/2024-12-07,94541.37
Cabai Rawit Merah/Jawa Barat/2024-12-08,94468.27
Cabai Rawit Merah/Jawa Barat/2024-12-09,94842.0
Cabai Rawit Merah/Jawa Barat/2024-12-10,94732.6
Cabai Rawit Merah/Jawa Barat/2024-12-11,94709.8
Cabai Rawit Merah/Jawa Barat/2024-12-12,93177.63
Cabai Rawit Merah/Jawa Barat/2024-12-13,93381.41
Cabai Rawit Merah/Jawa Barat/2024-12-14,91247.586
Cabai Rawit Merah/Jawa Barat/2024-12-15,90357.625
Cabai Rawit Merah/Jawa Barat/2024-12-16,84021.37
Cabai Rawit Merah/Jawa Barat/2024-12-17,84151.984
Cabai Rawit Merah/Jawa Barat/2024-12-18,85271.05
Cabai Rawit Merah/Jawa Barat/2024-12-19,82874.516
Cabai Rawit Merah/Jawa Barat/2024-12-20,81071.93
Cabai Rawit Merah/Jawa Barat/2024-12-21,79430.2
Cabai Rawit Merah/Jawa Barat/2024-12-22,79428.79
Cabai Rawit Merah/Jawa Barat/2024-12-23,82268.734
Cabai Rawit Merah/Jawa Barat/2024-12-24,81893.72
Cabai Rawit Merah/Jawa Barat/2024-12-25,81137.86
Cabai Rawit Merah/Jawa Barat/2024-12-26,81936.84
Cabai Rawit Merah/Jawa Barat/2024-12-27,81862.39
Cabai Rawit Merah/Jawa Barat/2024-12-28,79790.52
Cabai Rawit Merah/Jawa Barat/2024-12-29,79794.98
Cabai Rawit Merah/Jawa Barat/2024-12-30,66973.73
Cabai Rawit Merah/Jawa Barat/2024-12-31,66942.37
