id,price
Cabai Rawit Merah/Maluku Utara/2024-10-01,77737.3
Cabai Rawit Merah/Maluku Utara/2024-10-02,77920.83
Cabai Rawit Merah/Maluku Utara/2024-10-03,78605.31
Cabai Rawit Merah/Maluku Utara/2024-10-04,77635.17
Cabai Rawit Merah/Maluku Utara/2024-10-05,77826.17
Cabai Rawit Merah/Maluku Utara/2024-10-06,75920.46
Cabai Rawit Merah/Maluku Utara/2024-10-07,78737.555
Cabai Rawit Merah/Maluku Utara/2024-10-08,79070.195
Cabai Rawit Merah/Maluku Utara/2024-10-09,77579.41
Cabai Rawit Merah/Maluku Utara/2024-10-10,77735.625
Cabai Rawit Merah/Maluku Utara/2024-10-11,81664.52
Cabai Rawit Merah/Maluku Utara/2024-10-12,79016.08
Cabai Rawit Merah/Maluku Utara/2024-10-13,80427.89
Cabai Rawit Merah/Maluku Utara/2024-10-14,82605.95
Cabai Rawit Merah/Maluku Utara/2024-10-15,83913.83
Cabai Rawit Merah/Maluku Utara/2024-10-16,79189.734
Cabai Rawit Merah/Maluku Utara/2024-10-17,79659.96
Cabai Rawit Merah/Maluku Utara/2024-10-18,79564.65
Cabai Rawit Merah/Maluku Utara/2024-10-19,79802.625
Cabai Rawit Merah/Maluku Utara/2024-10-20,81976.195
Cabai Rawit Merah/Maluku Utara/2024-10-21,79260.21
Cabai Rawit Merah/Maluku Utara/2024-10-22,78264.195
Cabai Rawit Merah/Maluku Utara/2024-10-23,77958.586
Cabai Rawit Merah/Maluku Utara/2024-10-24,78919.62
Cabai Rawit Merah/Maluku Utara/2024-10-25,78342.51
Cabai Rawit Merah/Maluku Utara/2024-10-26,77227.68
Cabai Rawit Merah/Maluku Utara/2024-10-27,77818.69
Cabai Rawit Merah/Maluku Utara/2024-10-28,76720.41
Cabai Rawit Merah/Maluku Utara/2024-10-29,76911.44
Cabai Rawit Merah/Maluku Utara/2024-10-30,75975.04
Cabai Rawit Merah/Maluku Utara/2024-10-31,78811.43
Cabai Rawit Merah/Maluku Utara/2024-11-01,77789.29
Cabai Rawit Merah/Maluku Utara/2024-11-02,77584.11
Cabai Rawit Merah/Maluku Utara/2024-11-03,78048.23
Cabai Rawit Merah/Maluku Utara/2024-11-04,78059.73
Cabai Rawit Merah/Maluku Utara/2024-11-05,77979.36
Cabai Rawit Merah/Maluku Utara/2024-11-06,76203.67
Cabai Rawit Merah/Maluku Utara/2024-11-07,79312.63
Cabai Rawit Merah/Maluku Utara/2024-11-08,77950.35
Cabai Rawit Merah/Maluku Utara/2024-11-09,74796.21
Cabai Rawit Merah/Maluku Utara/2024-11-10,75777.95
Cabai Rawit Merah/Maluku Utara/2024-11-11,79146.62
Cabai Rawit Merah/Maluku Utara/2024-11-12,79969.99
Cabai Rawit Merah/Maluku Utara/2024-11-13,80921.44
Cabai Rawit Merah/Maluku Utara/2024-11-14,81427.63
Cabai Rawit Merah/Maluku Utara/2024-11-15,81227.27
Cabai Rawit Merah/Maluku Utara/2024-11-16,78363.89
Cabai Rawit Merah/Maluku Utara/2024-11-17,81140.555
Cabai Rawit Merah/Maluku Utara/2024-11-18,84327.2
Cabai Rawit Merah/Maluku Utara/2024-11-19,80786.15
Cabai Rawit Merah/Maluku Utara/2024-11-20,80002.22
Cabai Rawit Merah/Maluku Utara/2024-11-21,79320.95
Cabai Rawit Merah/Maluku Utara/2024-11-22,77250.13
Cabai Rawit Merah/Maluku Utara/2024-11-23,77354.72
Cabai Rawit Merah/Maluku Utara/2024-11-24,77945.72
Cabai Rawit Merah/Maluku Utara/2024-11-25,77556.29
Cabai Rawit Merah/Maluku Utara/2024-11-26,78103.96
Cabai Rawit Merah/Maluku Utara/2024-11-27,77701.586
Cabai Rawit Merah/Maluku Utara/2024-11-28,79304.77
Cabai Rawit Merah/Maluku Utara/2024-11-29,78156.72
Cabai Rawit Merah/Maluku Utara/2024-11-30,77176.46
Cabai Rawit Merah/Maluku Utara/2024-12-01,76917.79
Cabai Rawit Merah/Maluku Utara/2024-12-02,83986.78
Cabai Rawit Merah/Maluku Utara/2024-12-03,89498.72
Cabai Rawit Merah/Maluku Utara/2024-12-04,89498.72
Cabai Rawit Merah/Maluku Utara/2024-12-05,89883.914
Cabai Rawit Merah/Maluku Utara/2024-12-06,90043.555
Cabai Rawit Merah/Maluku Utara/2024-12-07,93505.95
Cabai Rawit Merah/Maluku Utara/2024-12-08,95731.84
Cabai Rawit Merah/Maluku Utara/2024-12-09,112558.96
Cabai Rawit Merah/Maluku Utara/2024-12-10,116522.73
Cabai Rawit Merah/Maluku Utara/2024-12-11,115023.54
Cabai Rawit Merah/Maluku Utara/2024-12-12,126585.76
Cabai Rawit Merah/Maluku Utara/2024-12-13,133062.03
Cabai Rawit Merah/Maluku Utara/2024-12-14,136015.11
Cabai Rawit Merah/Maluku Utara/2024-12-15,134784.12
Cabai Rawit Merah/Maluku Utara/2024-12-16,128102.17
