id,price
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-01,32133.08
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-02,31813.643
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-03,31137.59
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-04,30356.773
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-05,30698.01
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-06,30639.043
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-07,32572.828
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-08,33126.035
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-09,32973.785
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-10,33660.69
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-11,33466.96
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-12,34246.316
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-13,33270.074
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-14,35148.797
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-15,35231.504
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-16,34863.934
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-17,36988.465
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-18,36565.25
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-19,37979.742
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-20,40723.527
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-21,45662.77
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-22,47591.695
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-23,47011.492
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-24,47784.7
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-25,47997.047
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-26,48198.266
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-27,56571.035
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-28,55629.07
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-29,58066.855
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-30,57995.8
Cabai Rawit Merah/Nusa Tenggara Barat/2024-10-31,57819.633
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-01,57389.523
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-02,58889.082
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-03,60108.74
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-04,61612.33
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-05,62864.133
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-06,65313.074
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-07,64416.773
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-08,64061.586
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-09,64777.79
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-10,64141.82
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-11,62123.08
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-12,63548.0
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-13,64527.77
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-14,61269.17
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-15,62983.926
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-16,64215.363
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-17,63863.582
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-18,65672.96
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-19,65599.08
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-20,64011.273
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-21,64433.055
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-22,63870.793
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-23,63622.023
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-24,64563.832
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-25,65001.24
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-26,65719.94
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-27,64869.66
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-28,65098.85
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-29,64731.664
Cabai Rawit Merah/Nusa Tenggara Barat/2024-11-30,64917.836
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-01,64770.566
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-02,64414.125
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-03,64840.867
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-04,63590.836
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-05,63150.816
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-06,64214.59
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-07,64104.918
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-08,64177.77
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-09,62328.875
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-10,61584.184
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-11,60106.234
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-12,59277.312
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-13,59292.215
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-14,60699.516
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-15,60408.28
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-16,63557.51
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-17,62666.48
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-18,62386.605
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-19,60681.465
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-20,60862.758
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-21,62616.297
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-22,62034.973
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-23,62606.438
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-24,62692.69
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-25,62344.645
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-26,59804.71
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-27,59396.76
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-28,60366.27
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-29,59697.703
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-30,62278.11
Cabai Rawit Merah/Nusa Tenggara Barat/2024-12-31,61393.707
