id,price
Cabai Rawit Merah/Riau/2024-10-01,58207.996
Cabai Rawit Merah/Riau/2024-10-02,57414.05
Cabai Rawit Merah/Riau/2024-10-03,57064.39
Cabai Rawit Merah/Riau/2024-10-04,58077.676
Cabai Rawit Merah/Riau/2024-10-05,58232.953
Cabai Rawit Merah/Riau/2024-10-06,57486.023
Cabai Rawit Merah/Riau/2024-10-07,58251.094
Cabai Rawit Merah/Riau/2024-10-08,58319.887
Cabai Rawit Merah/Riau/2024-10-09,59295.85
Cabai Rawit Merah/Riau/2024-10-10,58057.8
Cabai Rawit Merah/Riau/2024-10-11,58016.188
Cabai Rawit Merah/Riau/2024-10-12,57368.168
Cabai Rawit Merah/Riau/2024-10-13,57657.91
Cabai Rawit Merah/Riau/2024-10-14,56717.855
Cabai Rawit Merah/Riau/2024-10-15,55966.49
Cabai Rawit Merah/Riau/2024-10-16,56439.613
Cabai Rawit Merah/Riau/2024-10-17,56021.24
Cabai Rawit Merah/Riau/2024-10-18,55956.043
Cabai Rawit Merah/Riau/2024-10-19,56020.96
Cabai Rawit Merah/Riau/2024-10-20,55819.7
Cabai Rawit Merah/Riau/2024-10-21,54881.156
Cabai Rawit Merah/Riau/2024-10-22,54328.914
Cabai Rawit Merah/Riau/2024-10-23,53000.805
Cabai Rawit Merah/Riau/2024-10-24,53519.93
Cabai Rawit Merah/Riau/2024-10-25,55956.785
Cabai Rawit Merah/Riau/2024-10-26,56923.36
Cabai Rawit Merah/Riau/2024-10-27,56663.883
Cabai Rawit Merah/Riau/2024-10-28,55851.383
Cabai Rawit Merah/Riau/2024-10-29,56875.285
Cabai Rawit Merah/Riau/2024-10-30,56606.527
Cabai Rawit Merah/Riau/2024-10-31,56107.94
Cabai Rawit Merah/Riau/2024-11-01,58924.33
Cabai Rawit Merah/Riau/2024-11-02,57734.344
Cabai Rawit Merah/Riau/2024-11-03,57536.45
Cabai Rawit Merah/Riau/2024-11-04,58198.61
Cabai Rawit Merah/Riau/2024-11-05,58471.59
Cabai Rawit Merah/Riau/2024-11-06,59071.805
Cabai Rawit Merah/Riau/2024-11-07,58092.99
Cabai Rawit Merah/Riau/2024-11-08,57664.234
Cabai Rawit Merah/Riau/2024-11-09,58149.656
Cabai Rawit Merah/Riau/2024-11-10,57402.727
Cabai Rawit Merah/Riau/2024-11-11,58514.883
Cabai Rawit Merah/Riau/2024-11-12,56849.14
Cabai Rawit Merah/Riau/2024-11-13,57616.156
Cabai Rawit Merah/Riau/2024-11-14,56717.855
Cabai Rawit Merah/Riau/2024-11-15,56644.824
Cabai Rawit Merah/Riau/2024-11-16,56681.59
Cabai Rawit Merah/Riau/2024-11-17,56524.902
Cabai Rawit Merah/Riau/2024-11-18,54933.363
Cabai Rawit Merah/Riau/2024-11-19,54879.56
Cabai Rawit Merah/Riau/2024-11-20,54906.617
Cabai Rawit Merah/Riau/2024-11-21,54881.156
Cabai Rawit Merah/Riau/2024-11-22,55140.36
Cabai Rawit Merah/Riau/2024-11-23,53500.75
Cabai Rawit Merah/Riau/2024-11-24,54180.47
Cabai Rawit Merah/Riau/2024-11-25,55123.44
Cabai Rawit Merah/Riau/2024-11-26,55945.848
Cabai Rawit Merah/Riau/2024-11-27,55945.848
Cabai Rawit Merah/Riau/2024-11-28,55851.383
Cabai Rawit Merah/Riau/2024-11-29,58505.6
Cabai Rawit Merah/Riau/2024-11-30,58030.75
Cabai Rawit Merah/Riau/2024-12-01,58908.63
Cabai Rawit Merah/Riau/2024-12-02,56587.055
Cabai Rawit Merah/Riau/2024-12-03,57215.13
Cabai Rawit Merah/Riau/2024-12-04,58964.0
Cabai Rawit Merah/Riau/2024-12-05,58092.99
Cabai Rawit Merah/Riau/2024-12-06,58092.99
Cabai Rawit Merah/Riau/2024-12-07,58232.953
Cabai Rawit Merah/Riau/2024-12-08,57052.258
Cabai Rawit Merah/Riau/2024-12-09,58475.14
Cabai Rawit Merah/Riau/2024-12-10,58814.168
Cabai Rawit Merah/Riau/2024-12-11,59220.918
Cabai Rawit Merah/Riau/2024-12-12,56356.562
Cabai Rawit Merah/Riau/2024-12-13,57833.625
Cabai Rawit Merah/Riau/2024-12-14,57403.402
Cabai Rawit Merah/Riau/2024-12-15,56489.35
Cabai Rawit Merah/Riau/2024-12-16,55985.69
Cabai Rawit Merah/Riau/2024-12-17,56002.043
Cabai Rawit Merah/Riau/2024-12-18,54879.56
Cabai Rawit Merah/Riau/2024-12-19,54854.098
Cabai Rawit Merah/Riau/2024-12-20,55880.223
Cabai Rawit Merah/Riau/2024-12-21,56115.477
Cabai Rawit Merah/Riau/2024-12-22,55050.516
Cabai Rawit Merah/Riau/2024-12-23,53000.805
Cabai Rawit Merah/Riau/2024-12-24,53519.93
Cabai Rawit Merah/Riau/2024-12-25,55148.902
Cabai Rawit Merah/Riau/2024-12-26,55920.387
Cabai Rawit Merah/Riau/2024-12-27,56808.492
Cabai Rawit Merah/Riau/2024-12-28,56804.22
Cabai Rawit Merah/Riau/2024-12-29,58476.36
Cabai Rawit Merah/Riau/2024-12-30,56107.94
Cabai Rawit Merah/Riau/2024-12-31,56133.402
