id,price
Cabai Rawit Merah/Sumatera Utara/2024-10-01,49111.945
Cabai Rawit Merah/Sumatera Utara/2024-10-02,48302.78
Cabai Rawit Merah/Sumatera Utara/2024-10-03,48418.445
Cabai Rawit Merah/Sumatera Utara/2024-10-04,48538.99
Cabai Rawit Merah/Sumatera Utara/2024-10-05,49406.39
Cabai Rawit Merah/Sumatera Utara/2024-10-06,49509.816
Cabai Rawit Merah/Sumatera Utara/2024-10-07,49614.895
Cabai Rawit Merah/Sumatera Utara/2024-10-08,51069.902
Cabai Rawit Merah/Sumatera Utara/2024-10-09,49399.926
Cabai Rawit Merah/Sumatera Utara/2024-10-10,49625.48
Cabai Rawit Merah/Sumatera Utara/2024-10-11,48538.99
Cabai Rawit Merah/Sumatera Utara/2024-10-12,49406.39
Cabai Rawit Merah/Sumatera Utara/2024-10-13,48677.984
Cabai Rawit Merah/Sumatera Utara/2024-10-14,48846.05
Cabai Rawit Merah/Sumatera Utara/2024-10-15,48739.56
Cabai Rawit Merah/Sumatera Utara/2024-10-16,48302.78
Cabai Rawit Merah/Sumatera Utara/2024-10-17,48418.445
Cabai Rawit Merah/Sumatera Utara/2024-10-18,46200.418
Cabai Rawit Merah/Sumatera Utara/2024-10-19,49220.457
Cabai Rawit Merah/Sumatera Utara/2024-10-20,49299.566
Cabai Rawit Merah/Sumatera Utara/2024-10-21,48838.652
Cabai Rawit Merah/Sumatera Utara/2024-10-22,48174.23
Cabai Rawit Merah/Sumatera Utara/2024-10-23,45938.367
Cabai Rawit Merah/Sumatera Utara/2024-10-24,46581.176
Cabai Rawit Merah/Sumatera Utara/2024-10-25,46581.176
Cabai Rawit Merah/Sumatera Utara/2024-10-26,47860.715
Cabai Rawit Merah/Sumatera Utara/2024-10-27,45675.71
Cabai Rawit Merah/Sumatera Utara/2024-10-28,60713.105
Cabai Rawit Merah/Sumatera Utara/2024-10-29,58254.547
Cabai Rawit Merah/Sumatera Utara/2024-10-30,61276.88
Cabai Rawit Merah/Sumatera Utara/2024-10-31,62609.32
Cabai Rawit Merah/Sumatera Utara/2024-11-01,71017.27
Cabai Rawit Merah/Sumatera Utara/2024-11-02,71746.73
Cabai Rawit Merah/Sumatera Utara/2024-11-03,71746.73
Cabai Rawit Merah/Sumatera Utara/2024-11-04,86443.29
Cabai Rawit Merah/Sumatera Utara/2024-11-05,76507.81
Cabai Rawit Merah/Sumatera Utara/2024-11-06,80858.28
Cabai Rawit Merah/Sumatera Utara/2024-11-07,80858.28
Cabai Rawit Merah/Sumatera Utara/2024-11-08,72813.836
Cabai Rawit Merah/Sumatera Utara/2024-11-09,82284.17
Cabai Rawit Merah/Sumatera Utara/2024-11-10,76103.73
Cabai Rawit Merah/Sumatera Utara/2024-11-11,76738.36
