id,price
Daging Ayam Ras/Bali/2024-10-01,38470.49
Daging Ayam Ras/Bali/2024-10-02,38466.145
Daging Ayam Ras/Bali/2024-10-03,38291.035
Daging Ayam Ras/Bali/2024-10-04,38380.867
Daging Ayam Ras/Bali/2024-10-05,38378.617
Daging Ayam Ras/Bali/2024-10-06,38378.18
Daging Ayam Ras/Bali/2024-10-07,38501.867
Daging Ayam Ras/Bali/2024-10-08,38437.043
Daging Ayam Ras/Bali/2024-10-09,38435.785
Daging Ayam Ras/Bali/2024-10-10,38285.18
Daging Ayam Ras/Bali/2024-10-11,38409.582
Daging Ayam Ras/Bali/2024-10-12,38383.594
Daging Ayam Ras/Bali/2024-10-13,38423.875
Daging Ayam Ras/Bali/2024-10-14,38438.883
Daging Ayam Ras/Bali/2024-10-15,38496.043
Daging Ayam Ras/Bali/2024-10-16,38553.707
Daging Ayam Ras/Bali/2024-10-17,38400.03
Daging Ayam Ras/Bali/2024-10-18,38406.145
Daging Ayam Ras/Bali/2024-10-19,37958.715
Daging Ayam Ras/Bali/2024-10-20,38839.355
Daging Ayam Ras/Bali/2024-10-21,38727.297
Daging Ayam Ras/Bali/2024-10-22,39046.902
Daging Ayam Ras/Bali/2024-10-23,39188.453
Daging Ayam Ras/Bali/2024-10-24,38818.344
Daging Ayam Ras/Bali/2024-10-25,38885.39
Daging Ayam Ras/Bali/2024-10-26,38969.598
Daging Ayam Ras/Bali/2024-10-27,38931.633
Daging Ayam Ras/Bali/2024-10-28,38755.97
Daging Ayam Ras/Bali/2024-10-29,38862.184
Daging Ayam Ras/Bali/2024-10-30,38844.86
Daging Ayam Ras/Bali/2024-10-31,38767.92
Daging Ayam Ras/Bali/2024-11-01,38652.176
Daging Ayam Ras/Bali/2024-11-02,38639.56
Daging Ayam Ras/Bali/2024-11-03,38669.504
Daging Ayam Ras/Bali/2024-11-04,38657.98
Daging Ayam Ras/Bali/2024-11-05,38570.03
Daging Ayam Ras/Bali/2024-11-06,38538.133
Daging Ayam Ras/Bali/2024-11-07,38490.56
Daging Ayam Ras/Bali/2024-11-08,38801.996
Daging Ayam Ras/Bali/2024-11-09,38736.117
Daging Ayam Ras/Bali/2024-11-10,38930.79
Daging Ayam Ras/Bali/2024-11-11,38883.51
Daging Ayam Ras/Bali/2024-11-12,38683.535
Daging Ayam Ras/Bali/2024-11-13,38771.812
Daging Ayam Ras/Bali/2024-11-14,38935.938
Daging Ayam Ras/Bali/2024-11-15,38993.223
Daging Ayam Ras/Bali/2024-11-16,38954.453
Daging Ayam Ras/Bali/2024-11-17,38954.812
Daging Ayam Ras/Bali/2024-11-18,38812.785
Daging Ayam Ras/Bali/2024-11-19,38395.473
Daging Ayam Ras/Bali/2024-11-20,38743.004
Daging Ayam Ras/Bali/2024-11-21,38667.41
Daging Ayam Ras/Bali/2024-11-22,38522.836
Daging Ayam Ras/Bali/2024-11-23,38849.734
Daging Ayam Ras/Bali/2024-11-24,38748.84
Daging Ayam Ras/Bali/2024-11-25,38798.03
Daging Ayam Ras/Bali/2024-11-26,38686.562
Daging Ayam Ras/Bali/2024-11-27,38690.184
Daging Ayam Ras/Bali/2024-11-28,38689.816
Daging Ayam Ras/Bali/2024-11-29,38577.844
Daging Ayam Ras/Bali/2024-11-30,38838.445
Daging Ayam Ras/Bali/2024-12-01,38518.74
Daging Ayam Ras/Bali/2024-12-02,38800.055
Daging Ayam Ras/Bali/2024-12-03,38769.55
Daging Ayam Ras/Bali/2024-12-04,38702.902
Daging Ayam Ras/Bali/2024-12-05,38545.71
Daging Ayam Ras/Bali/2024-12-06,38654.64
Daging Ayam Ras/Bali/2024-12-07,38836.895
Daging Ayam Ras/Bali/2024-12-08,38845.855
Daging Ayam Ras/Bali/2024-12-09,38802.758
Daging Ayam Ras/Bali/2024-12-10,38713.81
Daging Ayam Ras/Bali/2024-12-11,38497.445
Daging Ayam Ras/Bali/2024-12-12,38741.75
Daging Ayam Ras/Bali/2024-12-13,38848.3
Daging Ayam Ras/Bali/2024-12-14,38953.77
Daging Ayam Ras/Bali/2024-12-15,38993.645
Daging Ayam Ras/Bali/2024-12-16,38975.195
Daging Ayam Ras/Bali/2024-12-17,38745.348
Daging Ayam Ras/Bali/2024-12-18,38616.97
Daging Ayam Ras/Bali/2024-12-19,38348.67
Daging Ayam Ras/Bali/2024-12-20,38760.133
Daging Ayam Ras/Bali/2024-12-21,38959.004
Daging Ayam Ras/Bali/2024-12-22,38972.37
Daging Ayam Ras/Bali/2024-12-23,38847.594
Daging Ayam Ras/Bali/2024-12-24,38811.824
Daging Ayam Ras/Bali/2024-12-25,38957.22
Daging Ayam Ras/Bali/2024-12-26,38811.387
Daging Ayam Ras/Bali/2024-12-27,38927.656
Daging Ayam Ras/Bali/2024-12-28,39091.945
Daging Ayam Ras/Bali/2024-12-29,38990.137
Daging Ayam Ras/Bali/2024-12-30,38094.934
Daging Ayam Ras/Bali/2024-12-31,38167.37
