id,price
Daging Ayam Ras/Kalimantan Tengah/2024-10-01,40906.945
Daging Ayam Ras/Kalimantan Tengah/2024-10-02,40618.64
Daging Ayam Ras/Kalimantan Tengah/2024-10-03,40509.86
Daging Ayam Ras/Kalimantan Tengah/2024-10-04,40457.348
Daging Ayam Ras/Kalimantan Tengah/2024-10-05,40432.47
Daging Ayam Ras/Kalimantan Tengah/2024-10-06,40661.17
Daging Ayam Ras/Kalimantan Tengah/2024-10-07,40751.92
Daging Ayam Ras/Kalimantan Tengah/2024-10-08,40906.633
Daging Ayam Ras/Kalimantan Tengah/2024-10-09,41635.895
Daging Ayam Ras/Kalimantan Tengah/2024-10-10,42090.637
Daging Ayam Ras/Kalimantan Tengah/2024-10-11,42601.445
Daging Ayam Ras/Kalimantan Tengah/2024-10-12,43865.062
Daging Ayam Ras/Kalimantan Tengah/2024-10-13,43816.188
Daging Ayam Ras/Kalimantan Tengah/2024-10-14,44414.348
Daging Ayam Ras/Kalimantan Tengah/2024-10-15,44877.29
Daging Ayam Ras/Kalimantan Tengah/2024-10-16,44654.402
Daging Ayam Ras/Kalimantan Tengah/2024-10-17,44374.473
Daging Ayam Ras/Kalimantan Tengah/2024-10-18,43906.77
Daging Ayam Ras/Kalimantan Tengah/2024-10-19,44638.8
Daging Ayam Ras/Kalimantan Tengah/2024-10-20,44589.53
Daging Ayam Ras/Kalimantan Tengah/2024-10-21,45017.04
Daging Ayam Ras/Kalimantan Tengah/2024-10-22,45011.895
Daging Ayam Ras/Kalimantan Tengah/2024-10-23,44682.426
Daging Ayam Ras/Kalimantan Tengah/2024-10-24,44461.957
Daging Ayam Ras/Kalimantan Tengah/2024-10-25,43844.62
Daging Ayam Ras/Kalimantan Tengah/2024-10-26,44481.02
Daging Ayam Ras/Kalimantan Tengah/2024-10-27,44437.445
Daging Ayam Ras/Kalimantan Tengah/2024-10-28,44535.027
Daging Ayam Ras/Kalimantan Tengah/2024-10-29,43943.996
Daging Ayam Ras/Kalimantan Tengah/2024-10-30,43658.04
Daging Ayam Ras/Kalimantan Tengah/2024-10-31,43521.94
Daging Ayam Ras/Kalimantan Tengah/2024-11-01,40265.168
Daging Ayam Ras/Kalimantan Tengah/2024-11-02,40292.266
Daging Ayam Ras/Kalimantan Tengah/2024-11-03,40325.305
Daging Ayam Ras/Kalimantan Tengah/2024-11-04,40019.26
Daging Ayam Ras/Kalimantan Tengah/2024-11-05,40094.297
Daging Ayam Ras/Kalimantan Tengah/2024-11-06,40096.242
Daging Ayam Ras/Kalimantan Tengah/2024-11-07,40166.637
Daging Ayam Ras/Kalimantan Tengah/2024-11-08,40275.613
Daging Ayam Ras/Kalimantan Tengah/2024-11-09,40363.637
Daging Ayam Ras/Kalimantan Tengah/2024-11-10,40383.38
Daging Ayam Ras/Kalimantan Tengah/2024-11-11,40631.496
Daging Ayam Ras/Kalimantan Tengah/2024-11-12,40598.176
Daging Ayam Ras/Kalimantan Tengah/2024-11-13,40345.742
Daging Ayam Ras/Kalimantan Tengah/2024-11-14,40372.05
Daging Ayam Ras/Kalimantan Tengah/2024-11-15,39777.125
Daging Ayam Ras/Kalimantan Tengah/2024-11-16,39853.95
Daging Ayam Ras/Kalimantan Tengah/2024-11-17,39471.895
Daging Ayam Ras/Kalimantan Tengah/2024-11-18,39917.78
Daging Ayam Ras/Kalimantan Tengah/2024-11-19,39765.043
Daging Ayam Ras/Kalimantan Tengah/2024-11-20,39608.875
Daging Ayam Ras/Kalimantan Tengah/2024-11-21,39522.863
Daging Ayam Ras/Kalimantan Tengah/2024-11-22,39405.465
Daging Ayam Ras/Kalimantan Tengah/2024-11-23,39568.426
Daging Ayam Ras/Kalimantan Tengah/2024-11-24,39530.29
Daging Ayam Ras/Kalimantan Tengah/2024-11-25,39533.48
Daging Ayam Ras/Kalimantan Tengah/2024-11-26,39512.777
Daging Ayam Ras/Kalimantan Tengah/2024-11-27,39462.47
Daging Ayam Ras/Kalimantan Tengah/2024-11-28,39471.875
Daging Ayam Ras/Kalimantan Tengah/2024-11-29,39490.363
Daging Ayam Ras/Kalimantan Tengah/2024-11-30,39512.547
Daging Ayam Ras/Kalimantan Tengah/2024-12-01,40351.92
Daging Ayam Ras/Kalimantan Tengah/2024-12-02,40272.293
Daging Ayam Ras/Kalimantan Tengah/2024-12-03,40299.03
Daging Ayam Ras/Kalimantan Tengah/2024-12-04,40205.79
Daging Ayam Ras/Kalimantan Tengah/2024-12-05,40265.348
Daging Ayam Ras/Kalimantan Tengah/2024-12-06,40329.77
Daging Ayam Ras/Kalimantan Tengah/2024-12-07,40443.227
Daging Ayam Ras/Kalimantan Tengah/2024-12-08,40451.85
Daging Ayam Ras/Kalimantan Tengah/2024-12-09,43561.816
Daging Ayam Ras/Kalimantan Tengah/2024-12-10,43573.742
Daging Ayam Ras/Kalimantan Tengah/2024-12-11,43089.812
Daging Ayam Ras/Kalimantan Tengah/2024-12-12,42649.07
Daging Ayam Ras/Kalimantan Tengah/2024-12-13,42734.066
Daging Ayam Ras/Kalimantan Tengah/2024-12-14,42935.695
Daging Ayam Ras/Kalimantan Tengah/2024-12-15,42444.13
Daging Ayam Ras/Kalimantan Tengah/2024-12-16,43861.56
Daging Ayam Ras/Kalimantan Tengah/2024-12-17,43801.188
Daging Ayam Ras/Kalimantan Tengah/2024-12-18,43413.867
Daging Ayam Ras/Kalimantan Tengah/2024-12-19,43188.01
Daging Ayam Ras/Kalimantan Tengah/2024-12-20,43109.46
Daging Ayam Ras/Kalimantan Tengah/2024-12-21,43455.465
Daging Ayam Ras/Kalimantan Tengah/2024-12-22,43444.035
Daging Ayam Ras/Kalimantan Tengah/2024-12-23,45535.97
Daging Ayam Ras/Kalimantan Tengah/2024-12-24,45376.96
Daging Ayam Ras/Kalimantan Tengah/2024-12-25,44978.05
Daging Ayam Ras/Kalimantan Tengah/2024-12-26,44378.992
Daging Ayam Ras/Kalimantan Tengah/2024-12-27,44372.285
Daging Ayam Ras/Kalimantan Tengah/2024-12-28,44513.31
Daging Ayam Ras/Kalimantan Tengah/2024-12-29,44565.49
Daging Ayam Ras/Kalimantan Tengah/2024-12-30,48207.863
Daging Ayam Ras/Kalimantan Tengah/2024-12-31,48107.88
