id,price
Daging Ayam Ras/Sulawesi Selatan/2024-10-01,26134.906
Daging Ayam Ras/Sulawesi Selatan/2024-10-02,26141.725
Daging Ayam Ras/Sulawesi Selatan/2024-10-03,25826.355
Daging Ayam Ras/Sulawesi Selatan/2024-10-04,25730.174
Daging Ayam Ras/Sulawesi Selatan/2024-10-05,25757.709
Daging Ayam Ras/Sulawesi Selatan/2024-10-06,25693.496
Daging Ayam Ras/Sulawesi Selatan/2024-10-07,25951.988
Daging Ayam Ras/Sulawesi Selatan/2024-10-08,26487.846
Daging Ayam Ras/Sulawesi Selatan/2024-10-09,25938.346
Daging Ayam Ras/Sulawesi Selatan/2024-10-10,25796.727
Daging Ayam Ras/Sulawesi Selatan/2024-10-11,25787.295
Daging Ayam Ras/Sulawesi Selatan/2024-10-12,25958.467
Daging Ayam Ras/Sulawesi Selatan/2024-10-13,25977.287
Daging Ayam Ras/Sulawesi Selatan/2024-10-14,26018.217
Daging Ayam Ras/Sulawesi Selatan/2024-10-15,26100.281
Daging Ayam Ras/Sulawesi Selatan/2024-10-16,26070.639
Daging Ayam Ras/Sulawesi Selatan/2024-10-17,25984.734
Daging Ayam Ras/Sulawesi Selatan/2024-10-18,26151.94
Daging Ayam Ras/Sulawesi Selatan/2024-10-19,26228.861
Daging Ayam Ras/Sulawesi Selatan/2024-10-20,26251.537
Daging Ayam Ras/Sulawesi Selatan/2024-10-21,26423.635
Daging Ayam Ras/Sulawesi Selatan/2024-10-22,26381.83
Daging Ayam Ras/Sulawesi Selatan/2024-10-23,26365.459
Daging Ayam Ras/Sulawesi Selatan/2024-10-24,26518.39
Daging Ayam Ras/Sulawesi Selatan/2024-10-25,26594.412
Daging Ayam Ras/Sulawesi Selatan/2024-10-26,26561.293
Daging Ayam Ras/Sulawesi Selatan/2024-10-27,26564.838
Daging Ayam Ras/Sulawesi Selatan/2024-10-28,26531.908
Daging Ayam Ras/Sulawesi Selatan/2024-10-29,26331.639
Daging Ayam Ras/Sulawesi Selatan/2024-10-30,26163.307
Daging Ayam Ras/Sulawesi Selatan/2024-10-31,26269.959
Daging Ayam Ras/Sulawesi Selatan/2024-11-01,26069.816
Daging Ayam Ras/Sulawesi Selatan/2024-11-02,26039.904
Daging Ayam Ras/Sulawesi Selatan/2024-11-03,26152.953
Daging Ayam Ras/Sulawesi Selatan/2024-11-04,26048.305
Daging Ayam Ras/Sulawesi Selatan/2024-11-05,26042.975
Daging Ayam Ras/Sulawesi Selatan/2024-11-06,26215.873
Daging Ayam Ras/Sulawesi Selatan/2024-11-07,26179.402
Daging Ayam Ras/Sulawesi Selatan/2024-11-08,26490.371
Daging Ayam Ras/Sulawesi Selatan/2024-11-09,26458.682
Daging Ayam Ras/Sulawesi Selatan/2024-11-10,26436.05
Daging Ayam Ras/Sulawesi Selatan/2024-11-11,26433.195
Daging Ayam Ras/Sulawesi Selatan/2024-11-12,26487.56
Daging Ayam Ras/Sulawesi Selatan/2024-11-13,26445.783
Daging Ayam Ras/Sulawesi Selatan/2024-11-14,26542.312
Daging Ayam Ras/Sulawesi Selatan/2024-11-15,26579.39
Daging Ayam Ras/Sulawesi Selatan/2024-11-16,26774.496
Daging Ayam Ras/Sulawesi Selatan/2024-11-17,26852.262
Daging Ayam Ras/Sulawesi Selatan/2024-11-18,26664.049
Daging Ayam Ras/Sulawesi Selatan/2024-11-19,26761.262
Daging Ayam Ras/Sulawesi Selatan/2024-11-20,26811.14
Daging Ayam Ras/Sulawesi Selatan/2024-11-21,26919.006
Daging Ayam Ras/Sulawesi Selatan/2024-11-22,26859.512
Daging Ayam Ras/Sulawesi Selatan/2024-11-23,26938.457
Daging Ayam Ras/Sulawesi Selatan/2024-11-24,27065.975
