id,price
Daging Sapi Murni/Bali/2024-10-01,114485.27
Daging Sapi Murni/Bali/2024-10-02,114571.664
Daging Sapi Murni/Bali/2024-10-03,114512.85
Daging Sapi Murni/Bali/2024-10-04,114408.305
Daging Sapi Murni/Bali/2024-10-05,114389.55
Daging Sapi Murni/Bali/2024-10-06,114414.766
Daging Sapi Murni/Bali/2024-10-07,114467.484
Daging Sapi Murni/Bali/2024-10-08,114424.09
Daging Sapi Murni/Bali/2024-10-09,114418.15
Daging Sapi Murni/Bali/2024-10-10,114415.26
Daging Sapi Murni/Bali/2024-10-11,114433.56
Daging Sapi Murni/Bali/2024-10-12,114468.73
Daging Sapi Murni/Bali/2024-10-13,114374.27
Daging Sapi Murni/Bali/2024-10-14,114322.71
Daging Sapi Murni/Bali/2024-10-15,114037.17
Daging Sapi Murni/Bali/2024-10-16,114065.375
Daging Sapi Murni/Bali/2024-10-17,114058.72
Daging Sapi Murni/Bali/2024-10-18,114058.72
Daging Sapi Murni/Bali/2024-10-19,114049.81
Daging Sapi Murni/Bali/2024-10-20,114037.17
Daging Sapi Murni/Bali/2024-10-21,114037.17
Daging Sapi Murni/Bali/2024-10-22,114046.766
Daging Sapi Murni/Bali/2024-10-23,114110.11
Daging Sapi Murni/Bali/2024-10-24,114096.555
Daging Sapi Murni/Bali/2024-10-25,114051.89
Daging Sapi Murni/Bali/2024-10-26,114042.984
Daging Sapi Murni/Bali/2024-10-27,114030.34
Daging Sapi Murni/Bali/2024-10-28,114092.98
Daging Sapi Murni/Bali/2024-10-29,114205.01
Daging Sapi Murni/Bali/2024-10-30,114321.555
Daging Sapi Murni/Bali/2024-10-31,114246.125
Daging Sapi Murni/Bali/2024-11-01,114515.664
Daging Sapi Murni/Bali/2024-11-02,114592.72
Daging Sapi Murni/Bali/2024-11-03,114549.555
Daging Sapi Murni/Bali/2024-11-04,114483.25
Daging Sapi Murni/Bali/2024-11-05,114358.195
Daging Sapi Murni/Bali/2024-11-06,114342.31
Daging Sapi Murni/Bali/2024-11-07,114454.65
Daging Sapi Murni/Bali/2024-11-08,114456.19
Daging Sapi Murni/Bali/2024-11-09,114476.07
Daging Sapi Murni/Bali/2024-11-10,114477.18
Daging Sapi Murni/Bali/2024-11-11,114459.96
Daging Sapi Murni/Bali/2024-11-12,114388.83
Daging Sapi Murni/Bali/2024-11-13,114328.99
Daging Sapi Murni/Bali/2024-11-14,114339.68
Daging Sapi Murni/Bali/2024-11-15,114058.72
Daging Sapi Murni/Bali/2024-11-16,114049.81
Daging Sapi Murni/Bali/2024-11-17,114037.17
Daging Sapi Murni/Bali/2024-11-18,114475.67
Daging Sapi Murni/Bali/2024-11-19,114154.91
Daging Sapi Murni/Bali/2024-11-20,114217.914
Daging Sapi Murni/Bali/2024-11-21,114402.06
Daging Sapi Murni/Bali/2024-11-22,114261.2
Daging Sapi Murni/Bali/2024-11-23,114216.555
Daging Sapi Murni/Bali/2024-11-24,114168.77
Daging Sapi Murni/Bali/2024-11-25,114543.086
Daging Sapi Murni/Bali/2024-11-26,114225.86
Daging Sapi Murni/Bali/2024-11-27,114304.21
Daging Sapi Murni/Bali/2024-11-28,114393.08
Daging Sapi Murni/Bali/2024-11-29,114331.73
Daging Sapi Murni/Bali/2024-11-30,114218.07
Daging Sapi Murni/Bali/2024-12-01,114828.95
Daging Sapi Murni/Bali/2024-12-02,115061.836
Daging Sapi Murni/Bali/2024-12-03,114729.79
Daging Sapi Murni/Bali/2024-12-04,114642.38
Daging Sapi Murni/Bali/2024-12-05,114671.79
Daging Sapi Murni/Bali/2024-12-06,114786.914
Daging Sapi Murni/Bali/2024-12-07,114792.11
Daging Sapi Murni/Bali/2024-12-08,114849.06
Daging Sapi Murni/Bali/2024-12-09,114838.7
Daging Sapi Murni/Bali/2024-12-10,114612.625
Daging Sapi Murni/Bali/2024-12-11,114396.43
Daging Sapi Murni/Bali/2024-12-12,114334.8
Daging Sapi Murni/Bali/2024-12-13,114868.44
Daging Sapi Murni/Bali/2024-12-14,114906.766
Daging Sapi Murni/Bali/2024-12-15,114684.57
Daging Sapi Murni/Bali/2024-12-16,114665.29
Daging Sapi Murni/Bali/2024-12-17,114291.78
Daging Sapi Murni/Bali/2024-12-18,114234.87
Daging Sapi Murni/Bali/2024-12-19,114147.18
Daging Sapi Murni/Bali/2024-12-20,114278.016
Daging Sapi Murni/Bali/2024-12-21,114595.164
Daging Sapi Murni/Bali/2024-12-22,114545.83
Daging Sapi Murni/Bali/2024-12-23,114921.734
Daging Sapi Murni/Bali/2024-12-24,114393.2
Daging Sapi Murni/Bali/2024-12-25,114405.44
Daging Sapi Murni/Bali/2024-12-26,114466.266
Daging Sapi Murni/Bali/2024-12-27,114502.484
Daging Sapi Murni/Bali/2024-12-28,114702.74
Daging Sapi Murni/Bali/2024-12-29,114653.41
Daging Sapi Murni/Bali/2024-12-30,118102.22
Daging Sapi Murni/Bali/2024-12-31,118102.22
