id,price
Daging Sapi Murni/Banten/2024-10-01,133700.6
Daging Sapi Murni/Banten/2024-10-02,133624.97
Daging Sapi Murni/Banten/2024-10-03,133639.34
Daging Sapi Murni/Banten/2024-10-04,133995.48
Daging Sapi Murni/Banten/2024-10-05,133160.95
Daging Sapi Murni/Banten/2024-10-06,133803.48
Daging Sapi Murni/Banten/2024-10-07,132898.72
Daging Sapi Murni/Banten/2024-10-08,133298.77
Daging Sapi Murni/Banten/2024-10-09,132910.12
Daging Sapi Murni/Banten/2024-10-10,132978.48
Daging Sapi Murni/Banten/2024-10-11,132851.45
Daging Sapi Murni/Banten/2024-10-12,132414.92
Daging Sapi Murni/Banten/2024-10-13,132776.52
Daging Sapi Murni/Banten/2024-10-14,133005.25
Daging Sapi Murni/Banten/2024-10-15,133110.61
Daging Sapi Murni/Banten/2024-10-16,132895.62
Daging Sapi Murni/Banten/2024-10-17,133183.17
Daging Sapi Murni/Banten/2024-10-18,133296.67
Daging Sapi Murni/Banten/2024-10-19,132446.05
Daging Sapi Murni/Banten/2024-10-20,132613.47
Daging Sapi Murni/Banten/2024-10-21,132579.23
Daging Sapi Murni/Banten/2024-10-22,132579.23
Daging Sapi Murni/Banten/2024-10-23,132742.22
Daging Sapi Murni/Banten/2024-10-24,132761.05
Daging Sapi Murni/Banten/2024-10-25,132819.77
Daging Sapi Murni/Banten/2024-10-26,132687.05
Daging Sapi Murni/Banten/2024-10-27,132711.14
Daging Sapi Murni/Banten/2024-10-28,132580.5
Daging Sapi Murni/Banten/2024-10-29,132533.69
Daging Sapi Murni/Banten/2024-10-30,132566.47
Daging Sapi Murni/Banten/2024-10-31,132742.58
Daging Sapi Murni/Banten/2024-11-01,134164.64
Daging Sapi Murni/Banten/2024-11-02,133164.0
Daging Sapi Murni/Banten/2024-11-03,133117.23
Daging Sapi Murni/Banten/2024-11-04,133318.97
Daging Sapi Murni/Banten/2024-11-05,133433.77
Daging Sapi Murni/Banten/2024-11-06,133889.69
Daging Sapi Murni/Banten/2024-11-07,133164.58
Daging Sapi Murni/Banten/2024-11-08,133316.98
Daging Sapi Murni/Banten/2024-11-09,132257.9
Daging Sapi Murni/Banten/2024-11-10,132560.16
Daging Sapi Murni/Banten/2024-11-11,132591.28
Daging Sapi Murni/Banten/2024-11-12,132901.05
Daging Sapi Murni/Banten/2024-11-13,132686.06
Daging Sapi Murni/Banten/2024-11-14,133183.17
Daging Sapi Murni/Banten/2024-11-15,133296.67
Daging Sapi Murni/Banten/2024-11-16,132696.44
Daging Sapi Murni/Banten/2024-11-17,132880.72
Daging Sapi Murni/Banten/2024-11-18,132901.05
Daging Sapi Murni/Banten/2024-11-19,133132.08
Daging Sapi Murni/Banten/2024-11-20,132584.94
Daging Sapi Murni/Banten/2024-11-21,132797.1
Daging Sapi Murni/Banten/2024-11-22,132797.1
Daging Sapi Murni/Banten/2024-11-23,132656.66
Daging Sapi Murni/Banten/2024-11-24,132594.84
Daging Sapi Murni/Banten/2024-11-25,132581.05
Daging Sapi Murni/Banten/2024-11-26,132617.05
Daging Sapi Murni/Banten/2024-11-27,132613.6
Daging Sapi Murni/Banten/2024-11-28,132751.55
Daging Sapi Murni/Banten/2024-11-29,132751.55
Daging Sapi Murni/Banten/2024-11-30,132628.34
Daging Sapi Murni/Banten/2024-12-01,133864.33
Daging Sapi Murni/Banten/2024-12-02,133521.19
Daging Sapi Murni/Banten/2024-12-03,132921.7
Daging Sapi Murni/Banten/2024-12-04,133410.97
Daging Sapi Murni/Banten/2024-12-05,134151.39
Daging Sapi Murni/Banten/2024-12-06,134487.45
Daging Sapi Murni/Banten/2024-12-07,132257.9
Daging Sapi Murni/Banten/2024-12-08,133260.38
Daging Sapi Murni/Banten/2024-12-09,132898.72
Daging Sapi Murni/Banten/2024-12-10,132718.31
Daging Sapi Murni/Banten/2024-12-11,132596.97
Daging Sapi Murni/Banten/2024-12-12,132940.55
Daging Sapi Murni/Banten/2024-12-13,133054.05
Daging Sapi Murni/Banten/2024-12-14,132591.08
Daging Sapi Murni/Banten/2024-12-15,132986.08
Daging Sapi Murni/Banten/2024-12-16,133110.61
Daging Sapi Murni/Banten/2024-12-17,133005.25
Daging Sapi Murni/Banten/2024-12-18,132686.06
Daging Sapi Murni/Banten/2024-12-19,133634.86
Daging Sapi Murni/Banten/2024-12-20,132797.1
Daging Sapi Murni/Banten/2024-12-21,132257.9
Daging Sapi Murni/Banten/2024-12-22,132433.12
Daging Sapi Murni/Banten/2024-12-23,132736.53
Daging Sapi Murni/Banten/2024-12-24,132543.19
Daging Sapi Murni/Banten/2024-12-25,132642.47
Daging Sapi Murni/Banten/2024-12-26,132818.58
Daging Sapi Murni/Banten/2024-12-27,132770.03
Daging Sapi Murni/Banten/2024-12-28,132637.31
Daging Sapi Murni/Banten/2024-12-29,132711.14
Daging Sapi Murni/Banten/2024-12-30,136231.64
Daging Sapi Murni/Banten/2024-12-31,136180.17
