id,price
Daging Sapi Murni/Jawa Timur/2024-10-01,117490.75
Daging Sapi Murni/Jawa Timur/2024-10-02,117509.39
Daging Sapi Murni/Jawa Timur/2024-10-03,117509.39
Daging Sapi Murni/Jawa Timur/2024-10-04,117770.625
Daging Sapi Murni/Jawa Timur/2024-10-05,117875.4
Daging Sapi Murni/Jawa Timur/2024-10-06,117638.516
Daging Sapi Murni/Jawa Timur/2024-10-07,117802.42
Daging Sapi Murni/Jawa Timur/2024-10-08,117609.14
Daging Sapi Murni/Jawa Timur/2024-10-09,117586.39
Daging Sapi Murni/Jawa Timur/2024-10-10,117544.78
Daging Sapi Murni/Jawa Timur/2024-10-11,117755.83
Daging Sapi Murni/Jawa Timur/2024-10-12,118367.016
Daging Sapi Murni/Jawa Timur/2024-10-13,117652.61
Daging Sapi Murni/Jawa Timur/2024-10-14,117893.8
Daging Sapi Murni/Jawa Timur/2024-10-15,117526.8
Daging Sapi Murni/Jawa Timur/2024-10-16,117582.19
Daging Sapi Murni/Jawa Timur/2024-10-17,117755.92
Daging Sapi Murni/Jawa Timur/2024-10-18,117797.84
Daging Sapi Murni/Jawa Timur/2024-10-19,118367.016
Daging Sapi Murni/Jawa Timur/2024-10-20,117678.7
Daging Sapi Murni/Jawa Timur/2024-10-21,117914.25
Daging Sapi Murni/Jawa Timur/2024-10-22,117720.984
Daging Sapi Murni/Jawa Timur/2024-10-23,117696.17
Daging Sapi Murni/Jawa Timur/2024-10-24,117643.92
Daging Sapi Murni/Jawa Timur/2024-10-25,117995.61
Daging Sapi Murni/Jawa Timur/2024-10-26,117644.46
Daging Sapi Murni/Jawa Timur/2024-10-27,117858.09
Daging Sapi Murni/Jawa Timur/2024-10-28,117995.61
Daging Sapi Murni/Jawa Timur/2024-10-29,117898.3
Daging Sapi Murni/Jawa Timur/2024-10-30,117953.69
Daging Sapi Murni/Jawa Timur/2024-10-31,117953.69
Daging Sapi Murni/Jawa Timur/2024-11-01,117588.08
Daging Sapi Murni/Jawa Timur/2024-11-02,117708.42
Daging Sapi Murni/Jawa Timur/2024-11-03,117483.375
Daging Sapi Murni/Jawa Timur/2024-11-04,117906.05
Daging Sapi Murni/Jawa Timur/2024-11-05,117712.78
Daging Sapi Murni/Jawa Timur/2024-11-06,117625.06
Daging Sapi Murni/Jawa Timur/2024-11-07,117625.06
Daging Sapi Murni/Jawa Timur/2024-11-08,117666.984
Daging Sapi Murni/Jawa Timur/2024-11-09,118068.1
Daging Sapi Murni/Jawa Timur/2024-11-10,117483.5
Daging Sapi Murni/Jawa Timur/2024-11-11,117851.78
Daging Sapi Murni/Jawa Timur/2024-11-12,117668.3
Daging Sapi Murni/Jawa Timur/2024-11-13,117723.69
Daging Sapi Murni/Jawa Timur/2024-11-14,117755.92
Daging Sapi Murni/Jawa Timur/2024-11-15,117624.11
Daging Sapi Murni/Jawa Timur/2024-11-16,118250.914
Daging Sapi Murni/Jawa Timur/2024-11-17,117729.89
Daging Sapi Murni/Jawa Timur/2024-11-18,117893.8
Daging Sapi Murni/Jawa Timur/2024-11-19,117700.53
Daging Sapi Murni/Jawa Timur/2024-11-20,117704.734
Daging Sapi Murni/Jawa Timur/2024-11-21,117776.375
Daging Sapi Murni/Jawa Timur/2024-11-22,117818.3
Daging Sapi Murni/Jawa Timur/2024-11-23,118078.4
Daging Sapi Murni/Jawa Timur/2024-11-24,117617.91
Daging Sapi Murni/Jawa Timur/2024-11-25,117995.61
Daging Sapi Murni/Jawa Timur/2024-11-26,117898.3
Daging Sapi Murni/Jawa Timur/2024-11-27,117953.69
Daging Sapi Murni/Jawa Timur/2024-11-28,117953.69
Daging Sapi Murni/Jawa Timur/2024-11-29,117995.61
Daging Sapi Murni/Jawa Timur/2024-11-30,117658.945
Daging Sapi Murni/Jawa Timur/2024-12-01,117520.125
Daging Sapi Murni/Jawa Timur/2024-12-02,117579.984
Daging Sapi Murni/Jawa Timur/2024-12-03,117454.0
Daging Sapi Murni/Jawa Timur/2024-12-04,117728.69
Daging Sapi Murni/Jawa Timur/2024-12-05,117728.69
Daging Sapi Murni/Jawa Timur/2024-12-06,117666.984
Daging Sapi Murni/Jawa Timur/2024-12-07,117576.484
Daging Sapi Murni/Jawa Timur/2024-12-08,117638.516
Daging Sapi Murni/Jawa Timur/2024-12-09,117709.33
Daging Sapi Murni/Jawa Timur/2024-12-10,117557.67
Daging Sapi Murni/Jawa Timur/2024-12-11,117755.5
Daging Sapi Murni/Jawa Timur/2024-12-12,117713.89
Daging Sapi Murni/Jawa Timur/2024-12-13,117755.83
Daging Sapi Murni/Jawa Timur/2024-12-14,118367.016
Daging Sapi Murni/Jawa Timur/2024-12-15,117556.16
Daging Sapi Murni/Jawa Timur/2024-12-16,117720.06
Daging Sapi Murni/Jawa Timur/2024-12-17,117700.53
Daging Sapi Murni/Jawa Timur/2024-12-18,117755.92
Daging Sapi Murni/Jawa Timur/2024-12-19,117755.92
Daging Sapi Murni/Jawa Timur/2024-12-20,117746.66
Daging Sapi Murni/Jawa Timur/2024-12-21,118047.02
Daging Sapi Murni/Jawa Timur/2024-12-22,117750.34
