id,price
Daging Sapi Murni/Kalimantan Timur/2024-10-01,155730.02
Daging Sapi Murni/Kalimantan Timur/2024-10-02,155829.73
Daging Sapi Murni/Kalimantan Timur/2024-10-03,154617.45
Daging Sapi Murni/Kalimantan Timur/2024-10-04,154607.44
Daging Sapi Murni/Kalimantan Timur/2024-10-05,156408.61
Daging Sapi Murni/Kalimantan Timur/2024-10-06,156447.34
Daging Sapi Murni/Kalimantan Timur/2024-10-07,156702.94
Daging Sapi Murni/Kalimantan Timur/2024-10-08,157059.55
Daging Sapi Murni/Kalimantan Timur/2024-10-09,156716.61
Daging Sapi Murni/Kalimantan Timur/2024-10-10,156423.2
Daging Sapi Murni/Kalimantan Timur/2024-10-11,156273.77
Daging Sapi Murni/Kalimantan Timur/2024-10-12,156425.2
Daging Sapi Murni/Kalimantan Timur/2024-10-13,156457.61
Daging Sapi Murni/Kalimantan Timur/2024-10-14,156329.53
Daging Sapi Murni/Kalimantan Timur/2024-10-15,156261.6
Daging Sapi Murni/Kalimantan Timur/2024-10-16,156291.55
Daging Sapi Murni/Kalimantan Timur/2024-10-17,156415.52
Daging Sapi Murni/Kalimantan Timur/2024-10-18,156462.47
Daging Sapi Murni/Kalimantan Timur/2024-10-19,156342.48
Daging Sapi Murni/Kalimantan Timur/2024-10-20,156402.27
Daging Sapi Murni/Kalimantan Timur/2024-10-21,156378.72
Daging Sapi Murni/Kalimantan Timur/2024-10-22,156259.7
Daging Sapi Murni/Kalimantan Timur/2024-10-23,156208.33
Daging Sapi Murni/Kalimantan Timur/2024-10-24,156372.3
Daging Sapi Murni/Kalimantan Timur/2024-10-25,156431.17
Daging Sapi Murni/Kalimantan Timur/2024-10-26,156453.17
Daging Sapi Murni/Kalimantan Timur/2024-10-27,156239.05
Daging Sapi Murni/Kalimantan Timur/2024-10-28,156451.73
Daging Sapi Murni/Kalimantan Timur/2024-10-29,156449.33
Daging Sapi Murni/Kalimantan Timur/2024-10-30,156532.78
Daging Sapi Murni/Kalimantan Timur/2024-10-31,156521.81
Daging Sapi Murni/Kalimantan Timur/2024-11-01,154492.02
Daging Sapi Murni/Kalimantan Timur/2024-11-02,154224.34
Daging Sapi Murni/Kalimantan Timur/2024-11-03,154373.55
Daging Sapi Murni/Kalimantan Timur/2024-11-04,156083.55
Daging Sapi Murni/Kalimantan Timur/2024-11-05,156757.11
Daging Sapi Murni/Kalimantan Timur/2024-11-06,156478.53
Daging Sapi Murni/Kalimantan Timur/2024-11-07,156798.52
Daging Sapi Murni/Kalimantan Timur/2024-11-08,156824.19
Daging Sapi Murni/Kalimantan Timur/2024-11-09,157067.34
Daging Sapi Murni/Kalimantan Timur/2024-11-10,156249.4
Daging Sapi Murni/Kalimantan Timur/2024-11-11,156797.73
Daging Sapi Murni/Kalimantan Timur/2024-11-12,156521.14
Daging Sapi Murni/Kalimantan Timur/2024-11-13,156440.31
Daging Sapi Murni/Kalimantan Timur/2024-11-14,156376.89
Daging Sapi Murni/Kalimantan Timur/2024-11-15,156405.39
Daging Sapi Murni/Kalimantan Timur/2024-11-16,156351.16
Daging Sapi Murni/Kalimantan Timur/2024-11-17,156401.58
Daging Sapi Murni/Kalimantan Timur/2024-11-18,156476.14
Daging Sapi Murni/Kalimantan Timur/2024-11-19,156477.48
Daging Sapi Murni/Kalimantan Timur/2024-11-20,156484.8
Daging Sapi Murni/Kalimantan Timur/2024-11-21,156430.06
Daging Sapi Murni/Kalimantan Timur/2024-11-22,156447.7
Daging Sapi Murni/Kalimantan Timur/2024-11-23,156205.06
Daging Sapi Murni/Kalimantan Timur/2024-11-24,156286.56
Daging Sapi Murni/Kalimantan Timur/2024-11-25,156434.95
Daging Sapi Murni/Kalimantan Timur/2024-11-26,156428.94
Daging Sapi Murni/Kalimantan Timur/2024-11-27,156457.03
Daging Sapi Murni/Kalimantan Timur/2024-11-28,156508.28
Daging Sapi Murni/Kalimantan Timur/2024-11-29,156348.61
Daging Sapi Murni/Kalimantan Timur/2024-11-30,156445.83
Daging Sapi Murni/Kalimantan Timur/2024-12-01,154279.62
Daging Sapi Murni/Kalimantan Timur/2024-12-02,156124.61
Daging Sapi Murni/Kalimantan Timur/2024-12-03,156049.69
Daging Sapi Murni/Kalimantan Timur/2024-12-04,156012.53
Daging Sapi Murni/Kalimantan Timur/2024-12-05,156802.23
Daging Sapi Murni/Kalimantan Timur/2024-12-06,156362.84
Daging Sapi Murni/Kalimantan Timur/2024-12-07,156895.05
Daging Sapi Murni/Kalimantan Timur/2024-12-08,157182.14
Daging Sapi Murni/Kalimantan Timur/2024-12-09,156672.73
Daging Sapi Murni/Kalimantan Timur/2024-12-10,156352.66
Daging Sapi Murni/Kalimantan Timur/2024-12-11,156392.1
Daging Sapi Murni/Kalimantan Timur/2024-12-12,156427.56
Daging Sapi Murni/Kalimantan Timur/2024-12-13,156269.75
Daging Sapi Murni/Kalimantan Timur/2024-12-14,156306.12
Daging Sapi Murni/Kalimantan Timur/2024-12-15,156382.98
Daging Sapi Murni/Kalimantan Timur/2024-12-16,156536.92
Daging Sapi Murni/Kalimantan Timur/2024-12-17,156430.73
Daging Sapi Murni/Kalimantan Timur/2024-12-18,156463.06
Daging Sapi Murni/Kalimantan Timur/2024-12-19,156382.89
Daging Sapi Murni/Kalimantan Timur/2024-12-20,156262.1
Daging Sapi Murni/Kalimantan Timur/2024-12-21,156305.98
Daging Sapi Murni/Kalimantan Timur/2024-12-22,156429.69
Daging Sapi Murni/Kalimantan Timur/2024-12-23,156310.97
Daging Sapi Murni/Kalimantan Timur/2024-12-24,155997.55
Daging Sapi Murni/Kalimantan Timur/2024-12-25,156153.08
Daging Sapi Murni/Kalimantan Timur/2024-12-26,156101.81
Daging Sapi Murni/Kalimantan Timur/2024-12-27,155957.61
Daging Sapi Murni/Kalimantan Timur/2024-12-28,156225.25
Daging Sapi Murni/Kalimantan Timur/2024-12-29,156126.45
Daging Sapi Murni/Kalimantan Timur/2024-12-30,156156.75
Daging Sapi Murni/Kalimantan Timur/2024-12-31,155823.25
