id,price
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-01,114189.414
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-02,114453.766
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-03,114574.484
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-04,114515.82
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-05,114735.016
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-06,114885.625
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-07,114596.125
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-08,114605.01
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-09,112819.18
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-10,114987.625
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-11,114990.86
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-12,115219.25
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-13,115663.94
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-14,114374.43
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-15,114374.43
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-16,113827.055
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-17,114594.125
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-18,114844.266
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-19,114659.0
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-20,114910.49
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-21,114601.055
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-22,114307.54
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-23,114714.89
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-24,115108.69
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-25,114270.57
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-26,115169.56
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-27,114868.39
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-28,114364.984
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-29,114460.13
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-30,114203.38
Daging Sapi Murni/Nusa Tenggara Timur/2024-10-31,114590.766
Daging Sapi Murni/Nusa Tenggara Timur/2024-11-01,114164.53
