id,price
Daging Sapi Murni/Sumatera Barat/2024-10-01,144342.55
Daging Sapi Murni/Sumatera Barat/2024-10-02,144276.92
Daging Sapi Murni/Sumatera Barat/2024-10-03,144085.72
Daging Sapi Murni/Sumatera Barat/2024-10-04,144214.36
Daging Sapi Murni/Sumatera Barat/2024-10-05,143790.77
Daging Sapi Murni/Sumatera Barat/2024-10-06,144011.84
Daging Sapi Murni/Sumatera Barat/2024-10-07,143756.98
Daging Sapi Murni/Sumatera Barat/2024-10-08,144510.1
Daging Sapi Murni/Sumatera Barat/2024-10-09,144320.14
Daging Sapi Murni/Sumatera Barat/2024-10-10,144136.84
Daging Sapi Murni/Sumatera Barat/2024-10-11,144225.8
Daging Sapi Murni/Sumatera Barat/2024-10-12,144040.75
Daging Sapi Murni/Sumatera Barat/2024-10-13,144116.48
Daging Sapi Murni/Sumatera Barat/2024-10-14,143829.47
Daging Sapi Murni/Sumatera Barat/2024-10-15,143927.58
Daging Sapi Murni/Sumatera Barat/2024-10-16,143566.6
Daging Sapi Murni/Sumatera Barat/2024-10-17,143657.0
Daging Sapi Murni/Sumatera Barat/2024-10-18,143747.89
Daging Sapi Murni/Sumatera Barat/2024-10-19,143586.48
Daging Sapi Murni/Sumatera Barat/2024-10-20,144933.75
Daging Sapi Murni/Sumatera Barat/2024-10-21,143461.23
Daging Sapi Murni/Sumatera Barat/2024-10-22,143557.53
Daging Sapi Murni/Sumatera Barat/2024-10-23,143238.31
Daging Sapi Murni/Sumatera Barat/2024-10-24,143418.05
Daging Sapi Murni/Sumatera Barat/2024-10-25,143630.52
Daging Sapi Murni/Sumatera Barat/2024-10-26,143494.92
Daging Sapi Murni/Sumatera Barat/2024-10-27,144851.47
Daging Sapi Murni/Sumatera Barat/2024-10-28,143419.62
Daging Sapi Murni/Sumatera Barat/2024-10-29,143652.94
Daging Sapi Murni/Sumatera Barat/2024-10-30,143256.66
Daging Sapi Murni/Sumatera Barat/2024-10-31,143518.19
Daging Sapi Murni/Sumatera Barat/2024-11-01,143821.94
Daging Sapi Murni/Sumatera Barat/2024-11-02,143253.56
Daging Sapi Murni/Sumatera Barat/2024-11-03,144808.72
Daging Sapi Murni/Sumatera Barat/2024-11-04,143473.75
Daging Sapi Murni/Sumatera Barat/2024-11-05,143326.1
Daging Sapi Murni/Sumatera Barat/2024-11-06,143355.44
Daging Sapi Murni/Sumatera Barat/2024-11-07,142872.53
Daging Sapi Murni/Sumatera Barat/2024-11-08,142967.52
Daging Sapi Murni/Sumatera Barat/2024-11-09,143477.53
Daging Sapi Murni/Sumatera Barat/2024-11-10,144622.12
Daging Sapi Murni/Sumatera Barat/2024-11-11,143329.45
Daging Sapi Murni/Sumatera Barat/2024-11-12,143436.61
Daging Sapi Murni/Sumatera Barat/2024-11-13,143165.0
Daging Sapi Murni/Sumatera Barat/2024-11-14,143292.23
Daging Sapi Murni/Sumatera Barat/2024-11-15,143527.42
Daging Sapi Murni/Sumatera Barat/2024-11-16,143493.34
Daging Sapi Murni/Sumatera Barat/2024-11-17,144631.3
Daging Sapi Murni/Sumatera Barat/2024-11-18,143435.05
Daging Sapi Murni/Sumatera Barat/2024-11-19,143629.53
Daging Sapi Murni/Sumatera Barat/2024-11-20,143308.55
Daging Sapi Murni/Sumatera Barat/2024-11-21,143602.97
Daging Sapi Murni/Sumatera Barat/2024-11-22,143666.1
Daging Sapi Murni/Sumatera Barat/2024-11-23,143261.05
Daging Sapi Murni/Sumatera Barat/2024-11-24,144744.56
Daging Sapi Murni/Sumatera Barat/2024-11-25,143785.58
Daging Sapi Murni/Sumatera Barat/2024-11-26,143541.0
Daging Sapi Murni/Sumatera Barat/2024-11-27,143569.5
Daging Sapi Murni/Sumatera Barat/2024-11-28,143320.64
Daging Sapi Murni/Sumatera Barat/2024-11-29,143451.55
Daging Sapi Murni/Sumatera Barat/2024-11-30,143478.67
Daging Sapi Murni/Sumatera Barat/2024-12-01,144765.16
Daging Sapi Murni/Sumatera Barat/2024-12-02,143607.03
Daging Sapi Murni/Sumatera Barat/2024-12-03,143531.9
