id,price
Gula Konsumsi/Nusa Tenggara Barat/2024-10-01,17687.492
Gula Konsumsi/Nusa Tenggara Barat/2024-10-02,17706.785
Gula Konsumsi/Nusa Tenggara Barat/2024-10-03,17673.352
Gula Konsumsi/Nusa Tenggara Barat/2024-10-04,17673.352
Gula Konsumsi/Nusa Tenggara Barat/2024-10-05,17720.77
Gula Konsumsi/Nusa Tenggara Barat/2024-10-06,17720.77
Gula Konsumsi/Nusa Tenggara Barat/2024-10-07,17709.422
Gula Konsumsi/Nusa Tenggara Barat/2024-10-08,17704.242
Gula Konsumsi/Nusa Tenggara Barat/2024-10-09,17709.217
Gula Konsumsi/Nusa Tenggara Barat/2024-10-10,17674.037
Gula Konsumsi/Nusa Tenggara Barat/2024-10-11,17674.037
Gula Konsumsi/Nusa Tenggara Barat/2024-10-12,17721.455
Gula Konsumsi/Nusa Tenggara Barat/2024-10-13,17721.455
Gula Konsumsi/Nusa Tenggara Barat/2024-10-14,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-10-15,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-10-16,17706.785
Gula Konsumsi/Nusa Tenggara Barat/2024-10-17,17671.436
Gula Konsumsi/Nusa Tenggara Barat/2024-10-18,17670.209
Gula Konsumsi/Nusa Tenggara Barat/2024-10-19,17714.984
Gula Konsumsi/Nusa Tenggara Barat/2024-10-20,17714.984
Gula Konsumsi/Nusa Tenggara Barat/2024-10-21,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-10-22,17476.934
Gula Konsumsi/Nusa Tenggara Barat/2024-10-23,17672.96
Gula Konsumsi/Nusa Tenggara Barat/2024-10-24,17549.809
Gula Konsumsi/Nusa Tenggara Barat/2024-10-25,17647.654
Gula Konsumsi/Nusa Tenggara Barat/2024-10-26,17691.51
Gula Konsumsi/Nusa Tenggara Barat/2024-10-27,17684.562
Gula Konsumsi/Nusa Tenggara Barat/2024-10-28,17695.715
Gula Konsumsi/Nusa Tenggara Barat/2024-10-29,17695.715
Gula Konsumsi/Nusa Tenggara Barat/2024-10-30,17695.512
Gula Konsumsi/Nusa Tenggara Barat/2024-10-31,17650.826
Gula Konsumsi/Nusa Tenggara Barat/2024-11-01,17658.777
Gula Konsumsi/Nusa Tenggara Barat/2024-11-02,17720.77
Gula Konsumsi/Nusa Tenggara Barat/2024-11-03,17720.77
Gula Konsumsi/Nusa Tenggara Barat/2024-11-04,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-11-05,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-11-06,17709.217
Gula Konsumsi/Nusa Tenggara Barat/2024-11-07,17673.352
Gula Konsumsi/Nusa Tenggara Barat/2024-11-08,17668.172
Gula Konsumsi/Nusa Tenggara Barat/2024-11-09,17721.455
Gula Konsumsi/Nusa Tenggara Barat/2024-11-10,17721.455
Gula Konsumsi/Nusa Tenggara Barat/2024-11-11,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-11-12,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-11-13,17706.785
Gula Konsumsi/Nusa Tenggara Barat/2024-11-14,17674.037
Gula Konsumsi/Nusa Tenggara Barat/2024-11-15,17674.037
Gula Konsumsi/Nusa Tenggara Barat/2024-11-16,17714.984
Gula Konsumsi/Nusa Tenggara Barat/2024-11-17,17714.984
Gula Konsumsi/Nusa Tenggara Barat/2024-11-18,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-11-19,17706.988
Gula Konsumsi/Nusa Tenggara Barat/2024-11-20,17706.785
Gula Konsumsi/Nusa Tenggara Barat/2024-11-21,17671.436
Gula Konsumsi/Nusa Tenggara Barat/2024-11-22,17648.213
Gula Konsumsi/Nusa Tenggara Barat/2024-11-23,17701.172
Gula Konsumsi/Nusa Tenggara Barat/2024-11-24,17689.676
Gula Konsumsi/Nusa Tenggara Barat/2024-11-25,17692.816
