id,price
Gula Konsumsi/Sumatera Selatan/2024-10-01,17319.64
Gula Konsumsi/Sumatera Selatan/2024-10-02,17345.428
Gula Konsumsi/Sumatera Selatan/2024-10-03,17344.877
Gula Konsumsi/Sumatera Selatan/2024-10-04,17326.523
Gula Konsumsi/Sumatera Selatan/2024-10-05,17289.2
Gula Konsumsi/Sumatera Selatan/2024-10-06,17294.055
Gula Konsumsi/Sumatera Selatan/2024-10-07,17323.057
Gula Konsumsi/Sumatera Selatan/2024-10-08,17336.113
Gula Konsumsi/Sumatera Selatan/2024-10-09,17265.393
Gula Konsumsi/Sumatera Selatan/2024-10-10,17305.395
Gula Konsumsi/Sumatera Selatan/2024-10-11,17284.344
Gula Konsumsi/Sumatera Selatan/2024-10-12,17276.463
Gula Konsumsi/Sumatera Selatan/2024-10-13,17272.035
Gula Konsumsi/Sumatera Selatan/2024-10-14,17251.156
Gula Konsumsi/Sumatera Selatan/2024-10-15,17306.158
Gula Konsumsi/Sumatera Selatan/2024-10-16,17312.662
Gula Konsumsi/Sumatera Selatan/2024-10-17,17291.326
Gula Konsumsi/Sumatera Selatan/2024-10-18,17275.754
Gula Konsumsi/Sumatera Selatan/2024-10-19,17276.074
Gula Konsumsi/Sumatera Selatan/2024-10-20,17278.424
Gula Konsumsi/Sumatera Selatan/2024-10-21,17262.697
Gula Konsumsi/Sumatera Selatan/2024-10-22,17306.158
Gula Konsumsi/Sumatera Selatan/2024-10-23,17313.943
Gula Konsumsi/Sumatera Selatan/2024-10-24,17309.47
Gula Konsumsi/Sumatera Selatan/2024-10-25,17299.318
Gula Konsumsi/Sumatera Selatan/2024-10-26,17282.232
Gula Konsumsi/Sumatera Selatan/2024-10-27,17284.904
Gula Konsumsi/Sumatera Selatan/2024-10-28,17278.162
Gula Konsumsi/Sumatera Selatan/2024-10-29,17304.078
Gula Konsumsi/Sumatera Selatan/2024-10-30,17308.604
Gula Konsumsi/Sumatera Selatan/2024-10-31,17286.867
Gula Konsumsi/Sumatera Selatan/2024-11-01,17289.377
Gula Konsumsi/Sumatera Selatan/2024-11-02,17289.2
Gula Konsumsi/Sumatera Selatan/2024-11-03,17294.455
Gula Konsumsi/Sumatera Selatan/2024-11-04,17319.055
Gula Konsumsi/Sumatera Selatan/2024-11-05,17336.623
Gula Konsumsi/Sumatera Selatan/2024-11-06,17337.979
Gula Konsumsi/Sumatera Selatan/2024-11-07,17336.918
Gula Konsumsi/Sumatera Selatan/2024-11-08,17316.203
Gula Konsumsi/Sumatera Selatan/2024-11-09,17271.941
Gula Konsumsi/Sumatera Selatan/2024-11-10,17275.63
Gula Konsumsi/Sumatera Selatan/2024-11-11,17260.086
Gula Konsumsi/Sumatera Selatan/2024-11-12,17306.158
Gula Konsumsi/Sumatera Selatan/2024-11-13,17314.16
Gula Konsumsi/Sumatera Selatan/2024-11-14,17291.326
Gula Konsumsi/Sumatera Selatan/2024-11-15,17275.754
Gula Konsumsi/Sumatera Selatan/2024-11-16,17278.012
Gula Konsumsi/Sumatera Selatan/2024-11-17,17272.035
Gula Konsumsi/Sumatera Selatan/2024-11-18,17251.156
Gula Konsumsi/Sumatera Selatan/2024-11-19,17306.158
Gula Konsumsi/Sumatera Selatan/2024-11-20,17314.16
Gula Konsumsi/Sumatera Selatan/2024-11-21,17304.248
Gula Konsumsi/Sumatera Selatan/2024-11-22,17296.36
Gula Konsumsi/Sumatera Selatan/2024-11-23,17277.838
Gula Konsumsi/Sumatera Selatan/2024-11-24,17281.76
Gula Konsumsi/Sumatera Selatan/2024-11-25,17287.78
Gula Konsumsi/Sumatera Selatan/2024-11-26,17303.412
Gula Konsumsi/Sumatera Selatan/2024-11-27,17310.72
Gula Konsumsi/Sumatera Selatan/2024-11-28,17285.041
Gula Konsumsi/Sumatera Selatan/2024-11-29,17287.895
Gula Konsumsi/Sumatera Selatan/2024-11-30,17273.23
Gula Konsumsi/Sumatera Selatan/2024-12-01,17281.752
Gula Konsumsi/Sumatera Selatan/2024-12-02,17319.055
Gula Konsumsi/Sumatera Selatan/2024-12-03,17344.877
Gula Konsumsi/Sumatera Selatan/2024-12-04,17337.979
Gula Konsumsi/Sumatera Selatan/2024-12-05,17337.428
Gula Konsumsi/Sumatera Selatan/2024-12-06,17321.262
Gula Konsumsi/Sumatera Selatan/2024-12-07,17291.035
Gula Konsumsi/Sumatera Selatan/2024-12-08,17296.291
Gula Konsumsi/Sumatera Selatan/2024-12-09,17242.385
Gula Konsumsi/Sumatera Selatan/2024-12-10,17313.691
Gula Konsumsi/Sumatera Selatan/2024-12-11,17314.42
Gula Konsumsi/Sumatera Selatan/2024-12-12,17292.824
Gula Konsumsi/Sumatera Selatan/2024-12-13,17275.754
Gula Konsumsi/Sumatera Selatan/2024-12-14,17278.012
Gula Konsumsi/Sumatera Selatan/2024-12-15,17272.035
Gula Konsumsi/Sumatera Selatan/2024-12-16,17251.156
Gula Konsumsi/Sumatera Selatan/2024-12-17,17306.158
Gula Konsumsi/Sumatera Selatan/2024-12-18,17314.16
Gula Konsumsi/Sumatera Selatan/2024-12-19,17304.248
Gula Konsumsi/Sumatera Selatan/2024-12-20,17297.463
Gula Konsumsi/Sumatera Selatan/2024-12-21,17281.287
