id,price
Minyak Goreng Curah/Bali/2024-10-01,16122.582
Minyak Goreng Curah/Bali/2024-10-02,16094.004
Minyak Goreng Curah/Bali/2024-10-03,16055.168
Minyak Goreng Curah/Bali/2024-10-04,16070.294
Minyak Goreng Curah/Bali/2024-10-05,16085.084
Minyak Goreng Curah/Bali/2024-10-06,16103.185
Minyak Goreng Curah/Bali/2024-10-07,16093.327
Minyak Goreng Curah/Bali/2024-10-08,16172.248
Minyak Goreng Curah/Bali/2024-10-09,16128.557
Minyak Goreng Curah/Bali/2024-10-10,16073.5205
Minyak Goreng Curah/Bali/2024-10-11,16103.885
Minyak Goreng Curah/Bali/2024-10-12,16098.11
Minyak Goreng Curah/Bali/2024-10-13,16231.772
Minyak Goreng Curah/Bali/2024-10-14,16217.935
Minyak Goreng Curah/Bali/2024-10-15,16106.828
Minyak Goreng Curah/Bali/2024-10-16,16127.399
Minyak Goreng Curah/Bali/2024-10-17,16280.747
Minyak Goreng Curah/Bali/2024-10-18,16287.831
Minyak Goreng Curah/Bali/2024-10-19,16380.649
Minyak Goreng Curah/Bali/2024-10-20,16368.219
Minyak Goreng Curah/Bali/2024-10-21,16403.812
Minyak Goreng Curah/Bali/2024-10-22,16379.909
Minyak Goreng Curah/Bali/2024-10-23,16423.45
Minyak Goreng Curah/Bali/2024-10-24,16372.227
Minyak Goreng Curah/Bali/2024-10-25,16405.479
Minyak Goreng Curah/Bali/2024-10-26,16411.84
Minyak Goreng Curah/Bali/2024-10-27,16368.808
Minyak Goreng Curah/Bali/2024-10-28,16398.236
Minyak Goreng Curah/Bali/2024-10-29,16390.596
Minyak Goreng Curah/Bali/2024-10-30,16336.924
Minyak Goreng Curah/Bali/2024-10-31,16283.415
Minyak Goreng Curah/Bali/2024-11-01,16077.012
Minyak Goreng Curah/Bali/2024-11-02,16088.906
Minyak Goreng Curah/Bali/2024-11-03,16108.482
Minyak Goreng Curah/Bali/2024-11-04,16080.84
Minyak Goreng Curah/Bali/2024-11-05,16129.49
Minyak Goreng Curah/Bali/2024-11-06,16087.937
Minyak Goreng Curah/Bali/2024-11-07,16064.657
Minyak Goreng Curah/Bali/2024-11-08,16093.456
Minyak Goreng Curah/Bali/2024-11-09,16104.301
Minyak Goreng Curah/Bali/2024-11-10,16108.21
Minyak Goreng Curah/Bali/2024-11-11,16120.608
Minyak Goreng Curah/Bali/2024-11-12,16152.599
Minyak Goreng Curah/Bali/2024-11-13,16168.667
Minyak Goreng Curah/Bali/2024-11-14,16189.025
Minyak Goreng Curah/Bali/2024-11-15,16075.149
Minyak Goreng Curah/Bali/2024-11-16,16198.291
Minyak Goreng Curah/Bali/2024-11-17,16324.799
Minyak Goreng Curah/Bali/2024-11-18,16270.808
Minyak Goreng Curah/Bali/2024-11-19,16369.503
Minyak Goreng Curah/Bali/2024-11-20,16356.738
Minyak Goreng Curah/Bali/2024-11-21,16397.367
Minyak Goreng Curah/Bali/2024-11-22,16397.566
Minyak Goreng Curah/Bali/2024-11-23,16456.615
Minyak Goreng Curah/Bali/2024-11-24,16322.652
Minyak Goreng Curah/Bali/2024-11-25,16384.25
Minyak Goreng Curah/Bali/2024-11-26,16412.38
Minyak Goreng Curah/Bali/2024-11-27,16390.398
Minyak Goreng Curah/Bali/2024-11-28,16386.684
Minyak Goreng Curah/Bali/2024-11-29,16377.917
Minyak Goreng Curah/Bali/2024-11-30,16346.869
Minyak Goreng Curah/Bali/2024-12-01,16116.177
Minyak Goreng Curah/Bali/2024-12-02,15915.567
Minyak Goreng Curah/Bali/2024-12-03,16124.659
Minyak Goreng Curah/Bali/2024-12-04,16093.767
Minyak Goreng Curah/Bali/2024-12-05,16050.883
Minyak Goreng Curah/Bali/2024-12-06,16054.531
Minyak Goreng Curah/Bali/2024-12-07,16086.839
Minyak Goreng Curah/Bali/2024-12-08,16113.693
Minyak Goreng Curah/Bali/2024-12-09,16113.258
Minyak Goreng Curah/Bali/2024-12-10,16188.357
Minyak Goreng Curah/Bali/2024-12-11,16119.451
Minyak Goreng Curah/Bali/2024-12-12,16055.463
Minyak Goreng Curah/Bali/2024-12-13,16245.409
Minyak Goreng Curah/Bali/2024-12-14,16240.516
Minyak Goreng Curah/Bali/2024-12-15,16078.065
Minyak Goreng Curah/Bali/2024-12-16,16171.258
Minyak Goreng Curah/Bali/2024-12-17,16366.776
Minyak Goreng Curah/Bali/2024-12-18,16263.042
Minyak Goreng Curah/Bali/2024-12-19,16368.541
Minyak Goreng Curah/Bali/2024-12-20,16421.033
Minyak Goreng Curah/Bali/2024-12-21,16424.398
Minyak Goreng Curah/Bali/2024-12-22,16352.151
Minyak Goreng Curah/Bali/2024-12-23,16411.932
Minyak Goreng Curah/Bali/2024-12-24,16352.58
Minyak Goreng Curah/Bali/2024-12-25,16382.619
Minyak Goreng Curah/Bali/2024-12-26,16378.613
Minyak Goreng Curah/Bali/2024-12-27,16396.035
Minyak Goreng Curah/Bali/2024-12-28,16415.02
Minyak Goreng Curah/Bali/2024-12-29,16347.794
Minyak Goreng Curah/Bali/2024-12-30,15484.557
Minyak Goreng Curah/Bali/2024-12-31,15505.466
