id,price
Minyak Goreng Curah/Jawa Tengah/2024-10-01,16377.517
Minyak Goreng Curah/Jawa Tengah/2024-10-02,16386.72
Minyak Goreng Curah/Jawa Tengah/2024-10-03,16431.01
Minyak Goreng Curah/Jawa Tengah/2024-10-04,16414.182
Minyak Goreng Curah/Jawa Tengah/2024-10-05,16392.97
Minyak Goreng Curah/Jawa Tengah/2024-10-06,16433.684
Minyak Goreng Curah/Jawa Tengah/2024-10-07,16439.7
Minyak Goreng Curah/Jawa Tengah/2024-10-08,16435.5
Minyak Goreng Curah/Jawa Tengah/2024-10-09,16452.996
Minyak Goreng Curah/Jawa Tengah/2024-10-10,16421.469
Minyak Goreng Curah/Jawa Tengah/2024-10-11,16401.621
Minyak Goreng Curah/Jawa Tengah/2024-10-12,16394.371
Minyak Goreng Curah/Jawa Tengah/2024-10-13,16441.027
Minyak Goreng Curah/Jawa Tengah/2024-10-14,16384.906
Minyak Goreng Curah/Jawa Tengah/2024-10-15,16428.545
Minyak Goreng Curah/Jawa Tengah/2024-10-16,16427.996
Minyak Goreng Curah/Jawa Tengah/2024-10-17,16428.059
Minyak Goreng Curah/Jawa Tengah/2024-10-18,16476.672
Minyak Goreng Curah/Jawa Tengah/2024-10-19,16426.975
Minyak Goreng Curah/Jawa Tengah/2024-10-20,16494.988
Minyak Goreng Curah/Jawa Tengah/2024-10-21,16422.205
Minyak Goreng Curah/Jawa Tengah/2024-10-22,16467.1
Minyak Goreng Curah/Jawa Tengah/2024-10-23,16448.172
Minyak Goreng Curah/Jawa Tengah/2024-10-24,16395.02
Minyak Goreng Curah/Jawa Tengah/2024-10-25,16413.025
Minyak Goreng Curah/Jawa Tengah/2024-10-26,16389.07
Minyak Goreng Curah/Jawa Tengah/2024-10-27,16409.605
Minyak Goreng Curah/Jawa Tengah/2024-10-28,16330.014
Minyak Goreng Curah/Jawa Tengah/2024-10-29,16298.148
Minyak Goreng Curah/Jawa Tengah/2024-10-30,16318.973
Minyak Goreng Curah/Jawa Tengah/2024-10-31,16344.038
Minyak Goreng Curah/Jawa Tengah/2024-11-01,16392.871
Minyak Goreng Curah/Jawa Tengah/2024-11-02,16351.415
Minyak Goreng Curah/Jawa Tengah/2024-11-03,16430.25
Minyak Goreng Curah/Jawa Tengah/2024-11-04,16389.635
Minyak Goreng Curah/Jawa Tengah/2024-11-05,16376.03
Minyak Goreng Curah/Jawa Tengah/2024-11-06,16422.111
Minyak Goreng Curah/Jawa Tengah/2024-11-07,16425.025
Minyak Goreng Curah/Jawa Tengah/2024-11-08,16426.898
Minyak Goreng Curah/Jawa Tengah/2024-11-09,16425.168
Minyak Goreng Curah/Jawa Tengah/2024-11-10,16449.883
Minyak Goreng Curah/Jawa Tengah/2024-11-11,16376.485
Minyak Goreng Curah/Jawa Tengah/2024-11-12,16378.304
Minyak Goreng Curah/Jawa Tengah/2024-11-13,16414.414
Minyak Goreng Curah/Jawa Tengah/2024-11-14,16420.984
Minyak Goreng Curah/Jawa Tengah/2024-11-15,16440.848
Minyak Goreng Curah/Jawa Tengah/2024-11-16,16386.19
Minyak Goreng Curah/Jawa Tengah/2024-11-17,16452.23
Minyak Goreng Curah/Jawa Tengah/2024-11-18,16416.0
Minyak Goreng Curah/Jawa Tengah/2024-11-19,16485.783
Minyak Goreng Curah/Jawa Tengah/2024-11-20,16481.225
Minyak Goreng Curah/Jawa Tengah/2024-11-21,16481.016
Minyak Goreng Curah/Jawa Tengah/2024-11-22,16477.248
Minyak Goreng Curah/Jawa Tengah/2024-11-23,16416.307
Minyak Goreng Curah/Jawa Tengah/2024-11-24,16412.314
Minyak Goreng Curah/Jawa Tengah/2024-11-25,16392.672
Minyak Goreng Curah/Jawa Tengah/2024-11-26,16362.912
Minyak Goreng Curah/Jawa Tengah/2024-11-27,16404.959
Minyak Goreng Curah/Jawa Tengah/2024-11-28,16329.889
Minyak Goreng Curah/Jawa Tengah/2024-11-29,16318.664
Minyak Goreng Curah/Jawa Tengah/2024-11-30,16322.783
Minyak Goreng Curah/Jawa Tengah/2024-12-01,16394.266
Minyak Goreng Curah/Jawa Tengah/2024-12-02,16350.494
Minyak Goreng Curah/Jawa Tengah/2024-12-03,16422.514
Minyak Goreng Curah/Jawa Tengah/2024-12-04,16380.432
Minyak Goreng Curah/Jawa Tengah/2024-12-05,16407.129
Minyak Goreng Curah/Jawa Tengah/2024-12-06,16429.256
Minyak Goreng Curah/Jawa Tengah/2024-12-07,16425.168
Minyak Goreng Curah/Jawa Tengah/2024-12-08,16443.527
Minyak Goreng Curah/Jawa Tengah/2024-12-09,16439.395
Minyak Goreng Curah/Jawa Tengah/2024-12-10,16442.39
Minyak Goreng Curah/Jawa Tengah/2024-12-11,16372.973
Minyak Goreng Curah/Jawa Tengah/2024-12-12,16409.484
Minyak Goreng Curah/Jawa Tengah/2024-12-13,16431.371
Minyak Goreng Curah/Jawa Tengah/2024-12-14,16377.202
Minyak Goreng Curah/Jawa Tengah/2024-12-15,16464.586
Minyak Goreng Curah/Jawa Tengah/2024-12-16,16393.129
Minyak Goreng Curah/Jawa Tengah/2024-12-17,16418.254
Minyak Goreng Curah/Jawa Tengah/2024-12-18,16461.078
Minyak Goreng Curah/Jawa Tengah/2024-12-19,16496.365
Minyak Goreng Curah/Jawa Tengah/2024-12-20,16491.451
Minyak Goreng Curah/Jawa Tengah/2024-12-21,16419.502
Minyak Goreng Curah/Jawa Tengah/2024-12-22,16494.988
Minyak Goreng Curah/Jawa Tengah/2024-12-23,16438.428
Minyak Goreng Curah/Jawa Tengah/2024-12-24,16385.52
Minyak Goreng Curah/Jawa Tengah/2024-12-25,16414.354
Minyak Goreng Curah/Jawa Tengah/2024-12-26,16385.18
Minyak Goreng Curah/Jawa Tengah/2024-12-27,16410.367
Minyak Goreng Curah/Jawa Tengah/2024-12-28,16344.864
Minyak Goreng Curah/Jawa Tengah/2024-12-29,16317.902
Minyak Goreng Curah/Jawa Tengah/2024-12-30,15055.998
Minyak Goreng Curah/Jawa Tengah/2024-12-31,15032.578
