id,price
Minyak Goreng Curah/Kalimantan Tengah/2024-10-01,14342.17
Minyak Goreng Curah/Kalimantan Tengah/2024-10-02,14361.105
Minyak Goreng Curah/Kalimantan Tengah/2024-10-03,14333.048
Minyak Goreng Curah/Kalimantan Tengah/2024-10-04,14311.803
Minyak Goreng Curah/Kalimantan Tengah/2024-10-05,14291.075
Minyak Goreng Curah/Kalimantan Tengah/2024-10-06,14257.961
Minyak Goreng Curah/Kalimantan Tengah/2024-10-07,14175.172
Minyak Goreng Curah/Kalimantan Tengah/2024-10-08,14283.685
Minyak Goreng Curah/Kalimantan Tengah/2024-10-09,14325.9
Minyak Goreng Curah/Kalimantan Tengah/2024-10-10,14186.301
Minyak Goreng Curah/Kalimantan Tengah/2024-10-11,14206.068
Minyak Goreng Curah/Kalimantan Tengah/2024-10-12,14152.416
Minyak Goreng Curah/Kalimantan Tengah/2024-10-13,14182.6875
Minyak Goreng Curah/Kalimantan Tengah/2024-10-14,14122.813
Minyak Goreng Curah/Kalimantan Tengah/2024-10-15,14122.51
Minyak Goreng Curah/Kalimantan Tengah/2024-10-16,14213.029
Minyak Goreng Curah/Kalimantan Tengah/2024-10-17,14052.888
Minyak Goreng Curah/Kalimantan Tengah/2024-10-18,14055.113
Minyak Goreng Curah/Kalimantan Tengah/2024-10-19,14054.704
Minyak Goreng Curah/Kalimantan Tengah/2024-10-20,14028.452
Minyak Goreng Curah/Kalimantan Tengah/2024-10-21,14047.972
Minyak Goreng Curah/Kalimantan Tengah/2024-10-22,14034.322
Minyak Goreng Curah/Kalimantan Tengah/2024-10-23,14272.786
Minyak Goreng Curah/Kalimantan Tengah/2024-10-24,14004.268
Minyak Goreng Curah/Kalimantan Tengah/2024-10-25,14056.716
Minyak Goreng Curah/Kalimantan Tengah/2024-10-26,14067.289
Minyak Goreng Curah/Kalimantan Tengah/2024-10-27,14030.138
Minyak Goreng Curah/Kalimantan Tengah/2024-10-28,14079.354
Minyak Goreng Curah/Kalimantan Tengah/2024-10-29,14034.303
Minyak Goreng Curah/Kalimantan Tengah/2024-10-30,14138.793
Minyak Goreng Curah/Kalimantan Tengah/2024-10-31,14013.014
