id,price
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-01,14266.079
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-02,14346.837
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-03,14322.371
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-04,14267.969
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-05,14239.844
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-06,14249.582
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-07,14304.009
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-08,14306.133
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-09,14245.875
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-10,14267.593
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-11,14259.835
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-12,14265.092
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-13,14291.129
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-14,14235.403
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-15,14174.886
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-16,13988.078
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-17,13907.305
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-18,14237.731
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-19,14184.352
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-20,14212.941
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-21,14176.275
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-22,14170.566
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-23,14272.549
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-24,14249.676
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-25,14255.674
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-26,14138.311
Minyak Goreng Curah/Kepulauan Bangka Belitung/2024-10-27,14166.052
