id,price
Minyak Goreng Curah/Lampung/2024-10-01,15748.548
Minyak Goreng Curah/Lampung/2024-10-02,15748.239
Minyak Goreng Curah/Lampung/2024-10-03,15732.263
Minyak Goreng Curah/Lampung/2024-10-04,15725.314
Minyak Goreng Curah/Lampung/2024-10-05,15719.046
Minyak Goreng Curah/Lampung/2024-10-06,15678.6
Minyak Goreng Curah/Lampung/2024-10-07,15710.907
Minyak Goreng Curah/Lampung/2024-10-08,15693.047
Minyak Goreng Curah/Lampung/2024-10-09,15727.721
Minyak Goreng Curah/Lampung/2024-10-10,15749.539
Minyak Goreng Curah/Lampung/2024-10-11,15753.767
Minyak Goreng Curah/Lampung/2024-10-12,15789.942
Minyak Goreng Curah/Lampung/2024-10-13,15711.576
Minyak Goreng Curah/Lampung/2024-10-14,15838.48
Minyak Goreng Curah/Lampung/2024-10-15,15865.604
Minyak Goreng Curah/Lampung/2024-10-16,15929.248
Minyak Goreng Curah/Lampung/2024-10-17,15978.89
Minyak Goreng Curah/Lampung/2024-10-18,15970.082
Minyak Goreng Curah/Lampung/2024-10-19,15955.097
Minyak Goreng Curah/Lampung/2024-10-20,15680.064
Minyak Goreng Curah/Lampung/2024-10-21,15865.882
Minyak Goreng Curah/Lampung/2024-10-22,15908.319
Minyak Goreng Curah/Lampung/2024-10-23,15767.226
Minyak Goreng Curah/Lampung/2024-10-24,15816.124
Minyak Goreng Curah/Lampung/2024-10-25,15899.546
Minyak Goreng Curah/Lampung/2024-10-26,15924.488
Minyak Goreng Curah/Lampung/2024-10-27,15763.848
Minyak Goreng Curah/Lampung/2024-10-28,15891.205
Minyak Goreng Curah/Lampung/2024-10-29,15852.524
Minyak Goreng Curah/Lampung/2024-10-30,15879.316
Minyak Goreng Curah/Lampung/2024-10-31,15850.4375
Minyak Goreng Curah/Lampung/2024-11-01,15772.318
Minyak Goreng Curah/Lampung/2024-11-02,15745.541
Minyak Goreng Curah/Lampung/2024-11-03,15698.525
Minyak Goreng Curah/Lampung/2024-11-04,15715.448
Minyak Goreng Curah/Lampung/2024-11-05,15724.773
Minyak Goreng Curah/Lampung/2024-11-06,15703.831
Minyak Goreng Curah/Lampung/2024-11-07,15711.199
Minyak Goreng Curah/Lampung/2024-11-08,15718.284
Minyak Goreng Curah/Lampung/2024-11-09,15719.679
Minyak Goreng Curah/Lampung/2024-11-10,15706.598
Minyak Goreng Curah/Lampung/2024-11-11,15711.179
Minyak Goreng Curah/Lampung/2024-11-12,15792.205
Minyak Goreng Curah/Lampung/2024-11-13,15796.088
Minyak Goreng Curah/Lampung/2024-11-14,15883.607
Minyak Goreng Curah/Lampung/2024-11-15,15967.695
Minyak Goreng Curah/Lampung/2024-11-16,15973.225
Minyak Goreng Curah/Lampung/2024-11-17,15790.506
Minyak Goreng Curah/Lampung/2024-11-18,15902.629
Minyak Goreng Curah/Lampung/2024-11-19,15896.795
Minyak Goreng Curah/Lampung/2024-11-20,15903.834
Minyak Goreng Curah/Lampung/2024-11-21,15954.006
Minyak Goreng Curah/Lampung/2024-11-22,15819.815
Minyak Goreng Curah/Lampung/2024-11-23,15769.431
Minyak Goreng Curah/Lampung/2024-11-24,15439.177
Minyak Goreng Curah/Lampung/2024-11-25,15883.783
Minyak Goreng Curah/Lampung/2024-11-26,15883.078
Minyak Goreng Curah/Lampung/2024-11-27,15935.009
Minyak Goreng Curah/Lampung/2024-11-28,15957.732
Minyak Goreng Curah/Lampung/2024-11-29,15873.08
Minyak Goreng Curah/Lampung/2024-11-30,15868.054
Minyak Goreng Curah/Lampung/2024-12-01,15715.735
Minyak Goreng Curah/Lampung/2024-12-02,15754.531
Minyak Goreng Curah/Lampung/2024-12-03,15672.917
Minyak Goreng Curah/Lampung/2024-12-04,15728.452
Minyak Goreng Curah/Lampung/2024-12-05,15720.611
Minyak Goreng Curah/Lampung/2024-12-06,15723.585
Minyak Goreng Curah/Lampung/2024-12-07,15722.534
Minyak Goreng Curah/Lampung/2024-12-08,15676.815
Minyak Goreng Curah/Lampung/2024-12-09,15697.465
Minyak Goreng Curah/Lampung/2024-12-10,15740.521
Minyak Goreng Curah/Lampung/2024-12-11,15754.204
Minyak Goreng Curah/Lampung/2024-12-12,15804.336
Minyak Goreng Curah/Lampung/2024-12-13,15782.174
Minyak Goreng Curah/Lampung/2024-12-14,15854.174
Minyak Goreng Curah/Lampung/2024-12-15,15866.518
Minyak Goreng Curah/Lampung/2024-12-16,15902.028
Minyak Goreng Curah/Lampung/2024-12-17,15869.107
Minyak Goreng Curah/Lampung/2024-12-18,16001.793
Minyak Goreng Curah/Lampung/2024-12-19,15957.492
Minyak Goreng Curah/Lampung/2024-12-20,15889.854
Minyak Goreng Curah/Lampung/2024-12-21,15945.236
Minyak Goreng Curah/Lampung/2024-12-22,15422.208
Minyak Goreng Curah/Lampung/2024-12-23,15809.506
Minyak Goreng Curah/Lampung/2024-12-24,15932.029
Minyak Goreng Curah/Lampung/2024-12-25,15887.365
Minyak Goreng Curah/Lampung/2024-12-26,15922.301
Minyak Goreng Curah/Lampung/2024-12-27,15987.733
Minyak Goreng Curah/Lampung/2024-12-28,15947.428
Minyak Goreng Curah/Lampung/2024-12-29,15657.033
Minyak Goreng Curah/Lampung/2024-12-30,15586.414
Minyak Goreng Curah/Lampung/2024-12-31,15552.205
