id,price
Minyak Goreng Curah/Maluku Utara/2024-10-01,20824.822
Minyak Goreng Curah/Maluku Utara/2024-10-02,22127.945
Minyak Goreng Curah/Maluku Utara/2024-10-03,22129.26
Minyak Goreng Curah/Maluku Utara/2024-10-04,22152.17
Minyak Goreng Curah/Maluku Utara/2024-10-05,22683.934
Minyak Goreng Curah/Maluku Utara/2024-10-06,21612.465
Minyak Goreng Curah/Maluku Utara/2024-10-07,22170.809
Minyak Goreng Curah/Maluku Utara/2024-10-08,22022.93
Minyak Goreng Curah/Maluku Utara/2024-10-09,22263.037
Minyak Goreng Curah/Maluku Utara/2024-10-10,22242.666
Minyak Goreng Curah/Maluku Utara/2024-10-11,22306.377
Minyak Goreng Curah/Maluku Utara/2024-10-12,22306.658
Minyak Goreng Curah/Maluku Utara/2024-10-13,21520.273
Minyak Goreng Curah/Maluku Utara/2024-10-14,22258.152
Minyak Goreng Curah/Maluku Utara/2024-10-15,22174.613
Minyak Goreng Curah/Maluku Utara/2024-10-16,22192.83
Minyak Goreng Curah/Maluku Utara/2024-10-17,22429.643
Minyak Goreng Curah/Maluku Utara/2024-10-18,22724.398
Minyak Goreng Curah/Maluku Utara/2024-10-19,22724.398
Minyak Goreng Curah/Maluku Utara/2024-10-20,21514.229
Minyak Goreng Curah/Maluku Utara/2024-10-21,22464.725
Minyak Goreng Curah/Maluku Utara/2024-10-22,21879.752
Minyak Goreng Curah/Maluku Utara/2024-10-23,21650.613
Minyak Goreng Curah/Maluku Utara/2024-10-24,22142.14
Minyak Goreng Curah/Maluku Utara/2024-10-25,22371.04
Minyak Goreng Curah/Maluku Utara/2024-10-26,22371.656
Minyak Goreng Curah/Maluku Utara/2024-10-27,20796.49
Minyak Goreng Curah/Maluku Utara/2024-10-28,21048.96
Minyak Goreng Curah/Maluku Utara/2024-10-29,20711.14
Minyak Goreng Curah/Maluku Utara/2024-10-30,21680.242
Minyak Goreng Curah/Maluku Utara/2024-10-31,21529.252
Minyak Goreng Curah/Maluku Utara/2024-11-01,21300.004
Minyak Goreng Curah/Maluku Utara/2024-11-02,22017.287
Minyak Goreng Curah/Maluku Utara/2024-11-03,21160.666
Minyak Goreng Curah/Maluku Utara/2024-11-04,22003.691
Minyak Goreng Curah/Maluku Utara/2024-11-05,22749.703
Minyak Goreng Curah/Maluku Utara/2024-11-06,22527.418
Minyak Goreng Curah/Maluku Utara/2024-11-07,22485.525
Minyak Goreng Curah/Maluku Utara/2024-11-08,22675.52
Minyak Goreng Curah/Maluku Utara/2024-11-09,22064.93
Minyak Goreng Curah/Maluku Utara/2024-11-10,21380.78
Minyak Goreng Curah/Maluku Utara/2024-11-11,22051.799
Minyak Goreng Curah/Maluku Utara/2024-11-12,22028.838
Minyak Goreng Curah/Maluku Utara/2024-11-13,22047.055
Minyak Goreng Curah/Maluku Utara/2024-11-14,22071.201
Minyak Goreng Curah/Maluku Utara/2024-11-15,22058.463
Minyak Goreng Curah/Maluku Utara/2024-11-16,22026.805
Minyak Goreng Curah/Maluku Utara/2024-11-17,21338.201
Minyak Goreng Curah/Maluku Utara/2024-11-18,22508.934
Minyak Goreng Curah/Maluku Utara/2024-11-19,22421.898
Minyak Goreng Curah/Maluku Utara/2024-11-20,22221.838
Minyak Goreng Curah/Maluku Utara/2024-11-21,22432.041
Minyak Goreng Curah/Maluku Utara/2024-11-22,21358.105
Minyak Goreng Curah/Maluku Utara/2024-11-23,22276.814
Minyak Goreng Curah/Maluku Utara/2024-11-24,19752.623
Minyak Goreng Curah/Maluku Utara/2024-11-25,22556.71
Minyak Goreng Curah/Maluku Utara/2024-11-26,22329.08
Minyak Goreng Curah/Maluku Utara/2024-11-27,22246.988
Minyak Goreng Curah/Maluku Utara/2024-11-28,21021.133
Minyak Goreng Curah/Maluku Utara/2024-11-29,21088.178
Minyak Goreng Curah/Maluku Utara/2024-11-30,22036.285
Minyak Goreng Curah/Maluku Utara/2024-12-01,20877.838
Minyak Goreng Curah/Maluku Utara/2024-12-02,21963.44
Minyak Goreng Curah/Maluku Utara/2024-12-03,21884.494
