id,price
Minyak Goreng Curah/Sulawesi Selatan/2024-10-01,15696.285
Minyak Goreng Curah/Sulawesi Selatan/2024-10-02,15694.57
Minyak Goreng Curah/Sulawesi Selatan/2024-10-03,15686.474
Minyak Goreng Curah/Sulawesi Selatan/2024-10-04,15721.89
Minyak Goreng Curah/Sulawesi Selatan/2024-10-05,15687.511
Minyak Goreng Curah/Sulawesi Selatan/2024-10-06,15682.423
Minyak Goreng Curah/Sulawesi Selatan/2024-10-07,15698.878
Minyak Goreng Curah/Sulawesi Selatan/2024-10-08,15733.366
Minyak Goreng Curah/Sulawesi Selatan/2024-10-09,15695.156
Minyak Goreng Curah/Sulawesi Selatan/2024-10-10,15774.082
Minyak Goreng Curah/Sulawesi Selatan/2024-10-11,15757.23
Minyak Goreng Curah/Sulawesi Selatan/2024-10-12,15859.67
Minyak Goreng Curah/Sulawesi Selatan/2024-10-13,15865.37
Minyak Goreng Curah/Sulawesi Selatan/2024-10-14,15861.127
Minyak Goreng Curah/Sulawesi Selatan/2024-10-15,15866.788
Minyak Goreng Curah/Sulawesi Selatan/2024-10-16,15857.423
Minyak Goreng Curah/Sulawesi Selatan/2024-10-17,15931.559
Minyak Goreng Curah/Sulawesi Selatan/2024-10-18,15860.094
Minyak Goreng Curah/Sulawesi Selatan/2024-10-19,15869.301
Minyak Goreng Curah/Sulawesi Selatan/2024-10-20,15870.889
Minyak Goreng Curah/Sulawesi Selatan/2024-10-21,15920.744
Minyak Goreng Curah/Sulawesi Selatan/2024-10-22,15916.988
Minyak Goreng Curah/Sulawesi Selatan/2024-10-23,15851.656
Minyak Goreng Curah/Sulawesi Selatan/2024-10-24,15935.872
Minyak Goreng Curah/Sulawesi Selatan/2024-10-25,15948.604
Minyak Goreng Curah/Sulawesi Selatan/2024-10-26,15962.523
Minyak Goreng Curah/Sulawesi Selatan/2024-10-27,15957.203
Minyak Goreng Curah/Sulawesi Selatan/2024-10-28,15952.107
Minyak Goreng Curah/Sulawesi Selatan/2024-10-29,15939.801
Minyak Goreng Curah/Sulawesi Selatan/2024-10-30,15946.14
Minyak Goreng Curah/Sulawesi Selatan/2024-10-31,15923.148
Minyak Goreng Curah/Sulawesi Selatan/2024-11-01,15718.612
Minyak Goreng Curah/Sulawesi Selatan/2024-11-02,15702.391
Minyak Goreng Curah/Sulawesi Selatan/2024-11-03,15684.11
Minyak Goreng Curah/Sulawesi Selatan/2024-11-04,15709.718
Minyak Goreng Curah/Sulawesi Selatan/2024-11-05,15696.391
Minyak Goreng Curah/Sulawesi Selatan/2024-11-06,15712.138
Minyak Goreng Curah/Sulawesi Selatan/2024-11-07,15709.819
Minyak Goreng Curah/Sulawesi Selatan/2024-11-08,15737.118
Minyak Goreng Curah/Sulawesi Selatan/2024-11-09,15739.077
Minyak Goreng Curah/Sulawesi Selatan/2024-11-10,15809.592
Minyak Goreng Curah/Sulawesi Selatan/2024-11-11,15783.23
Minyak Goreng Curah/Sulawesi Selatan/2024-11-12,15842.007
Minyak Goreng Curah/Sulawesi Selatan/2024-11-13,15842.007
Minyak Goreng Curah/Sulawesi Selatan/2024-11-14,15871.964
