id,price
Minyak Goreng Curah/Sulawesi Tengah/2024-10-01,17199.445
Minyak Goreng Curah/Sulawesi Tengah/2024-10-02,17250.852
Minyak Goreng Curah/Sulawesi Tengah/2024-10-03,17212.773
Minyak Goreng Curah/Sulawesi Tengah/2024-10-04,17205.002
Minyak Goreng Curah/Sulawesi Tengah/2024-10-05,17206.107
Minyak Goreng Curah/Sulawesi Tengah/2024-10-06,17199.947
Minyak Goreng Curah/Sulawesi Tengah/2024-10-07,17217.195
Minyak Goreng Curah/Sulawesi Tengah/2024-10-08,17343.186
Minyak Goreng Curah/Sulawesi Tengah/2024-10-09,17105.32
Minyak Goreng Curah/Sulawesi Tengah/2024-10-10,17198.074
Minyak Goreng Curah/Sulawesi Tengah/2024-10-11,17180.281
Minyak Goreng Curah/Sulawesi Tengah/2024-10-12,17206.004
Minyak Goreng Curah/Sulawesi Tengah/2024-10-13,17248.084
Minyak Goreng Curah/Sulawesi Tengah/2024-10-14,17604.857
Minyak Goreng Curah/Sulawesi Tengah/2024-10-15,17253.193
Minyak Goreng Curah/Sulawesi Tengah/2024-10-16,17160.51
Minyak Goreng Curah/Sulawesi Tengah/2024-10-17,17335.447
Minyak Goreng Curah/Sulawesi Tengah/2024-10-18,17290.32
Minyak Goreng Curah/Sulawesi Tengah/2024-10-19,17187.498
Minyak Goreng Curah/Sulawesi Tengah/2024-10-20,17185.492
Minyak Goreng Curah/Sulawesi Tengah/2024-10-21,17335.305
Minyak Goreng Curah/Sulawesi Tengah/2024-10-22,17159.617
Minyak Goreng Curah/Sulawesi Tengah/2024-10-23,17153.545
Minyak Goreng Curah/Sulawesi Tengah/2024-10-24,17351.082
Minyak Goreng Curah/Sulawesi Tengah/2024-10-25,17164.092
Minyak Goreng Curah/Sulawesi Tengah/2024-10-26,17186.07
Minyak Goreng Curah/Sulawesi Tengah/2024-10-27,17175.918
Minyak Goreng Curah/Sulawesi Tengah/2024-10-28,17295.941
Minyak Goreng Curah/Sulawesi Tengah/2024-10-29,17218.814
Minyak Goreng Curah/Sulawesi Tengah/2024-10-30,17176.076
Minyak Goreng Curah/Sulawesi Tengah/2024-10-31,17244.87
Minyak Goreng Curah/Sulawesi Tengah/2024-11-01,17168.363
Minyak Goreng Curah/Sulawesi Tengah/2024-11-02,17177.969
Minyak Goreng Curah/Sulawesi Tengah/2024-11-03,17243.67
