id,price
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-01,17543.12
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-02,17556.348
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-03,17543.71
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-04,17501.176
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-05,17518.088
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-06,17551.648
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-07,17528.627
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-08,17503.71
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-09,17518.979
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-10,17509.102
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-11,17514.664
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-12,17508.422
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-13,17533.684
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-14,17521.814
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-15,17522.527
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-16,17529.08
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-17,17521.156
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-18,17506.488
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-19,17505.277
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-20,17529.855
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-21,17527.096
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-22,17532.105
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-23,17534.44
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-24,17540.281
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-25,17536.584
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-26,17495.309
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-27,17541.174
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-28,17519.31
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-29,17518.227
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-30,17515.957
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-10-31,17520.537
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-01,17511.78
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-02,17511.78
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-03,17526.438
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-04,17515.24
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-05,17536.344
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-06,17542.92
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-07,17508.03
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-08,17515.764
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-09,17541.602
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-10,17550.986
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-11,17520.568
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-12,17520.537
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-13,17528.555
Minyak Goreng Kemasan Sederhana/Jawa Barat/2024-11-14,17518.432
