id,price
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-01,16393.838
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-02,16393.455
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-03,16418.797
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-04,16417.305
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-05,16397.824
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-06,16383.981
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-07,16364.9
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-08,16356.503
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-09,16311.079
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-10,16371.025
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-11,16360.388
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-12,16355.256
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-13,16374.184
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-14,16353.559
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-15,16335.485
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-16,16322.0205
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-17,16338.313
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-18,16316.942
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-19,16281.406
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-20,16262.186
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-21,16252.355
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-22,16248.433
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-23,16252.785
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-24,16277.794
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-25,16273.517
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-26,16254.508
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-27,16245.075
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-28,16240.863
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-29,16259.9
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-30,16188.909
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-10-31,16216.837
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-01,15940.6455
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-02,16006.405
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-03,15939.361
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-04,15926.088
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-05,15944.987
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-06,15937.95
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-07,15910.083
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-08,15908.862
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-09,15949.27
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-10,15923.286
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-11,15914.416
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-12,15957.738
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-13,15966.771
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-14,15969.175
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-15,15967.649
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-16,15978.797
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-17,15949.227
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-18,15965.965
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-19,15978.893
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-20,15991.2
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-21,16002.537
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-22,16002.055
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-23,16004.437
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-24,16043.489
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-25,15980.576
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-26,15984.691
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-27,15974.313
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-28,15973.349
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-29,15981.289
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-11-30,15971.77
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-01,15988.322
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-02,15937.38
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-03,15951.422
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-04,15951.422
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-05,15928.58
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-06,15925.71
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-07,15937.56
Minyak Goreng Kemasan Sederhana/Jawa Timur/2024-12-08,15943.231
