id,price
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-01,20208.148
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-02,20060.982
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-03,20006.91
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-04,20013.031
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-05,20118.32
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-06,20226.674
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-07,20450.309
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-08,20656.502
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-09,20419.777
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-10,20449.273
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-11,20415.51
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-12,20453.58
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-13,20552.143
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-14,19600.266
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-15,20447.629
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-16,20394.574
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-17,20154.88
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-18,20136.387
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-19,20140.803
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-20,20640.91
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-21,20715.705
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-22,20283.467
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-23,20483.133
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-24,20268.014
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-25,20476.855
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-26,20422.535
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-27,20684.18
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-28,20610.285
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-29,20819.85
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-30,20794.072
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-10-31,20573.408
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-11-01,20200.586
Minyak Goreng Kemasan Sederhana/Kalimantan Timur/2024-11-02,19977.988
