id,price
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-01,16294.4375
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-02,16263.022
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-03,16193.685
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-04,16033.672
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-05,16079.1455
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-06,16053.943
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-07,16287.053
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-08,16419.355
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-09,16397.451
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-10,16177.236
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-11,16195.906
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-12,16302.271
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-13,16561.91
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-14,16228.467
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-15,16539.027
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-16,16433.174
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-17,16373.446
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-18,16274.104
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-19,16154.249
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-20,16683.36
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-21,16710.387
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-22,16607.36
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-23,16652.37
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-24,16482.004
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-25,16403.48
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-26,16078.987
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-27,16063.816
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-28,16880.133
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-29,16765.64
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-30,16636.904
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-10-31,16661.459
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-01,16711.633
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-02,16791.834
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-03,16652.422
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-04,16596.602
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-05,16638.99
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-06,16643.865
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-07,16649.23
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-08,16713.953
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-09,16722.457
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-10,16788.41
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-11,16226.658
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-12,16298.062
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-13,16321.311
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-14,16476.752
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-15,16136.405
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-16,16109.618
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-17,16379.388
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-18,16308.871
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-19,16424.844
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-20,16493.865
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-21,16492.37
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-22,16093.292
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-23,16385.676
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-24,16082.475
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-25,16098.569
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-26,16387.627
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-27,16277.603
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-28,16134.337
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-29,16188.7295
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-11-30,16167.666
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-01,16439.56
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-02,16242.896
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-03,16321.969
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-04,16280.758
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-05,16255.747
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-06,16275.674
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-07,16353.52
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-08,16544.799
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-09,16206.241
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-10,16495.664
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-11,16399.209
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-12,16348.659
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-13,16564.697
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-14,16601.717
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-15,16498.38
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-16,16558.38
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-17,16521.83
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-18,16398.44
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-19,16252.524
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-20,16352.351
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-21,16352.966
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-22,16210.686
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-23,16484.467
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-24,16256.041
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-25,16594.346
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-26,16371.542
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-27,16399.092
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-28,16403.855
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-29,16313.707
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-30,16611.191
Minyak Goreng Kemasan Sederhana/Kepulauan Riau/2024-12-31,16884.951
