id,price
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-01,21322.295
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-02,21262.873
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-03,21396.957
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-04,21413.998
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-05,21471.021
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-06,21482.848
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-07,21611.736
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-08,21564.672
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-09,21385.834
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-10,21369.945
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-11,21391.883
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-12,21537.342
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-13,21560.35
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-14,21573.344
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-15,21364.3
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-16,21320.936
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-17,21646.234
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-18,21577.986
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-19,21559.209
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-20,21710.676
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-21,21486.582
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-22,21508.154
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-23,21469.143
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-24,21543.078
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-25,21554.34
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-26,21602.17
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-27,21584.21
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-28,21586.459
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-29,21241.582
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-30,21386.547
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-10-31,21514.871
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-01,21371.426
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-02,21441.309
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-03,21451.703
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-04,21501.371
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-05,21447.674
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-06,21524.564
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-07,21500.361
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-08,21386.854
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-09,21588.607
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-10,21421.686
Minyak Goreng Kemasan Sederhana/Maluku Utara/2024-11-11,21507.537
