id,price
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-01,19088.54
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-02,19122.904
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-03,18831.527
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-04,18699.361
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-05,18898.611
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-06,18831.6
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-07,18979.799
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-08,18939.785
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-09,18927.588
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-10,18771.81
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-11,18947.273
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-12,19043.395
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-13,18910.092
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-14,18986.438
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-15,19347.033
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-16,19284.195
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-17,18912.828
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-18,18815.36
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-19,18953.191
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-20,18965.559
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-21,18846.27
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-22,18883.756
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-23,18978.295
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-24,18873.23
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-25,18993.75
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-26,18855.637
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-27,18752.605
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-28,18824.818
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-29,18880.71
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-30,19142.572
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-10-31,19078.531
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-11-01,19060.725
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-11-02,19125.18
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-11-03,18836.021
Minyak Goreng Kemasan Sederhana/Sulawesi Barat/2024-11-04,18728.357
