id,price
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-01,18465.97
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-02,18488.797
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-03,18517.598
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-04,18250.37
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-05,18216.578
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-06,18224.422
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-07,18042.623
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-08,18011.98
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-09,18230.135
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-10,18336.453
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-11,18178.947
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-12,17962.33
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-13,18036.9
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-14,18052.135
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-15,18052.135
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-16,18159.232
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-17,18249.078
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-18,18274.506
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-19,18262.645
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-20,18284.848
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-21,18331.758
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-22,18200.246
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-23,18180.816
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-24,18256.135
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-25,18271.828
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-26,18263.732
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-27,18247.967
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-28,18311.62
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-29,18276.02
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-30,18261.176
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-10-31,18231.475
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-01,18286.395
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-02,18126.332
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-03,18109.686
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-04,18102.584
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-05,17957.734
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-06,17893.08
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-07,17997.895
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-08,18169.674
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-09,18261.375
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-10,18222.674
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-11,18341.81
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-12,18390.592
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-13,18411.945
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-14,18411.945
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-15,18398.271
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-16,18345.525
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-17,18364.387
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-18,18437.293
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-19,18437.293
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-20,18419.512
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-21,18421.592
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-22,18333.262
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-23,18417.328
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-24,18444.508
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-25,18382.555
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-26,18369.242
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-27,18418.566
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-28,18447.326
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-29,18373.703
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-11-30,18181.244
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-01,18437.604
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-02,18392.654
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-03,18330.818
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-04,18235.916
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-05,18218.555
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-06,17929.273
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-07,18084.156
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-08,18084.156
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-09,18123.805
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-10,18193.586
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-11,18135.58
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-12,18086.8
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-13,18114.21
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-14,18102.53
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-15,18083.502
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-16,17897.373
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-17,17963.082
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-18,18005.146
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-19,18067.43
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-20,17932.605
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-21,17921.898
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-22,17898.604
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-23,17778.43
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-24,17836.174
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-25,17849.453
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-26,17959.117
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-27,17743.36
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-28,17800.441
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-29,17752.02
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-30,17930.13
Minyak Goreng Kemasan Sederhana/Sulawesi Tengah/2024-12-31,17905.27
