id,price
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-01,16758.303
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-02,16600.727
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-03,16831.037
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-04,16770.867
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-05,16758.932
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-06,16767.18
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-07,16782.078
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-08,16769.672
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-09,16466.316
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-10,16809.148
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-11,16773.004
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-12,16741.809
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-13,16700.258
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-14,16709.238
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-15,16747.506
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-16,16740.678
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-17,16736.178
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-18,16710.36
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-19,16732.867
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-20,16704.277
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-21,16710.072
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-22,16727.824
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-23,16819.812
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-24,16769.85
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-25,16711.027
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-26,16738.496
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-27,16742.652
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-28,16745.256
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-29,16736.121
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-30,16713.342
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-10-31,16875.268
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-01,16697.42
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-02,16685.883
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-03,16755.758
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-04,16722.83
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-05,16743.63
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-06,16784.986
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-07,16760.193
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-08,16766.607
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-09,16782.79
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-10,16773.082
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-11,16751.977
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-12,16719.678
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-13,16716.285
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-14,16718.332
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-15,16733.496
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-16,16739.549
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-17,16730.547
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-18,16682.441
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-19,16714.684
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-20,16718.264
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-21,16697.953
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-22,16703.41
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-23,16708.201
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-24,16758.889
Minyak Goreng Kemasan Sederhana/Sumatera Barat/2024-11-25,16716.197
