id,price
Telur Ayam Ras/Papua/2024-10-01,36549.48
Telur Ayam Ras/Papua/2024-10-02,36557.734
Telur Ayam Ras/Papua/2024-10-03,36059.926
Telur Ayam Ras/Papua/2024-10-04,36222.527
Telur Ayam Ras/Papua/2024-10-05,36291.453
Telur Ayam Ras/Papua/2024-10-06,36201.703
Telur Ayam Ras/Papua/2024-10-07,35989.785
Telur Ayam Ras/Papua/2024-10-08,35957.934
Telur Ayam Ras/Papua/2024-10-09,36001.375
Telur Ayam Ras/Papua/2024-10-10,36234.188
Telur Ayam Ras/Papua/2024-10-11,36201.9
Telur Ayam Ras/Papua/2024-10-12,36584.082
Telur Ayam Ras/Papua/2024-10-13,36524.57
Telur Ayam Ras/Papua/2024-10-14,36394.01
Telur Ayam Ras/Papua/2024-10-15,36341.215
Telur Ayam Ras/Papua/2024-10-16,36530.08
Telur Ayam Ras/Papua/2024-10-17,36630.715
Telur Ayam Ras/Papua/2024-10-18,36603.242
Telur Ayam Ras/Papua/2024-10-19,36616.402
Telur Ayam Ras/Papua/2024-10-20,36631.49
Telur Ayam Ras/Papua/2024-10-21,36457.49
Telur Ayam Ras/Papua/2024-10-22,36450.207
Telur Ayam Ras/Papua/2024-10-23,36522.652
Telur Ayam Ras/Papua/2024-10-24,36528.574
Telur Ayam Ras/Papua/2024-10-25,36534.3
Telur Ayam Ras/Papua/2024-10-26,36727.676
Telur Ayam Ras/Papua/2024-10-27,36731.633
Telur Ayam Ras/Papua/2024-10-28,36830.36
Telur Ayam Ras/Papua/2024-10-29,37203.633
Telur Ayam Ras/Papua/2024-10-30,37379.586
Telur Ayam Ras/Papua/2024-10-31,37226.95
Telur Ayam Ras/Papua/2024-11-01,36555.902
Telur Ayam Ras/Papua/2024-11-02,36567.49
Telur Ayam Ras/Papua/2024-11-03,36060.793
Telur Ayam Ras/Papua/2024-11-04,35952.42
Telur Ayam Ras/Papua/2024-11-05,35920.57
Telur Ayam Ras/Papua/2024-11-06,36001.375
Telur Ayam Ras/Papua/2024-11-07,36234.188
Telur Ayam Ras/Papua/2024-11-08,36234.188
Telur Ayam Ras/Papua/2024-11-09,36303.113
Telur Ayam Ras/Papua/2024-11-10,36201.703
Telur Ayam Ras/Papua/2024-11-11,35952.42
Telur Ayam Ras/Papua/2024-11-12,36272.418
Telur Ayam Ras/Papua/2024-11-13,36433.22
Telur Ayam Ras/Papua/2024-11-14,36591.156
Telur Ayam Ras/Papua/2024-11-15,36563.117
Telur Ayam Ras/Papua/2024-11-16,36597.367
Telur Ayam Ras/Papua/2024-11-17,36665.44
Telur Ayam Ras/Papua/2024-11-18,36453.72
Telur Ayam Ras/Papua/2024-11-19,36450.207
Telur Ayam Ras/Papua/2024-11-20,36568.547
Telur Ayam Ras/Papua/2024-11-21,36617.72
Telur Ayam Ras/Papua/2024-11-22,36592.7
Telur Ayam Ras/Papua/2024-11-23,36592.457
Telur Ayam Ras/Papua/2024-11-24,36484.215
Telur Ayam Ras/Papua/2024-11-25,36454.77
Telur Ayam Ras/Papua/2024-11-26,36826.848
Telur Ayam Ras/Papua/2024-11-27,36852.67
Telur Ayam Ras/Papua/2024-11-28,36992.93
Telur Ayam Ras/Papua/2024-11-29,37621.74
Telur Ayam Ras/Papua/2024-11-30,37088.93
Telur Ayam Ras/Papua/2024-12-01,36503.45
Telur Ayam Ras/Papua/2024-12-02,36646.035
Telur Ayam Ras/Papua/2024-12-03,35798.906
Telur Ayam Ras/Papua/2024-12-04,35950.6
Telur Ayam Ras/Papua/2024-12-05,36183.414
Telur Ayam Ras/Papua/2024-12-06,36203.625
Telur Ayam Ras/Papua/2024-12-07,36254.535
Telur Ayam Ras/Papua/2024-12-08,36196.793
Telur Ayam Ras/Papua/2024-12-09,35975.23
Telur Ayam Ras/Papua/2024-12-10,35943.38
Telur Ayam Ras/Papua/2024-12-11,35950.6
Telur Ayam Ras/Papua/2024-12-12,36535.25
Telur Ayam Ras/Papua/2024-12-13,36507.004
Telur Ayam Ras/Papua/2024-12-14,36554.113
Telur Ayam Ras/Papua/2024-12-15,36626.957
Telur Ayam Ras/Papua/2024-12-16,36442.004
Telur Ayam Ras/Papua/2024-12-17,36389.207
Telur Ayam Ras/Papua/2024-12-18,36591.594
Telur Ayam Ras/Papua/2024-12-19,36627.473
Telur Ayam Ras/Papua/2024-12-20,36729.242
Telur Ayam Ras/Papua/2024-12-21,36614.26
Telur Ayam Ras/Papua/2024-12-22,36596.156
Telur Ayam Ras/Papua/2024-12-23,36422.312
Telur Ayam Ras/Papua/2024-12-24,36417.75
Telur Ayam Ras/Papua/2024-12-25,36470.43
Telur Ayam Ras/Papua/2024-12-26,36889.34
Telur Ayam Ras/Papua/2024-12-27,37008.645
Telur Ayam Ras/Papua/2024-12-28,36812.51
Telur Ayam Ras/Papua/2024-12-29,37095.008
Telur Ayam Ras/Papua/2024-12-30,36888.62
Telur Ayam Ras/Papua/2024-12-31,36883.977
