id,price
Telur Ayam Ras/Sulawesi Tenggara/2024-10-01,28883.705
Telur Ayam Ras/Sulawesi Tenggara/2024-10-02,29067.654
Telur Ayam Ras/Sulawesi Tenggara/2024-10-03,28944.736
Telur Ayam Ras/Sulawesi Tenggara/2024-10-04,28917.148
Telur Ayam Ras/Sulawesi Tenggara/2024-10-05,28957.117
Telur Ayam Ras/Sulawesi Tenggara/2024-10-06,28571.045
Telur Ayam Ras/Sulawesi Tenggara/2024-10-07,28555.803
Telur Ayam Ras/Sulawesi Tenggara/2024-10-08,28575.258
Telur Ayam Ras/Sulawesi Tenggara/2024-10-09,28808.691
Telur Ayam Ras/Sulawesi Tenggara/2024-10-10,28831.006
Telur Ayam Ras/Sulawesi Tenggara/2024-10-11,28950.404
Telur Ayam Ras/Sulawesi Tenggara/2024-10-12,29021.186
Telur Ayam Ras/Sulawesi Tenggara/2024-10-13,28793.053
Telur Ayam Ras/Sulawesi Tenggara/2024-10-14,29143.072
Telur Ayam Ras/Sulawesi Tenggara/2024-10-15,28900.395
Telur Ayam Ras/Sulawesi Tenggara/2024-10-16,28749.266
Telur Ayam Ras/Sulawesi Tenggara/2024-10-17,28922.701
Telur Ayam Ras/Sulawesi Tenggara/2024-10-18,28807.47
Telur Ayam Ras/Sulawesi Tenggara/2024-10-19,28901.82
Telur Ayam Ras/Sulawesi Tenggara/2024-10-20,28815.115
Telur Ayam Ras/Sulawesi Tenggara/2024-10-21,28898.4
Telur Ayam Ras/Sulawesi Tenggara/2024-10-22,28902.36
Telur Ayam Ras/Sulawesi Tenggara/2024-10-23,28708.455
Telur Ayam Ras/Sulawesi Tenggara/2024-10-24,28800.186
Telur Ayam Ras/Sulawesi Tenggara/2024-10-25,28941.076
Telur Ayam Ras/Sulawesi Tenggara/2024-10-26,28946.584
Telur Ayam Ras/Sulawesi Tenggara/2024-10-27,28927.05
Telur Ayam Ras/Sulawesi Tenggara/2024-10-28,29027.932
Telur Ayam Ras/Sulawesi Tenggara/2024-10-29,28964.98
Telur Ayam Ras/Sulawesi Tenggara/2024-10-30,28877.977
Telur Ayam Ras/Sulawesi Tenggara/2024-10-31,28889.742
Telur Ayam Ras/Sulawesi Tenggara/2024-11-01,28909.777
Telur Ayam Ras/Sulawesi Tenggara/2024-11-02,29171.234
Telur Ayam Ras/Sulawesi Tenggara/2024-11-03,28751.682
Telur Ayam Ras/Sulawesi Tenggara/2024-11-04,28306.47
Telur Ayam Ras/Sulawesi Tenggara/2024-11-05,28271.582
Telur Ayam Ras/Sulawesi Tenggara/2024-11-06,28092.785
Telur Ayam Ras/Sulawesi Tenggara/2024-11-07,28279.482
Telur Ayam Ras/Sulawesi Tenggara/2024-11-08,28349.48
Telur Ayam Ras/Sulawesi Tenggara/2024-11-09,28099.34
Telur Ayam Ras/Sulawesi Tenggara/2024-11-10,27947.695
Telur Ayam Ras/Sulawesi Tenggara/2024-11-11,27959.043
Telur Ayam Ras/Sulawesi Tenggara/2024-11-12,27968.71
Telur Ayam Ras/Sulawesi Tenggara/2024-11-13,27937.693
Telur Ayam Ras/Sulawesi Tenggara/2024-11-14,28232.865
Telur Ayam Ras/Sulawesi Tenggara/2024-11-15,27998.014
Telur Ayam Ras/Sulawesi Tenggara/2024-11-16,28068.795
Telur Ayam Ras/Sulawesi Tenggara/2024-11-17,28068.176
Telur Ayam Ras/Sulawesi Tenggara/2024-11-18,27878.473
Telur Ayam Ras/Sulawesi Tenggara/2024-11-19,27909.775
Telur Ayam Ras/Sulawesi Tenggara/2024-11-20,27809.934
Telur Ayam Ras/Sulawesi Tenggara/2024-11-21,27995.838
