id,price
Tepung Terigu (Curah)/Jawa Barat/2024-10-01,10152.292
Tepung Terigu (Curah)/Jawa Barat/2024-10-02,10148.455
Tepung Terigu (Curah)/Jawa Barat/2024-10-03,10172.558
Tepung Terigu (Curah)/Jawa Barat/2024-10-04,10163.281
Tepung Terigu (Curah)/Jawa Barat/2024-10-05,10159.566
Tepung Terigu (Curah)/Jawa Barat/2024-10-06,10157.349
Tepung Terigu (Curah)/Jawa Barat/2024-10-07,10172.2
Tepung Terigu (Curah)/Jawa Barat/2024-10-08,10164.511
Tepung Terigu (Curah)/Jawa Barat/2024-10-09,10151.186
Tepung Terigu (Curah)/Jawa Barat/2024-10-10,10162.784
Tepung Terigu (Curah)/Jawa Barat/2024-10-11,10164.681
Tepung Terigu (Curah)/Jawa Barat/2024-10-12,10142.091
Tepung Terigu (Curah)/Jawa Barat/2024-10-13,10082.569
Tepung Terigu (Curah)/Jawa Barat/2024-10-14,10091.075
Tepung Terigu (Curah)/Jawa Barat/2024-10-15,10081.9795
Tepung Terigu (Curah)/Jawa Barat/2024-10-16,10068.32
Tepung Terigu (Curah)/Jawa Barat/2024-10-17,10086.41
Tepung Terigu (Curah)/Jawa Barat/2024-10-18,10080.311
Tepung Terigu (Curah)/Jawa Barat/2024-10-19,10148.11
Tepung Terigu (Curah)/Jawa Barat/2024-10-20,10164.733
Tepung Terigu (Curah)/Jawa Barat/2024-10-21,10221.381
Tepung Terigu (Curah)/Jawa Barat/2024-10-22,10198.489
Tepung Terigu (Curah)/Jawa Barat/2024-10-23,10191.839
Tepung Terigu (Curah)/Jawa Barat/2024-10-24,10184.632
Tepung Terigu (Curah)/Jawa Barat/2024-10-25,10190.819
Tepung Terigu (Curah)/Jawa Barat/2024-10-26,10160.61
Tepung Terigu (Curah)/Jawa Barat/2024-10-27,10166.452
Tepung Terigu (Curah)/Jawa Barat/2024-10-28,10178.008
Tepung Terigu (Curah)/Jawa Barat/2024-10-29,10188.12
Tepung Terigu (Curah)/Jawa Barat/2024-10-30,10193.976
Tepung Terigu (Curah)/Jawa Barat/2024-10-31,10186.418
Tepung Terigu (Curah)/Jawa Barat/2024-11-01,10150.782
Tepung Terigu (Curah)/Jawa Barat/2024-11-02,10137.922
Tepung Terigu (Curah)/Jawa Barat/2024-11-03,10164.145
Tepung Terigu (Curah)/Jawa Barat/2024-11-04,10164.881
Tepung Terigu (Curah)/Jawa Barat/2024-11-05,10170.978
Tepung Terigu (Curah)/Jawa Barat/2024-11-06,10151.289
Tepung Terigu (Curah)/Jawa Barat/2024-11-07,10164.844
Tepung Terigu (Curah)/Jawa Barat/2024-11-08,10166.992
Tepung Terigu (Curah)/Jawa Barat/2024-11-09,10165.352
Tepung Terigu (Curah)/Jawa Barat/2024-11-10,10154.523
Tepung Terigu (Curah)/Jawa Barat/2024-11-11,10170.221
Tepung Terigu (Curah)/Jawa Barat/2024-11-12,10144.642
Tepung Terigu (Curah)/Jawa Barat/2024-11-13,10077.96
Tepung Terigu (Curah)/Jawa Barat/2024-11-14,10086.41
Tepung Terigu (Curah)/Jawa Barat/2024-11-15,10080.933
Tepung Terigu (Curah)/Jawa Barat/2024-11-16,10080.933
Tepung Terigu (Curah)/Jawa Barat/2024-11-17,10077.533
Tepung Terigu (Curah)/Jawa Barat/2024-11-18,10092.41
Tepung Terigu (Curah)/Jawa Barat/2024-11-19,10146.988
Tepung Terigu (Curah)/Jawa Barat/2024-11-20,10172.573
Tepung Terigu (Curah)/Jawa Barat/2024-11-21,10182.875
Tepung Terigu (Curah)/Jawa Barat/2024-11-22,10190.018
Tepung Terigu (Curah)/Jawa Barat/2024-11-23,10206.837
Tepung Terigu (Curah)/Jawa Barat/2024-11-24,10162.369
Tepung Terigu (Curah)/Jawa Barat/2024-11-25,10209.746
Tepung Terigu (Curah)/Jawa Barat/2024-11-26,10172.48
Tepung Terigu (Curah)/Jawa Barat/2024-11-27,10169.64
Tepung Terigu (Curah)/Jawa Barat/2024-11-28,10160.304
Tepung Terigu (Curah)/Jawa Barat/2024-11-29,10180.563
Tepung Terigu (Curah)/Jawa Barat/2024-11-30,10218.153
Tepung Terigu (Curah)/Jawa Barat/2024-12-01,10152.2705
Tepung Terigu (Curah)/Jawa Barat/2024-12-02,10132.953
Tepung Terigu (Curah)/Jawa Barat/2024-12-03,10179.162
Tepung Terigu (Curah)/Jawa Barat/2024-12-04,10164.629
Tepung Terigu (Curah)/Jawa Barat/2024-12-05,10168.137
Tepung Terigu (Curah)/Jawa Barat/2024-12-06,10165.733
Tepung Terigu (Curah)/Jawa Barat/2024-12-07,10166.33
Tepung Terigu (Curah)/Jawa Barat/2024-12-08,10158.327
Tepung Terigu (Curah)/Jawa Barat/2024-12-09,10171.939
Tepung Terigu (Curah)/Jawa Barat/2024-12-10,10162.402
Tepung Terigu (Curah)/Jawa Barat/2024-12-11,10158.153
Tepung Terigu (Curah)/Jawa Barat/2024-12-12,10139.868
Tepung Terigu (Curah)/Jawa Barat/2024-12-13,10087.476
Tepung Terigu (Curah)/Jawa Barat/2024-12-14,10085.536
Tepung Terigu (Curah)/Jawa Barat/2024-12-15,10072.93
Tepung Terigu (Curah)/Jawa Barat/2024-12-16,10083.814
Tepung Terigu (Curah)/Jawa Barat/2024-12-17,10086.583
Tepung Terigu (Curah)/Jawa Barat/2024-12-18,10067.07
Tepung Terigu (Curah)/Jawa Barat/2024-12-19,10136.379
Tepung Terigu (Curah)/Jawa Barat/2024-12-20,10159.907
Tepung Terigu (Curah)/Jawa Barat/2024-12-21,10221.409
Tepung Terigu (Curah)/Jawa Barat/2024-12-22,10161.917
Tepung Terigu (Curah)/Jawa Barat/2024-12-23,10214.418
Tepung Terigu (Curah)/Jawa Barat/2024-12-24,10198.489
