id,price
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-01,9567.749
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-02,9552.843
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-03,9613.9
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-04,9613.9
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-05,9523.273
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-06,9592.226
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-07,9558.574
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-08,9615.575
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-09,9576.984
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-10,9606.435
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-11,9601.189
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-12,9520.276
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-13,9588.215
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-14,9558.277
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-15,9578.44
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-16,9571.232
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-17,9629.604
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-18,9624.551
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-19,9463.589
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-20,9610.469
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-21,9451.671
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-22,9484.231
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-23,9555.287
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-24,9596.91
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-25,9596.91
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-26,9457.81
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-27,9645.881
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-28,9429.922
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-29,9480.268
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-30,9504.55
Tepung Terigu (Curah)/Kalimantan Selatan/2024-10-31,9606.172
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-01,9601.756
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-02,9508.456
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-03,9605.379
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-04,9540.581
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-05,9573.184
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-06,9576.984
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-07,9611.487
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-08,9632.251
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-09,9523.273
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-10,9592.226
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-11,9558.574
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-12,9571.987
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-13,9561.843
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-14,9629.604
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-15,9628.178
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-16,9550.864
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-17,9592.841
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-18,9494.538
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-19,9492.328
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-20,9616.358
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-21,9596.91
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-22,9596.91
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-23,9540.292
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-24,9495.324
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-25,9420.66
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-26,9485.884
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-27,9671.566
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-28,9606.172
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-29,9606.172
Tepung Terigu (Curah)/Kalimantan Selatan/2024-11-30,9458.089
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-01,9617.734
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-02,9506.037
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-03,9571.987
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-04,9573.987
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-05,9611.487
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-06,9601.189
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-07,9523.273
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-08,9623.288
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-09,9558.574
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-10,9573.184
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-11,9576.984
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-12,9613.9
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-13,9601.756
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-14,9549.357
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-15,9591.752
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-16,9551.163
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-17,9578.347
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-18,9525.265
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-19,9606.172
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-20,9715.6455
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-21,9449.597
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-22,9512.726
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-23,9473.113
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-24,9466.83
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-25,9544.859
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-26,9605.893
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-27,9773.188
Tepung Terigu (Curah)/Kalimantan Selatan/2024-12-28,9458.089
