id,price
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-01,9461.937
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-02,9486.249
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-03,9465.108
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-04,9449.297
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-05,9504.936
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-06,9476.838
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-07,9473.6
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-08,9459.917
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-09,9462.282
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-10,9453.996
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-11,9444.565
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-12,9462.843
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-13,9465.075
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-14,9469.76
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-15,9444.684
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-16,9440.307
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-17,9439.876
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-18,9528.059
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-19,9434.387
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-20,9423.465
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-21,9435.867
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-22,9444.379
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-23,9431.043
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-24,9447.397
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-25,9456.389
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-26,9446.394
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-27,9448.689
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-28,9455.771
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-29,9460.468
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-30,9462.727
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-10-31,9470.553
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-01,9459.88
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-02,9449.066
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-03,9449.297
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-04,9437.082
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-05,9497.732
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-06,9482.149
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-07,9469.295
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-08,9468.155
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-09,9467.503
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-10,9479.183
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-11,9444.565
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-12,9450.715
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-13,9474.979
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-14,9470.081
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-15,9438.565
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-16,9461.701
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-17,9498.454
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-18,9506.205
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-19,9439.043
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-20,9428.692
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-21,9432.807
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-22,9454.038
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-23,9454.539
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-24,9452.894
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-25,9461.563
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-26,9445.509
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-27,9443.258
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-28,9470.553
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-29,9455.376
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-11-30,9453.08
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-01,9459.88
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-02,9431.21
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-03,9480.784
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-04,9484.226
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-05,9486.862
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-06,9465.399
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-07,9481.616
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-08,9479.594
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-09,9458.711
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-10,9457.566
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-11,9455.431
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-12,9447.145
Tepung Terigu (Curah)/Nusa Tenggara Barat/2024-12-13,9453.637
