id,price
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-01,10680.157
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-02,10649.551
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-03,10663.672
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-04,10576.748
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-05,10613.603
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-06,10598.98
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-07,10743.361
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-08,10735.244
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-09,10644.877
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-10,10616.987
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-11,10476.043
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-12,10661.446
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-13,10661.12
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-14,10481.809
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-15,10550.481
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-16,10511.276
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-17,10455.392
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-18,10644.572
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-19,10618.882
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-20,10614.605
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-21,10553.13
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-22,10588.658
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-23,10674.57
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-24,10540.202
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-25,10496.244
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-26,10496.244
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-27,10503.523
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-28,10566.967
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-29,10581.5625
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-30,10676.758
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-10-31,10619.664
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-01,10699.519
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-02,10697.977
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-03,10660.817
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-04,10622.799
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-05,10631.449
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-06,10647.983
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-07,10782.27
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-08,10774.06
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-09,10643.352
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-10,10627.795
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-11,10617.61
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-12,10603.505
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-13,10634.633
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-14,10455.392
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-15,10422.205
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-16,10422.205
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-17,10422.205
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-18,10577.453
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-19,10631.299
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-20,10684.874
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-21,10605.922
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-22,10592.847
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-23,10583.475
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-24,10513.864
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-25,10549.148
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-26,10597.2705
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-27,10705.717
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-28,10587.793
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-29,10589.998
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-11-30,10575.74
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-01,10706.406
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-02,10674.75
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-03,10658.535
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-04,10647.983
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-05,10616.987
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-06,10576.748
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-07,10811.418
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-08,10748.228
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-09,10619.649
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-10,10629.33
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-11,10641.053
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-12,10606.002
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-13,10690.555
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-14,10422.205
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-15,10422.205
Tepung Terigu (Curah)/Nusa Tenggara Timur/2024-12-16,10481.809
