id,price
Tepung Terigu (Curah)/Papua Barat/2024-10-01,13299.35
Tepung Terigu (Curah)/Papua Barat/2024-10-02,13299.35
Tepung Terigu (Curah)/Papua Barat/2024-10-03,12996.855
Tepung Terigu (Curah)/Papua Barat/2024-10-04,13030.476
Tepung Terigu (Curah)/Papua Barat/2024-10-05,13075.909
Tepung Terigu (Curah)/Papua Barat/2024-10-06,12543.941
Tepung Terigu (Curah)/Papua Barat/2024-10-07,13106.435
Tepung Terigu (Curah)/Papua Barat/2024-10-08,13092.403
Tepung Terigu (Curah)/Papua Barat/2024-10-09,13092.403
Tepung Terigu (Curah)/Papua Barat/2024-10-10,13070.134
Tepung Terigu (Curah)/Papua Barat/2024-10-11,13008.614
Tepung Terigu (Curah)/Papua Barat/2024-10-12,13031.396
Tepung Terigu (Curah)/Papua Barat/2024-10-13,12657.176
Tepung Terigu (Curah)/Papua Barat/2024-10-14,13162.989
Tepung Terigu (Curah)/Papua Barat/2024-10-15,13066.376
Tepung Terigu (Curah)/Papua Barat/2024-10-16,13066.376
Tepung Terigu (Curah)/Papua Barat/2024-10-17,13103.67
Tepung Terigu (Curah)/Papua Barat/2024-10-18,13117.162
Tepung Terigu (Curah)/Papua Barat/2024-10-19,13060.1045
Tepung Terigu (Curah)/Papua Barat/2024-10-20,12653.011
Tepung Terigu (Curah)/Papua Barat/2024-10-21,12961.793
Tepung Terigu (Curah)/Papua Barat/2024-10-22,12993.402
Tepung Terigu (Curah)/Papua Barat/2024-10-23,13270.021
Tepung Terigu (Curah)/Papua Barat/2024-10-24,13310.831
Tepung Terigu (Curah)/Papua Barat/2024-10-25,13289.992
Tepung Terigu (Curah)/Papua Barat/2024-10-26,13234.235
Tepung Terigu (Curah)/Papua Barat/2024-10-27,12745.635
Tepung Terigu (Curah)/Papua Barat/2024-10-28,13153.885
Tepung Terigu (Curah)/Papua Barat/2024-10-29,13145.939
Tepung Terigu (Curah)/Papua Barat/2024-10-30,13232.696
Tepung Terigu (Curah)/Papua Barat/2024-10-31,13209.378
Tepung Terigu (Curah)/Papua Barat/2024-11-01,13369.134
Tepung Terigu (Curah)/Papua Barat/2024-11-02,13384.145
Tepung Terigu (Curah)/Papua Barat/2024-11-03,12729.591
Tepung Terigu (Curah)/Papua Barat/2024-11-04,13301.75
Tepung Terigu (Curah)/Papua Barat/2024-11-05,13078.979
Tepung Terigu (Curah)/Papua Barat/2024-11-06,13236.325
Tepung Terigu (Curah)/Papua Barat/2024-11-07,13113.973
Tepung Terigu (Curah)/Papua Barat/2024-11-08,13128.156
Tepung Terigu (Curah)/Papua Barat/2024-11-09,13074.763
Tepung Terigu (Curah)/Papua Barat/2024-11-10,12755.299
Tepung Terigu (Curah)/Papua Barat/2024-11-11,13064.3955
Tepung Terigu (Curah)/Papua Barat/2024-11-12,13169.725
Tepung Terigu (Curah)/Papua Barat/2024-11-13,13147.578
Tepung Terigu (Curah)/Papua Barat/2024-11-14,13027.02
Tepung Terigu (Curah)/Papua Barat/2024-11-15,13077.838
Tepung Terigu (Curah)/Papua Barat/2024-11-16,13106.559
Tepung Terigu (Curah)/Papua Barat/2024-11-17,12776.899
Tepung Terigu (Curah)/Papua Barat/2024-11-18,13386.005
Tepung Terigu (Curah)/Papua Barat/2024-11-19,13186.208
Tepung Terigu (Curah)/Papua Barat/2024-11-20,13186.208
Tepung Terigu (Curah)/Papua Barat/2024-11-21,13217.133
Tepung Terigu (Curah)/Papua Barat/2024-11-22,13390.509
Tepung Terigu (Curah)/Papua Barat/2024-11-23,13217.815
Tepung Terigu (Curah)/Papua Barat/2024-11-24,12641.352
Tepung Terigu (Curah)/Papua Barat/2024-11-25,13170.3955
Tepung Terigu (Curah)/Papua Barat/2024-11-26,13213.728
Tepung Terigu (Curah)/Papua Barat/2024-11-27,13252.431
Tepung Terigu (Curah)/Papua Barat/2024-11-28,13143.614
Tepung Terigu (Curah)/Papua Barat/2024-11-29,13109.971
Tepung Terigu (Curah)/Papua Barat/2024-11-30,13271.486
Tepung Terigu (Curah)/Papua Barat/2024-12-01,12748.217
Tepung Terigu (Curah)/Papua Barat/2024-12-02,13395.964
Tepung Terigu (Curah)/Papua Barat/2024-12-03,13127.421
Tepung Terigu (Curah)/Papua Barat/2024-12-04,13187.138
Tepung Terigu (Curah)/Papua Barat/2024-12-05,13166.804
Tepung Terigu (Curah)/Papua Barat/2024-12-06,13220.995
Tepung Terigu (Curah)/Papua Barat/2024-12-07,13087.527
Tepung Terigu (Curah)/Papua Barat/2024-12-08,12644.02
Tepung Terigu (Curah)/Papua Barat/2024-12-09,12859.097
Tepung Terigu (Curah)/Papua Barat/2024-12-10,12874.979
Tepung Terigu (Curah)/Papua Barat/2024-12-11,13127.417
Tepung Terigu (Curah)/Papua Barat/2024-12-12,13143.901
Tepung Terigu (Curah)/Papua Barat/2024-12-13,13077.838
Tepung Terigu (Curah)/Papua Barat/2024-12-14,13088.873
Tepung Terigu (Curah)/Papua Barat/2024-12-15,12745.096
Tepung Terigu (Curah)/Papua Barat/2024-12-16,13026.534
Tepung Terigu (Curah)/Papua Barat/2024-12-17,13146.277
Tepung Terigu (Curah)/Papua Barat/2024-12-18,13104.33
Tepung Terigu (Curah)/Papua Barat/2024-12-19,13041.131
Tepung Terigu (Curah)/Papua Barat/2024-12-20,13041.131
Tepung Terigu (Curah)/Papua Barat/2024-12-21,13243.681
Tepung Terigu (Curah)/Papua Barat/2024-12-22,12784.096
Tepung Terigu (Curah)/Papua Barat/2024-12-23,13106.761
Tepung Terigu (Curah)/Papua Barat/2024-12-24,13074.072
Tepung Terigu (Curah)/Papua Barat/2024-12-25,13186.395
Tepung Terigu (Curah)/Papua Barat/2024-12-26,13187.619
Tepung Terigu (Curah)/Papua Barat/2024-12-27,13079.191
Tepung Terigu (Curah)/Papua Barat/2024-12-28,13085.897
Tepung Terigu (Curah)/Papua Barat/2024-12-29,12614.719
Tepung Terigu (Curah)/Papua Barat/2024-12-30,13526.058
Tepung Terigu (Curah)/Papua Barat/2024-12-31,13526.058
