id,price
Tepung Terigu (Curah)/Riau/2024-10-01,10628.009
Tepung Terigu (Curah)/Riau/2024-10-02,10628.009
Tepung Terigu (Curah)/Riau/2024-10-03,10616.445
Tepung Terigu (Curah)/Riau/2024-10-04,10619.828
Tepung Terigu (Curah)/Riau/2024-10-05,10657.227
Tepung Terigu (Curah)/Riau/2024-10-06,10622.652
Tepung Terigu (Curah)/Riau/2024-10-07,10629.722
Tepung Terigu (Curah)/Riau/2024-10-08,10625.6
Tepung Terigu (Curah)/Riau/2024-10-09,10621.486
Tepung Terigu (Curah)/Riau/2024-10-10,10609.923
Tepung Terigu (Curah)/Riau/2024-10-11,10613.306
Tepung Terigu (Curah)/Riau/2024-10-12,10656.18
Tepung Terigu (Curah)/Riau/2024-10-13,10653.228
Tepung Terigu (Curah)/Riau/2024-10-14,10639.391
Tepung Terigu (Curah)/Riau/2024-10-15,10643.657
Tepung Terigu (Curah)/Riau/2024-10-16,10646.664
Tepung Terigu (Curah)/Riau/2024-10-17,10627.827
Tepung Terigu (Curah)/Riau/2024-10-18,10623.009
Tepung Terigu (Curah)/Riau/2024-10-19,10631.359
Tepung Terigu (Curah)/Riau/2024-10-20,10606.911
Tepung Terigu (Curah)/Riau/2024-10-21,10688.948
Tepung Terigu (Curah)/Riau/2024-10-22,10651.929
Tepung Terigu (Curah)/Riau/2024-10-23,10668.366
Tepung Terigu (Curah)/Riau/2024-10-24,10646.841
Tepung Terigu (Curah)/Riau/2024-10-25,10654.959
Tepung Terigu (Curah)/Riau/2024-10-26,10605.486
Tepung Terigu (Curah)/Riau/2024-10-27,10645.739
Tepung Terigu (Curah)/Riau/2024-10-28,10615.042
Tepung Terigu (Curah)/Riau/2024-10-29,10634.972
Tepung Terigu (Curah)/Riau/2024-10-30,10657.871
Tepung Terigu (Curah)/Riau/2024-10-31,10662.981
Tepung Terigu (Curah)/Riau/2024-11-01,10618.413
Tepung Terigu (Curah)/Riau/2024-11-02,10662.703
Tepung Terigu (Curah)/Riau/2024-11-03,10618.413
Tepung Terigu (Curah)/Riau/2024-11-04,10636.244
Tepung Terigu (Curah)/Riau/2024-11-05,10628.009
Tepung Terigu (Curah)/Riau/2024-11-06,10637.725
Tepung Terigu (Curah)/Riau/2024-11-07,10609.923
Tepung Terigu (Curah)/Riau/2024-11-08,10613.306
Tepung Terigu (Curah)/Riau/2024-11-09,10650.703
Tepung Terigu (Curah)/Riau/2024-11-10,10606.414
Tepung Terigu (Curah)/Riau/2024-11-11,10629.722
Tepung Terigu (Curah)/Riau/2024-11-12,10621.486
Tepung Terigu (Curah)/Riau/2024-11-13,10639.391
Tepung Terigu (Curah)/Riau/2024-11-14,10627.827
Tepung Terigu (Curah)/Riau/2024-11-15,10633.441
Tepung Terigu (Curah)/Riau/2024-11-16,10667.299
Tepung Terigu (Curah)/Riau/2024-11-17,10655.836
Tepung Terigu (Curah)/Riau/2024-11-18,10639.391
Tepung Terigu (Curah)/Riau/2024-11-19,10603.452
Tepung Terigu (Curah)/Riau/2024-11-20,10613.898
Tepung Terigu (Curah)/Riau/2024-11-21,10684.662
Tepung Terigu (Curah)/Riau/2024-11-22,10655.689
Tepung Terigu (Curah)/Riau/2024-11-23,10698.543
Tepung Terigu (Curah)/Riau/2024-11-24,10626.778
Tepung Terigu (Curah)/Riau/2024-11-25,10650.381
Tepung Terigu (Curah)/Riau/2024-11-26,10633.807
Tepung Terigu (Curah)/Riau/2024-11-27,10635.554
Tepung Terigu (Curah)/Riau/2024-11-28,10619.653
Tepung Terigu (Curah)/Riau/2024-11-29,10638.448
Tepung Terigu (Curah)/Riau/2024-11-30,10587.216
Tepung Terigu (Curah)/Riau/2024-12-01,10618.413
Tepung Terigu (Curah)/Riau/2024-12-02,10651.577
Tepung Terigu (Curah)/Riau/2024-12-03,10628.009
Tepung Terigu (Curah)/Riau/2024-12-04,10628.009
Tepung Terigu (Curah)/Riau/2024-12-05,10616.445
Tepung Terigu (Curah)/Riau/2024-12-06,10629.544
Tepung Terigu (Curah)/Riau/2024-12-07,10650.703
Tepung Terigu (Curah)/Riau/2024-12-08,10606.414
Tepung Terigu (Curah)/Riau/2024-12-09,10629.722
Tepung Terigu (Curah)/Riau/2024-12-10,10621.486
Tepung Terigu (Curah)/Riau/2024-12-11,10621.486
Tepung Terigu (Curah)/Riau/2024-12-12,10609.923
Tepung Terigu (Curah)/Riau/2024-12-13,10629.795
Tepung Terigu (Curah)/Riau/2024-12-14,10674.084
Tepung Terigu (Curah)/Riau/2024-12-15,10656.874
Tepung Terigu (Curah)/Riau/2024-12-16,10643.657
Tepung Terigu (Curah)/Riau/2024-12-17,10639.391
Tepung Terigu (Curah)/Riau/2024-12-18,10639.391
Tepung Terigu (Curah)/Riau/2024-12-19,10591.889
Tepung Terigu (Curah)/Riau/2024-12-20,10597.517
Tepung Terigu (Curah)/Riau/2024-12-21,10750.42
Tepung Terigu (Curah)/Riau/2024-12-22,10626.778
Tepung Terigu (Curah)/Riau/2024-12-23,10656.219
Tepung Terigu (Curah)/Riau/2024-12-24,10644.53
Tepung Terigu (Curah)/Riau/2024-12-25,10648.155
Tepung Terigu (Curah)/Riau/2024-12-26,10638.418
Tepung Terigu (Curah)/Riau/2024-12-27,10635.846
Tepung Terigu (Curah)/Riau/2024-12-28,10563.603
Tepung Terigu (Curah)/Riau/2024-12-29,10642.763
Tepung Terigu (Curah)/Riau/2024-12-30,11513.852
Tepung Terigu (Curah)/Riau/2024-12-31,11385.694
